URL / Component,File,UX issue,Before behavior,After behavior,Navigation changed?,Layout changed?,Content text changed?,Internal links changed?,Breadcrumb changed?,Search behavior changed?,Accessibility changed?,Responsive changed?,Title changed?,H1 changed?,Index state changed?,Canonical changed?,URL changed?,Trust content changed?,AdSense behavior changed?,Protected-state impact,Validation,Rollback
Global header,src/components/Header.astro,Crowded primary hierarchy and incomplete mobile focus behavior,Seven primary links,Five task-oriented links plus separate Search; active state and robust mobile focus,Yes,Yes,Yes,Yes,No,No,Yes,Yes,N/A,N/A,No,No,No,No,No,Routes preserved,Custom + browser PASS,Restore prior nav array/styles/script
Global footer,src/components/Footer.astro,Weak trust grouping and secondary-route hierarchy,Mixed columns,Explore / About & Trust / Legal & Settings,Yes,Yes,Yes,Yes,No,No,No,Yes,N/A,N/A,No,No,No,No,No,Trust routes more discoverable,135/135 responsive PASS,Restore prior footer groups
/,src/pages/index.astro,Competing repeated pathways,Dense repeated card/catalogue sections,"Purpose, primary beginner CTA, three paths, return and trust panels",No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Metadata/FAQ/ad conditions preserved,Browser/custom/Lighthouse PASS,Restore prior page structure
/start-here/,src/pages/start-here.astro,Overlap with Learn and flat choices,Broad catalogue,Orientation with three actions and four learning steps,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Phase 4 content remains linked,SEO/browser PASS,Restore prior layout
/learn/,src/pages/learn/index.astro,Flat learning catalogue,Many equal topic links,Begin / Foundations / Clarify / Sources plus secondary lessons,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Topic ownership preserved,SEO low-inbound 0,Restore prior layout
/meditation/,src/pages/meditation/index.astro,Practice choice overload,Methods and support choices competed,Start / Choose / Adapt,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Safety and ownership preserved,Browser/custom PASS,Restore prior layout
Meditation detail,src/pages/meditation/[slug].astro,Visible orientation gap,No shared visible breadcrumb,Visible semantic breadcrumb,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Content/safety unchanged,Breadcrumb PASS,Remove Breadcrumbs usage
Daily reflection detail,src/pages/daily-reflections/[slug].astro,Visible orientation gap,No shared visible breadcrumb,Visible semantic breadcrumb,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Monetization boundary unchanged,Breadcrumb PASS,Remove Breadcrumbs usage
Quote category/story,src/pages/quotes/[category].astro; src/pages/quotes/[category]/[story].astro,Visible orientation gap,Schema stronger than visible trail,Visible semantic breadcrumbs,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Attribution unchanged,Breadcrumb PASS,Remove Breadcrumbs usage
Search,src/pages/search.astro; src/components/SearchOverlay.astro; public/search.js,Weak result announcements and no-result recovery,Single status and generic empty state,"Live/busy status, clear query, improved close label",No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Search noindex/index preserved,Search interactions PASS,Restore prior markup/script
/404/,src/pages/404.astro,Limited recovery,Home-oriented recovery,Goal-based Home/Search/Start/Learn/Meditation links,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,noindex/canonical false preserved,Actual status PASS,Restore prior recovery links
