query,URL,clicks,impressions,position,user need,coverage before,coverage after,heading created from query,intent preserved,evidence
access to insight right speech harsh speech buddhism,https://echobuddha.com/articles/right-speech-buddhism/,0,1,9,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddha right speech,https://echobuddha.com/articles/right-speech-buddhism/,0,3,67,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhism right speech,https://echobuddha.com/articles/right-speech-buddhism/,0,4,50.25,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhism right speech harsh speech authoritative source,https://echobuddha.com/articles/right-speech-buddhism/,0,1,9,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhist 4 elements of right speech,https://echobuddha.com/articles/right-speech-buddhism/,0,1,72,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhist communication,https://echobuddha.com/articles/right-speech-buddhism/,0,1,53,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
buddhist right speech,https://echobuddha.com/articles/right-speech-buddhism/,0,3,52.333333333333336,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
divisive speech buddhism,https://echobuddha.com/articles/right-speech-buddhism/,0,1,38,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
is it true is it kind is it necessary buddhism,https://echobuddha.com/articles/right-speech-buddhism/,0,2,64.5,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
right speach,https://echobuddha.com/articles/right-speech-buddhism/,0,1,57,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
right speech,https://echobuddha.com/articles/right-speech-buddhism/,0,15,70.13333333333334,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
right speech buddha,https://echobuddha.com/articles/right-speech-buddhism/,0,1,65,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
right speech buddhism,https://echobuddha.com/articles/right-speech-buddhism/,0,13,41.84615384615385,Observed query mapped to the existing page intent,Protected by Phase 3 evidence,Existing answer retained; source precision and task completion improved,NO,YES,2026-06-23–2026-08-21; SITEWIDE_AND_PAGE_FILTERED; byPage
