URL,route,family,intended_index_state,html,title,h1,visible_word_count,substantive_main_text_chars,external_links,monetization_state,phase_2_score,phase_3_protection,phase_6_cornerstone,phase_8_template_risk,phase_12_review_coverage,placeholder_screen,ad_click_encouragement,off_topic_commercial,result
https://echobuddha.com/,/,HOME,INDEXABLE_CANONICAL_200,YES,Echo Buddha - Buddhist Wisdom for a Calmer Everyday Life,Echo Buddha,803,4200,0,NEVER_MONETIZE,79,SEO_P0_CRITICAL,C2_STRATEGIC,NOT_CLASSIFIED,FULL_SEO_P0_P1,NO,NO,NO,PASS
https://echobuddha.com/404,/404,ERROR,NOINDEX_USER_PAGE_200,YES,Page Not Found | Echo Buddha,Page Not Found,206,206,0,NOT_APPLICABLE,NOT_SCORED,NOT_CLASSIFIED,NOT_CORNERSTONE,NOT_CLASSIFIED,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/404.html,/404.html,ERROR_ALIAS,TEMPORARY_REDIRECT,NO,,,0,0,0,NEVER_MONETIZE,NOT_SCORED,SEO_UNKNOWN,NOT_CORNERSTONE,NOT_CLASSIFIED,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/about/,/about/,TRUST,INDEXABLE_CANONICAL_200,YES,About Echo Buddha | Echo Buddha,About Echo Buddha,603,3088,0,NEVER_MONETIZE,NOT_SCORED,SEO_P1_HIGH,NOT_PHASE_6_CORNERSTONE,NOT_CLASSIFIED,FULL_SEO_P0_P1|FULL_TRUST_SURFACE,NO,NO,NO,PASS
https://echobuddha.com/ads.txt,/ads.txt,TECHNICAL,TECHNICAL_ENDPOINT,NO,,,0,0,0,TECHNICAL_NON_HTML,NOT_SCORED,NOT_CLASSIFIED,NOT_CORNERSTONE,NOT_CLASSIFIED,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/,/articles/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,YES,Articles and Blog | Echo Buddha,Articles and Blog,1876,11636,0,NEVER_MONETIZE,50,SEO_P1_HIGH,NOT_PHASE_6_CORNERSTONE,NOT_CLASSIFIED,FULL_SEO_P0_P1,NO,NO,NO,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,1503,8315,0,HOLD_MANUAL_REVIEW,58,SEO_P3_LIMITED,NOT_PHASE_6_CORNERSTONE,T0_DISTINCT,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,/articles/buddhism-for-beginners-simple-guide/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,1816,10393,2,HOLD_MANUAL_REVIEW,60,SEO_P3_LIMITED,NOT_PHASE_6_CORNERSTONE,T1_LOW_TEMPLATE_RISK,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,/articles/buddhist-approach-to-anger/,ARTICLE,INDEXABLE_CANONICAL_200,YES,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",1847,10618,2,HOLD_MANUAL_REVIEW,70,SEO_P2_EMERGING,NOT_PHASE_6_CORNERSTONE,T1_LOW_TEMPLATE_RISK,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,/articles/buddhist-gratitude-practice/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,1791,10544,2,HOLD_MANUAL_REVIEW,69,SEO_P3_LIMITED,NOT_PHASE_6_CORNERSTONE,T0_DISTINCT,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,/articles/buddhist-teachings-on-forgiveness/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,1740,10475,1,HOLD_MANUAL_REVIEW,69,SEO_P3_LIMITED,NOT_PHASE_6_CORNERSTONE,T0_DISTINCT,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,/articles/buddhist-teachings-on-impermanence/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,1615,9271,1,HOLD_MANUAL_REVIEW,63,SEO_P3_LIMITED,NOT_PHASE_6_CORNERSTONE,T1_LOW_TEMPLATE_RISK,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,/articles/buddhist-wisdom-for-overthinking/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,2063,12200,2,ELIGIBLE_CANDIDATE,66,SEO_P1_HIGH,C1_HIGH,T1_LOW_TEMPLATE_RISK,FULL_SEO_P0_P1|FULL_C0_C1|FULL_PHASE10_ELIGIBLE,NO,NO,NO,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,/articles/category/buddhist-wisdom/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,YES,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,976,5371,0,NEVER_MONETIZE,50,SEO_P2_EMERGING,NOT_PHASE_6_CORNERSTONE,NOT_CLASSIFIED,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/category/meditation/,/articles/category/meditation/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,YES,Meditation Articles | Echo Buddha,Meditation Articles,573,2826,0,NEVER_MONETIZE,49,SEO_P2_EMERGING,NOT_PHASE_6_CORNERSTONE,NOT_CLASSIFIED,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/category/mindfulness/,/articles/category/mindfulness/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,YES,Mindfulness Articles | Echo Buddha,Mindfulness Articles,460,1986,0,NEVER_MONETIZE,49,SEO_P2_EMERGING,NOT_PHASE_6_CORNERSTONE,NOT_CLASSIFIED,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/category/practice/,/articles/category/practice/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,YES,Practice Articles | Echo Buddha,Practice Articles,522,2406,0,NEVER_MONETIZE,50,SEO_P2_EMERGING,NOT_PHASE_6_CORNERSTONE,NOT_CLASSIFIED,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/category/reflection/,/articles/category/reflection/,ARTICLE_NAVIGATION,INDEXABLE_CANONICAL_200,YES,Reflection Articles | Echo Buddha,Reflection Articles,519,2448,0,NEVER_MONETIZE,49,SEO_P2_EMERGING,NOT_PHASE_6_CORNERSTONE,NOT_CLASSIFIED,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,/articles/compassion-as-a-daily-discipline/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Compassion as a Daily Buddhist Practice | Echo Buddha,Compassion as a Daily Discipline,1513,9026,1,HOLD_MANUAL_REVIEW,63,SEO_P3_LIMITED,NOT_PHASE_6_CORNERSTONE,T0_DISTINCT,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,/articles/compassion-in-buddhism-beginner-guide/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Compassion in Buddhism: Beginner Guide and Daily Practice | Echo Buddha,Compassion in Buddhism: A Beginner's Guide,1508,8916,1,HOLD_MANUAL_REVIEW,77,SEO_P1_HIGH,NOT_PHASE_6_CORNERSTONE,T0_DISTINCT,FULL_SEO_P0_P1,NO,NO,NO,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,/articles/compassion-with-boundaries/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Compassion With Boundaries in Buddhist Practice | Echo Buddha,Compassion With Boundaries,1209,7222,5,ELIGIBLE_CANDIDATE,68,SEO_P1_HIGH,C1_HIGH,T1_LOW_TEMPLATE_RISK,FULL_SEO_P0_P1|FULL_C0_C1|FULL_PHASE10_ELIGIBLE,NO,NO,NO,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,/articles/creating-a-peaceful-corner-at-home/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Create a Peaceful Meditation Corner | Echo Buddha,Creating a Peaceful Corner at Home,1525,8175,0,HOLD_MANUAL_REVIEW,71,SEO_P2_EMERGING,NOT_PHASE_6_CORNERSTONE,T0_DISTINCT,100%_AUTOMATED_SEMANTIC_SCREEN,NO,NO,NO,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,/articles/dhamma-vs-dharma/,ARTICLE,INDEXABLE_CANONICAL_200,YES,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: What Is the Difference?,1404,8014,4,ELIGIBLE_CANDIDATE,63,SEO_P1_HIGH,C0_CRITICAL,T1_LOW_TEMPLATE_RISK,FULL_SEO_P0_P1|FULL_C0_C1|FULL_PHASE10_ELIGIBLE,NO,NO,NO,PASS
