URL,content_issue_category,context,policy_or_restriction,risk,monetization_state,action,status
https://echobuddha.com/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,NEVER_MONETIZE,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/404,NONE,GENERAL_EDUCATION_OR_UTILITY,NONE,LOW,NOT_APPLICABLE,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/about/,NONE,GENERAL_EDUCATION_OR_UTILITY,NONE,LOW,NEVER_MONETIZE,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,NEVER_MONETIZE,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,NONE,GENERAL_EDUCATION_OR_UTILITY,NONE,LOW,HOLD_MANUAL_REVIEW,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,HOLD_MANUAL_REVIEW,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/buddhist-approach-to-anger/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,HOLD_MANUAL_REVIEW,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/buddhist-gratitude-practice/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,HOLD_MANUAL_REVIEW,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,HOLD_MANUAL_REVIEW,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,HOLD_MANUAL_REVIEW,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,ELIGIBLE_CANDIDATE,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/category/buddhist-wisdom/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,NEVER_MONETIZE,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/category/meditation/,CONTEXTUAL_SENSITIVE_TERM_SCREEN,BUDDHIST_EDUCATION_ETHICS_WELLBEING_OR_NON_GRAPHIC_REFLECTION,CONTEXT_REVIEW_REQUIRED_NOT_AUTOMATIC_RESTRICTION,LOW,NEVER_MONETIZE,NONE,COMPLIANT_BY_CONTEXT_REVIEW
https://echobuddha.com/articles/category/mindfulness/,NONE,GENERAL_EDUCATION_OR_UTILITY,NONE,LOW,NEVER_MONETIZE,NONE,COMPLIANT_BY_CONTEXT_REVIEW
