URL,route,family,phase_2_score,template_risk,index_state,monetization_state,visible_word_count,independent_purpose,publisher_contribution,first_page_reviewer_test,review,seed,verdict
https://echobuddha.com/privacy-policy/,/privacy-policy/,LEGAL,NOT_SCORED,NOT_CLASSIFIED,INDEXABLE_CANONICAL_200,NEVER_MONETIZE,622,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-approach-to-anger/,/articles/buddhist-approach-to-anger/,ARTICLE,70,T1_LOW_TEMPLATE_RISK,INDEXABLE_CANONICAL_200,HOLD_MANUAL_REVIEW,1847,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/meditation/when-meditation-feels-hard/,/meditation/when-meditation-feels-hard/,MEDITATION,81,T1_LOW_TEMPLATE_RISK,INDEXABLE_CANONICAL_200,NEVER_MONETIZE,772,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/category/practice/,/articles/category/practice/,ARTICLE_NAVIGATION,50,NOT_CLASSIFIED,INDEXABLE_CANONICAL_200,NEVER_MONETIZE,522,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/first-week-buddhist-practice/,/articles/first-week-buddhist-practice/,ARTICLE,70,T1_LOW_TEMPLATE_RISK,INDEXABLE_CANONICAL_200,HOLD_MANUAL_REVIEW,1122,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/disclaimer/,/disclaimer/,LEGAL,NOT_SCORED,NOT_CLASSIFIED,INDEXABLE_CANONICAL_200,NEVER_MONETIZE,425,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-gratitude-practice/,/articles/buddhist-gratitude-practice/,ARTICLE,69,T0_DISTINCT,INDEXABLE_CANONICAL_200,HOLD_MANUAL_REVIEW,1791,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/learn/buddhist-dictionary/karuna/,/learn/buddhist-dictionary/karuna/,DICTIONARY,72,T0_DISTINCT,INDEXABLE_CANONICAL_200,NEVER_MONETIZE,370,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,/articles/how-to-meditate-for-anxiety/,ARTICLE,75,T1_LOW_TEMPLATE_RISK,INDEXABLE_CANONICAL_200,HOLD_MANUAL_REVIEW,1796,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/meditation/breathing-meditation/,/meditation/breathing-meditation/,MEDITATION,74,T1_LOW_TEMPLATE_RISK,INDEXABLE_CANONICAL_200,NEVER_MONETIZE,825,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/right-livelihood-modern-life/,/articles/right-livelihood-modern-life/,ARTICLE,63,T0_DISTINCT,INDEXABLE_CANONICAL_200,HOLD_MANUAL_REVIEW,2210,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,/articles/creating-a-peaceful-corner-at-home/,ARTICLE,71,T0_DISTINCT,INDEXABLE_CANONICAL_200,HOLD_MANUAL_REVIEW,1525,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,/articles/buddhist-teachings-on-impermanence/,ARTICLE,63,T1_LOW_TEMPLATE_RISK,INDEXABLE_CANONICAL_200,HOLD_MANUAL_REVIEW,1615,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/mindfulness-for-better-sleep/,/articles/mindfulness-for-better-sleep/,ARTICLE,75,T1_LOW_TEMPLATE_RISK,INDEXABLE_CANONICAL_200,HOLD_MANUAL_REVIEW,1603,PAGE_SPECIFIC_EDUCATION_OR_REFLECTION,ORIGINAL_EXPLANATION_EXAMPLES_AND_PRACTICE,PASS,INDEPENDENT_RANDOM_REVIEW,phase12-independent-2026-08-25,COMPLIANT_BY_EVIDENCE
