from_URL,destination,destination_domain,commercial,sponsored,affiliate,reciprocal,rel,anchor_risk,status
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://suttacentral.net/sn56.11/en/sujato,suttacentral.net,NO_EVIDENCE,NO,NO,NO_EVIDENCE,noopener noreferrer,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://www.dhammatalks.org/suttas/SN/SN45_8.html,www.dhammatalks.org,NO_EVIDENCE,NO,NO,NO_EVIDENCE,noopener noreferrer,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-approach-to-anger/,https://suttacentral.net/dhp1-20/en/sujato,suttacentral.net,NO_EVIDENCE,NO,NO,NO_EVIDENCE,,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-approach-to-anger/,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,www.accesstoinsight.org,NO_EVIDENCE,NO,NO,NO_EVIDENCE,noopener noreferrer,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-gratitude-practice/,https://www.dhammatalks.org/suttas/KN/Khp/khp5.html,www.dhammatalks.org,NO_EVIDENCE,NO,NO,NO_EVIDENCE,,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-gratitude-practice/,https://www.dhammatalks.org/suttas/AN/AN4_28.html,www.dhammatalks.org,NO_EVIDENCE,NO,NO,NO_EVIDENCE,,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,www.accesstoinsight.org,NO_EVIDENCE,NO,NO,NO_EVIDENCE,noopener noreferrer,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,www.accesstoinsight.org,NO_EVIDENCE,NO,NO,NO_EVIDENCE,noopener noreferrer,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://suttacentral.net/mn18/en/sujato,suttacentral.net,NO_EVIDENCE,NO,NO,NO_EVIDENCE,noopener noreferrer,NONE,COMPLIANT_BY_EVIDENCE
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://www.dhammatalks.org/books/BeyondAllDirections/Section0013.html,www.dhammatalks.org,NO_EVIDENCE,NO,NO,NO_EVIDENCE,noopener noreferrer,NONE,COMPLIANT_BY_EVIDENCE
