proposed title,proposed URL,content family,target reader intent,primary pillar owner,supporting pages,overlap/cannibalization risk,source requirements,quote/translation risk,meditation/wellbeing safety risk,indexability recommendation,implementation priority,decision
The Middle Way Explained for Beginners,/learn/buddhism-101/middle-way-explained-for-beginners/,Buddhist Foundations,"Beginner wants the Middle Way explained without asceticism/self-indulgence confusion",/learn/buddhism-for-beginners/,"/learn/buddhism-101/the-four-noble-truths-explained/; /learn/buddhism-101/the-noble-eightfold-path-explained/","Low if framed as foundation support, not a new broad Buddhism owner","Use Dhammacakkappavattana Sutta context and source policy links","Low; no quoted translation text planned","Low","Indexable",1,create now
"The Threefold Training: Sila, Samadhi, and Panna",/learn/buddhism-101/threefold-training-sila-samadhi-panna/,Buddhist Foundations,"Beginner wants to understand ethics, concentration, and wisdom as one training",/learn/eightfold-path/,"/learn/buddhism-101/five-precepts-buddhism/; /meditation/; /learn/buddhist-dictionary/dhamma/","Low if it supports Eightfold Path instead of replacing it","Use Eightfold Path source context and avoid claiming one universal tradition-only interpretation","Low; Pali terms need cautious transliteration","Low","Indexable",2,create now
"The Five Hindrances in Buddhism",/learn/buddhism-101/five-hindrances-in-buddhism/,Buddhist Foundations,"Reader wants common meditation/practice obstacles explained in Buddhist language",/meditation/,"/meditation/when-meditation-feels-hard/; /meditation/meditation-for-beginners/; /learn/buddhism-101/the-noble-eightfold-path-explained/","Medium if it duplicates meditation-difficulty pages; keep this doctrinal and practice-obstacle focused","Use reputable sutta/background references where available and keep external review pending","Low","Medium; do not medicalize restlessness or promise relief","Indexable",3,create now
"The Four Brahmaviharas",/learn/buddhism-101/four-brahmaviharas/,Buddhist Foundations,"Reader wants loving-kindness, compassion, appreciative joy, and equanimity explained together",/learn/buddhist-dictionary/compassion/,"/meditation/loving-kindness-meditation/; /articles/compassion-as-a-daily-discipline/; /articles/compassion-with-boundaries/","Medium if it becomes a broad compassion hub; keep as four-quality overview","Use Metta Sutta and reputable Brahmavihara context; avoid sectarian overclaiming","Low","Low to medium; include boundaries and do not force loving-kindness","Indexable",4,create now
"Dhammacakkappavattana Sutta: Four Noble Truths in Context",/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Source-Study Cluster,"Reader wants the first teaching and Four Noble Truths context without long translations",/learn/four-noble-truths/,"/learn/buddhism-101/the-four-noble-truths-explained/; /learn/buddhist-dictionary/dukkha/; /learn/buddhism-101/middle-way-explained-for-beginners/","Low if it remains source-study and links up to the Four Noble Truths pillar","Use public source links; summarize rather than quote translation","Medium; distinguish sutta, translation, paraphrase, and Echo Buddha reflection","Low","Indexable",5,create now
"Magga-vibhanga Sutta: Eightfold Path Explained Simply",/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Source-Study Cluster,"Reader wants a source-aware Eightfold Path text guide",/learn/eightfold-path/,"/learn/buddhism-101/the-noble-eightfold-path-explained/; /articles/right-speech-buddhism/; /learn/buddhism-101/threefold-training-sila-samadhi-panna/","Low if it stays source-study instead of replacing the Eightfold Path hub","Use public source links; keep terms simple and source-aware","Medium; no long translation reproduction","Low","Indexable",6,create now
Sutta,/learn/buddhist-dictionary/sutta/,Dictionary Expansion,"Reader needs a standalone definition of sutta before source-study pages",/learn/buddhist-dictionary/,"/learn/sutta-for-daily-life/; /learn/buddhist-dictionary/pali-canon/; /buddhist-sources-and-citations/","Low if concise and not a broad source-study hub","Use source/citation policy and reputable Buddhist text resources","Low; no translation claims","Low","Indexable",7,create now
Pali Canon,/learn/buddhist-dictionary/pali-canon/,Dictionary Expansion,"Reader needs a beginner definition of the Pali Canon and how Echo Buddha references it",/learn/buddhist-dictionary/,"/learn/buddhist-dictionary/sutta/; /learn/buddhist-resources/; /buddhist-sources-and-citations/","Low if it remains a dictionary reference and not a full canon history","Use reputable public resources and careful tradition-context language","Low to medium; avoid ownership/canon claims across all traditions","Low","Indexable",8,create now
10-Minute Meditation Practice,/meditation/10-minute-meditation-practice/,Meditation Practice Cluster,"Reader wants a slightly longer but still simple practice after the five-minute guide",/meditation/,"/meditation/5-minute-meditation-practice/; /meditation/meditation-for-beginners/; /meditation/breathing-meditation/","Low if it is a duration support page and not a broad meditation owner","Use breathing-practice source context and safety policy","Low","Medium; include stop/adapt/ground/seek support language","Indexable",9,create now
Meditation Posture for Beginners,/meditation/meditation-posture-for-beginners/,Meditation Practice Cluster,"Reader wants stable posture options without rigid traditional performance",/meditation/,"/meditation/meditation-for-beginners/; /meditation/10-minute-meditation-practice/; /meditation-safety/","Low if posture-specific and accessibility-aware","Use general Buddhist posture/mindfulness context; no medical ergonomics claims","Low","Medium; avoid clinical or pain-treatment advice","Indexable",10,create now
