URL,Topic cluster,Role,Primary owner,Is primary owner?,Unique information gain,Does not own,Cannibalization risk,Future action,Human review,Evidence
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Dhammapada,SOURCE_STUDY,https://echobuddha.com/learn/dhammapada-reflections/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Reflection on a Trained Mind and Peace”.",This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,LOW,IMPROVE,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1193 words; 26 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 39.5%; external source links 0; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Dhammapada,SOURCE_STUDY,https://echobuddha.com/learn/dhammapada-reflections/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada What We Think: Translation, Paraphrase, Reflection”.",This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,LOW,IMPROVE,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1395 words; 29 content headings; authored route; nearest /articles/dhammapada-verse-1-meaning/ combined overlap 46.6%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Dhammapada,SOURCE_STUDY,https://echobuddha.com/learn/dhammapada-reflections/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammapada Verse 1 Meaning and Translation Caution”.",This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,LOW,IMPROVE,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 835 words; 21 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 46.6%; external source links 2; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Breath / Mindfulness of Breathing,PRIMARY_PILLAR,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Yes,"A narrower explanation, misconception, or example set specific to “Mindfulness of Breathing Guide for Calm and Clarity”.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1306 words; 28 content headings; authored route; nearest /articles/how-to-meditate-for-beginners/ combined overlap 41.6%; external source links 2; role review: PRIMARY_PILLAR; owner selection: It owns the fuller breath-method explanation; practice and source pages keep distinct roles.
https://echobuddha.com/articles/right-speech-buddhism/,Right Speech,PRIMARY_PILLAR,https://echobuddha.com/articles/right-speech-buddhism/,Yes,"A narrower explanation, misconception, or example set specific to “Right Speech in Buddhism: Meaning, Examples, and Practice”.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1430 words; 31 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 43.9%; external source links 2; role review: PRIMARY_PILLAR; owner selection: It combines meaning, ethical criteria, examples, and practice; other pages can specialize by source or scenario."
https://echobuddha.com/articles/three-ways-to-practice-patience/,Patience,PRIMARY_PILLAR,https://echobuddha.com/articles/three-ways-to-practice-patience/,Yes,"A narrower explanation, misconception, or example set specific to “Three Ways to Practice Patience”.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1188 words; 27 content headings; authored route; nearest /articles/mindful-listening-in-everyday-life/ combined overlap 41.8%; external source links 0; role review: PRIMARY_PILLAR; owner selection: It is the broad practical owner; source study and recurring reflections remain narrow.
https://echobuddha.com/learn/buddhist-dictionary/metta/,Loving-Kindness / Metta,PRIMARY_PILLAR,https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,"A narrower explanation, misconception, or example set specific to “Metta Meaning: Loving-Kindness in Buddhism”.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 315 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karuna/ combined overlap 59.7%; external source links 1; role review: PRIMARY_PILLAR; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,Dhammapada,SOURCE_STUDY,https://echobuddha.com/learn/dhammapada-reflections/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Avoid Evil, Do Good, Purify the Mind”.",This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,MEDIUM,HUMAN_REVIEW,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 334 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ combined overlap 51.2%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,Dhammapada,SOURCE_STUDY,https://echobuddha.com/learn/dhammapada-reflections/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Better Than a Thousand Empty Words”.",This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,MEDIUM,HUMAN_REVIEW,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/ combined overlap 54.0%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,Dhammapada,SOURCE_STUDY,https://echobuddha.com/learn/dhammapada-reflections/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Hatred Is Not Ended by Hatred”.",This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,MEDIUM,HUMAN_REVIEW,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 276 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/better-than-a-thousand-empty-words/ combined overlap 54.0%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/learn/dhammapada-reflections/,Dhammapada,HUB,https://echobuddha.com/learn/dhammapada-reflections/,Yes,"Orientation, selection, and meaningful navigation across the Dhammapada cluster.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 221 words; 3 content headings; authored route; nearest /learn/sutta-for-daily-life/ combined overlap 32.3%; external source links 2; role review: HUB; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,Dhammapada,SOURCE_STUDY,https://echobuddha.com/learn/dhammapada-reflections/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Peace Comes from a Trained Mind”.",This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,MEDIUM,HUMAN_REVIEW,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 276 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/the-mind-leads-all-things/ combined overlap 51.4%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,Dhammapada,SOURCE_STUDY,https://echobuddha.com/learn/dhammapada-reflections/,No,"Source-specific study, attribution, translation context, or textual interpretation for “The Mind Leads All Things”.",This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,MEDIUM,HUMAN_REVIEW,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 288 words; 12 content headings; authored route; nearest /learn/dhammapada-reflections/peace-comes-from-a-trained-mind/ combined overlap 51.4%; external source links 1; role review: SOURCE_STUDY; owner selection: The source-aware hub organizes verse study and clearly separates translation, paraphrase, and reflection."
https://echobuddha.com/learn/eightfold-path/,Noble Eightfold Path,PRIMARY_PILLAR,https://echobuddha.com/learn/eightfold-path/,Yes,"A narrower explanation, misconception, or example set specific to “Noble Eightfold Path for Daily Life”.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,"Phase 1: Built 2026-08-11T02:17:46.273Z; 342 words; 9 content headings; authored route; nearest /learn/four-noble-truths/ combined overlap 26.3%; external source links 2; role review: PRIMARY_PILLAR; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
https://echobuddha.com/learn/four-noble-truths/,Four Noble Truths,PRIMARY_PILLAR,https://echobuddha.com/learn/four-noble-truths/,Yes,"A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained for Beginners”.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 259 words; 8 content headings; authored route; nearest /learn/eightfold-path/ combined overlap 26.3%; external source links 2; role review: PRIMARY_PILLAR; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,Patience,SOURCE_STUDY,https://echobuddha.com/articles/three-ways-to-practice-patience/,No,"Source-specific study, attribution, translation context, or textual interpretation for “The Buddha's Teaching on Patience”.",This page does not own the broad Patience explanation; that belongs to /articles/three-ways-to-practice-patience/.,LOW,IMPROVE,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 259 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/right-speech-in-daily-life/ combined overlap 52.3%; external source links 1; role review: SOURCE_STUDY; owner selection: It is the broad practical owner; source study and recurring reflections remain narrow.
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Four Noble Truths,SOURCE_STUDY,https://echobuddha.com/learn/four-noble-truths/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Dhammacakkappavattana Sutta and the Four Noble Truths”.",This page does not own the broad Four Noble Truths explanation; that belongs to /learn/four-noble-truths/.,LOW,IMPROVE,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 379 words; 9 content headings; authored route; nearest /learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/ combined overlap 54.7%; external source links 2; role review: SOURCE_STUDY; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
https://echobuddha.com/learn/sutta-for-daily-life/,Sutta Study,HUB,https://echobuddha.com/learn/sutta-for-daily-life/,Yes,"Orientation, selection, and meaningful navigation across the Sutta Study cluster.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 283 words; 3 content headings; authored route; nearest /learn/dhammapada-reflections/ combined overlap 32.3%; external source links 2; role review: HUB; owner selection: The hub owns navigation into specific canonical-text studies; doctrine pillars own general explanations.
https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,Sutta Study,SOURCE_STUDY,https://echobuddha.com/learn/sutta-for-daily-life/,No,"Source-specific study, attribution, translation context, or textual interpretation for “The Kalama Sutta and Wise Thinking”.",This page does not own the broad Sutta Study explanation; that belongs to /learn/sutta-for-daily-life/.,MEDIUM,HUMAN_REVIEW,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 289 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 51.8%; external source links 1; role review: SOURCE_STUDY; owner selection: The hub owns navigation into specific canonical-text studies; doctrine pillars own general explanations.
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Noble Eightfold Path,SOURCE_STUDY,https://echobuddha.com/learn/eightfold-path/,No,"Source-specific study, attribution, translation context, or textual interpretation for “Magga-vibhanga Sutta and the Noble Eightfold Path”.",This page does not own the broad Noble Eightfold Path explanation; that belongs to /learn/eightfold-path/.,LOW,IMPROVE,Yes,"Phase 1: Built 2026-08-11T02:17:46.273Z; 375 words; 9 content headings; authored route; nearest /learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/ combined overlap 54.7%; external source links 2; role review: SOURCE_STUDY; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,Loving-Kindness / Metta,SOURCE_STUDY,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,"Source-specific study, attribution, translation context, or textual interpretation for “The Metta Sutta Explained for Daily Life”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,LOW,IMPROVE,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 296 words; 12 content headings; authored route; nearest /learn/sutta-for-daily-life/buddhas-teaching-on-patience/ combined overlap 50.4%; external source links 1; role review: SOURCE_STUDY; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
