URL,Topic cluster,This page does not own,Broad owner URL,Drift prevention rule
https://echobuddha.com/about/,Trust / Policy,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/about/,Do not absorb narrow support roles.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Mindfulness,This page does not own the broad Mindfulness explanation; that belongs to /learn/buddhism-101/what-is-mindfulness/.,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Beginner Buddhism,This page does not own the broad Beginner Buddhism explanation; that belongs to /learn/buddhism-for-beginners/.,https://echobuddha.com/learn/buddhism-for-beginners/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/buddhist-approach-to-anger/,Anger,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/articles/buddhist-approach-to-anger/,Do not absorb narrow support roles.
https://echobuddha.com/articles/buddhist-gratitude-practice/,Gratitude,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/articles/buddhist-gratitude-practice/,Do not absorb narrow support roles.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Forgiveness,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Do not absorb narrow support roles.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Impermanence,This page does not own the broad Impermanence explanation; that belongs to /learn/buddhism-101/what-is-impermanence/.,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Anxiety / Overthinking,This page does not own the broad Anxiety / Overthinking explanation; that belongs to /articles/how-to-meditate-for-anxiety/.,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/category/buddhist-wisdom/,Article Discovery,This page does not own the broad Article Discovery explanation; that belongs to /articles/.,https://echobuddha.com/articles/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/category/meditation/,Article Discovery,This page does not own the broad Article Discovery explanation; that belongs to /articles/.,https://echobuddha.com/articles/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/category/mindfulness/,Article Discovery,This page does not own the broad Article Discovery explanation; that belongs to /articles/.,https://echobuddha.com/articles/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/category/practice/,Buddhist Practice,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/articles/category/practice/,Do not absorb narrow support roles.
https://echobuddha.com/articles/category/reflection/,Article Discovery,This page does not own the broad Article Discovery explanation; that belongs to /articles/.,https://echobuddha.com/articles/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Compassion,This page does not own the broad Compassion explanation; that belongs to /articles/compassion-in-buddhism-beginner-guide/.,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Compassion,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Do not absorb narrow support roles.
https://echobuddha.com/articles/compassion-with-boundaries/,Compassion,This page does not own the broad Compassion explanation; that belongs to /articles/compassion-in-buddhism-beginner-guide/.,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Meditation,This page does not own the broad Meditation explanation; that belongs to /meditation/.,https://echobuddha.com/meditation/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/dhamma-vs-dharma/,Dhamma / Dharma,This page does not own the broad Dhamma / Dharma explanation; that belongs to /learn/buddhist-dictionary/dhamma/.,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Dhammapada,This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,https://echobuddha.com/learn/dhammapada-reflections/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Dhammapada,This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,https://echobuddha.com/learn/dhammapada-reflections/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Dhammapada,This page does not own the broad Dhammapada explanation; that belongs to /learn/dhammapada-reflections/.,https://echobuddha.com/learn/dhammapada-reflections/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Noble Eightfold Path,This page does not own the broad Noble Eightfold Path explanation; that belongs to /learn/eightfold-path/.,https://echobuddha.com/learn/eightfold-path/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/eightfold-path-explained/,Noble Eightfold Path,This page does not own the broad Noble Eightfold Path explanation; that belongs to /learn/eightfold-path/.,https://echobuddha.com/learn/eightfold-path/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/equanimity-in-buddhism/,Equanimity,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/articles/equanimity-in-buddhism/,Do not absorb narrow support roles.
https://echobuddha.com/articles/first-week-buddhist-practice/,Beginner Buddhism,This page does not own the broad Beginner Buddhism explanation; that belongs to /learn/buddhism-for-beginners/.,https://echobuddha.com/learn/buddhism-for-beginners/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/five-precepts-in-daily-life/,Five Precepts,This page does not own the broad Five Precepts explanation; that belongs to /learn/buddhism-101/five-precepts-buddhism/.,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Four Noble Truths,This page does not own the broad Four Noble Truths explanation; that belongs to /learn/four-noble-truths/.,https://echobuddha.com/learn/four-noble-truths/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/four-noble-truths-explained/,Four Noble Truths,This page does not own the broad Four Noble Truths explanation; that belongs to /learn/four-noble-truths/.,https://echobuddha.com/learn/four-noble-truths/,Do not expand into a second broad pillar.
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Attachment / Non-Attachment / Letting Go,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Do not absorb narrow support roles.
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Anxiety / Overthinking,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Do not absorb narrow support roles.
