URL,Topic cluster,Role,Primary owner,Is primary owner?,Unique information gain,Does not own,Cannibalization risk,Future action,Human review,Evidence
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Anxiety / Overthinking,SCENARIO_GUIDE,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,No,Worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,This page does not own the broad Anxiety / Overthinking explanation; that belongs to /articles/how-to-meditate-for-anxiety/.,MEDIUM,HUMAN_REVIEW,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Meditation,SCENARIO_GUIDE,https://echobuddha.com/meditation/,No,Worked guidance for the specific situation named by “Create a Peaceful Meditation Corner”.,This page does not own the broad Meditation explanation; that belongs to /meditation/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1154 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 41.9%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Anxiety / Overthinking,SCENARIO_GUIDE,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Yes,Worked guidance for the specific situation named by “How to Meditate for Anxiety Gently”.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,HUMAN_REVIEW,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 1410 words; 28 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 43.5%; external source links 1; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.
https://echobuddha.com/articles/how-to-meditate-for-beginners/,Meditation,PRACTICE_GUIDE,https://echobuddha.com/meditation/,No,"Concrete method, pacing, posture, duration, or troubleshooting specific to “How to Meditate for Beginners: Simple Buddhist Guide”.",This page does not own the broad Meditation explanation; that belongs to /meditation/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1327 words; 28 content headings; authored route; nearest /articles/mindfulness-of-breathing-guide/ combined overlap 41.6%; external source links 2; role review: PRACTICE_GUIDE; owner selection: It organizes practice choices and routes readers without pretending to be every meditation method.
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Loving-Kindness / Metta,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,"A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation for Beginners”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,HIGH,CONSOLIDATE_REVIEW,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1359 words; 29 content headings; authored route; nearest /articles/metta-meditation-script/ combined overlap 44.0%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/articles/loving-kindness-meditation-guide/,Loving-Kindness / Metta,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,"A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation Guide for Beginners”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,MEDIUM,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1316 words; 28 content headings; authored route; nearest /articles/loving-kindness-meditation-beginners/ combined overlap 42.1%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/articles/metta-meditation-script/,Loving-Kindness / Metta,PRACTICE_GUIDE,https://echobuddha.com/learn/buddhist-dictionary/metta/,No,"Concrete method, pacing, posture, duration, or troubleshooting specific to “Metta Meditation Script for Loving-Kindness Practice”.",This page does not own the broad Loving-Kindness / Metta explanation; that belongs to /learn/buddhist-dictionary/metta/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1606 words; 30 content headings; authored route; nearest /articles/loving-kindness-meditation-beginners/ combined overlap 44.0%; external source links 2; role review: PRACTICE_GUIDE; owner selection: The term page should own metta meaning while meditation pages own practices and scripts.
https://echobuddha.com/articles/mindfulness-for-better-sleep/,Sleep,SCENARIO_GUIDE,https://echobuddha.com/articles/mindfulness-for-better-sleep/,Yes,Worked guidance for the specific situation named by “Mindfulness for Better Sleep”.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,HUMAN_REVIEW,Yes,Phase 1: Built 2026-08-11T02:17:46.273Z; 1277 words; 28 content headings; authored route; nearest /articles/how-to-meditate-for-anxiety/ combined overlap 43.5%; external source links 1; role review: SCENARIO_GUIDE; owner selection: It is the only sleep-specific mindfulness guide and must retain wellbeing boundaries.
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Breath / Mindfulness of Breathing,PRIMARY_PILLAR,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Yes,"A narrower explanation, misconception, or example set specific to “Mindfulness of Breathing Guide for Calm and Clarity”.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",NONE,KEEP,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1306 words; 28 content headings; authored route; nearest /articles/how-to-meditate-for-beginners/ combined overlap 41.6%; external source links 2; role review: PRIMARY_PILLAR; owner selection: It owns the fuller breath-method explanation; practice and source pages keep distinct roles.
https://echobuddha.com/articles/walking-meditation-step-by-step/,Walking Meditation,PRACTICE_GUIDE,https://echobuddha.com/meditation/walking-meditation/,No,"Concrete method, pacing, posture, duration, or troubleshooting specific to “Walking Meditation: Step-by-Step Guide”.",This page does not own the broad Walking Meditation explanation; that belongs to /meditation/walking-meditation/.,LOW,IMPROVE,No,Phase 1: Built 2026-08-11T02:17:46.273Z; 1239 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 41.8%; external source links 0; role review: PRACTICE_GUIDE; owner selection: The meditation route should own the repeatable walking practice; the article must add depth or be reviewed for consolidation.
