Cluster,URL A,URL B,Intent overlap,Audience overlap,Conceptual overlap,Source overlap,Practice overlap,Example overlap,Structure overlap,Unique information gain A,Unique information gain B,Preferred owner,Reason owner selected,Can coexist?,Required role distinction,Cannibalization risk,Future action,Confidence,Human review?
Beginner Buddhism,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/learn/buddhism-for-beginners/,High,High,High,Medium,Medium,Medium,High,"A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.","A narrower explanation, misconception, or example set specific to “Buddhism for Beginners - Simple Buddhist Teachings”.",https://echobuddha.com/learn/buddhism-for-beginners/,The strongest structured entry into basic Buddhist teaching and practice.,Unlikely without material redefinition,Keyword/title-level distinction does not justify a second broad beginner guide.,HIGH,CONSOLIDATE,High,No
Beginner Buddhism,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,Medium,High,Medium,Medium,Medium,Medium,Medium,"A narrower explanation, misconception, or example set specific to “What Is Buddhism? Beginner Guide to Buddhist Wisdom”.","A narrower explanation, misconception, or example set specific to “What Is Buddhism? A Clear Beginner's Guide”.",https://echobuddha.com/learn/buddhism-for-beginners/,The strongest structured entry into basic Buddhist teaching and practice.,"Yes, if required distinction is implemented",Both orient beginners; article must own misconception/orientation context and lesson must own structured definition.,MEDIUM,KEEP_AND_REPOSITION,Medium,No
Four Noble Truths,https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/learn/four-noble-truths/,High,High,High,Medium,Medium,Medium,High,"A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained Simply for Beginners”.","A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained for Beginners”.",https://echobuddha.com/learn/four-noble-truths/,The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.,Unlikely without material redefinition,The simple explainer substantially competes with the dedicated broad owner.,HIGH,CONSOLIDATE,High,No
Four Noble Truths,https://echobuddha.com/articles/four-noble-truths-explained/,https://echobuddha.com/learn/four-noble-truths/,Medium,High,Medium,Medium,Medium,Medium,Medium,"A narrower explanation, misconception, or example set specific to “The Four Noble Truths Explained Simply”.","A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained for Beginners”.",https://echobuddha.com/learn/four-noble-truths/,The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.,"Yes, if required distinction is implemented",Keep only if it owns misconceptions and worked daily-life application rather than another broad explanation.,MEDIUM,TARGETED_REWRITE,Medium,No
Four Noble Truths,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,https://echobuddha.com/learn/four-noble-truths/,Medium,High,Medium,Medium,Medium,Medium,Medium,"A narrower explanation, misconception, or example set specific to “The Four Noble Truths Explained”.","A narrower explanation, misconception, or example set specific to “Four Noble Truths Explained for Beginners”.",https://echobuddha.com/learn/four-noble-truths/,The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.,"Yes, if required distinction is implemented",Structured-course role must be visible and subordinate to the dedicated pillar.,MEDIUM,KEEP_AND_REPOSITION,Medium,No
Noble Eightfold Path,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/learn/eightfold-path/,High,Medium,High,Medium,Medium,Medium,High,Daily-life examples or a repeatable application tied specifically to “Eightfold Path in Daily Life”.,"A narrower explanation, misconception, or example set specific to “Noble Eightfold Path for Daily Life”.",https://echobuddha.com/learn/eightfold-path/,"The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice.",Unlikely without material redefinition,Its daily-life promise overlaps the practical guide and the broad owner.,HIGH,CONSOLIDATE,High,No
Noble Eightfold Path,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,https://echobuddha.com/learn/eightfold-path/,High,Medium,High,Medium,Medium,Medium,High,Daily-life examples or a repeatable application tied specifically to “Noble Eightfold Path Practical Guide for Daily Life”.,"A narrower explanation, misconception, or example set specific to “Noble Eightfold Path for Daily Life”.",https://echobuddha.com/learn/eightfold-path/,"The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice.",Unlikely without material redefinition,Its practice checklist competes with another daily-life article and repeats the full-path journey.,HIGH,CONSOLIDATE,High,No
Noble Eightfold Path,https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/learn/eightfold-path/,Medium,High,Medium,Medium,Medium,Medium,Medium,"A narrower explanation, misconception, or example set specific to “The Noble Eightfold Path Explained for Beginners”.","A narrower explanation, misconception, or example set specific to “Noble Eightfold Path for Daily Life”.",https://echobuddha.com/learn/eightfold-path/,"The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice.","Yes, if required distinction is implemented","It must own framework nuance or misconceptions, not another full beginner explanation.",MEDIUM,TARGETED_REWRITE,Medium,No
Noble Eightfold Path,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,https://echobuddha.com/learn/eightfold-path/,Medium,High,Medium,Medium,Medium,Medium,Medium,"A narrower explanation, misconception, or example set specific to “The Noble Eightfold Path Explained”.","A narrower explanation, misconception, or example set specific to “Noble Eightfold Path for Daily Life”.",https://echobuddha.com/learn/eightfold-path/,"The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice.","Yes, if required distinction is implemented",Course lesson may coexist only as a visibly sequenced lesson.,MEDIUM,KEEP_AND_REPOSITION,Medium,No
Impermanence,https://echobuddha.com/articles/impermanence-in-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,High,High,High,Medium,Medium,Medium,High,"A narrower explanation, misconception, or example set specific to “Impermanence in Buddhism: Accepting Change Peacefully”.","A narrower explanation, misconception, or example set specific to “What Is Impermanence?”.",https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.,Unlikely without material redefinition,The article currently repeats broad definition and change framing.,HIGH,CONSOLIDATE,High,No
Impermanence,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,High,Medium,High,Medium,Medium,Medium,High,Daily-life examples or a repeatable application tied specifically to “Impermanence in Buddhism and How to Let Go Gently”.,"A narrower explanation, misconception, or example set specific to “What Is Impermanence?”.",https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.,Unlikely without material redefinition,Its letting-go application overlaps both the impermanence pillar and attachment owner.,HIGH,CONSOLIDATE,High,No
Impermanence,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Medium,High,Medium,Medium,Medium,Medium,Medium,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.","A narrower explanation, misconception, or example set specific to “What Is Impermanence?”.",https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.,"Yes, if required distinction is implemented",Keep only as source/teaching-context support with explicit source boundaries.,MEDIUM,KEEP_AND_REPOSITION,Medium,No
Attachment / Non-Attachment / Letting Go,https://echobuddha.com/articles/how-to-practice-non-attachment/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Daily-life examples or a repeatable application tied specifically to “How to Practice Non-Attachment”.,"A narrower explanation, misconception, or example set specific to “How to Let Go of Attachment in Buddhism”.",https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,It most clearly distinguishes clinging from care and anchors the practical release cluster.,"Yes, if required distinction is implemented",The practice page needs a repeatable method distinct from the broad attachment guide.,MEDIUM,KEEP_AND_REPOSITION,Medium,No
Compassion,https://echobuddha.com/learn/buddhist-dictionary/compassion/,https://echobuddha.com/learn/buddhist-dictionary/karuna/,Medium,High,Medium,Medium,Medium,Medium,Medium,Concise linguistic and doctrinal definition of the term in “Compassion Meaning in Buddhist Wisdom”.,Concise linguistic and doctrinal definition of the term in “Karuna Meaning: Compassion in Buddhism”.,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,"It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs.","Yes, if required distinction is implemented",English concept and Pali term can coexist only with explicit linguistic/tradition distinction.,MEDIUM,TARGETED_REWRITE,Medium,No
Loving-Kindness / Metta,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,https://echobuddha.com/articles/loving-kindness-meditation-guide/,High,High,High,Medium,High,Medium,High,"A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation for Beginners”.","A narrower explanation, misconception, or example set specific to “Loving-Kindness Meditation Guide for Beginners”.",https://echobuddha.com/learn/buddhist-dictionary/metta/,The term page should own metta meaning while meditation pages own practices and scripts.,Unlikely without material redefinition,Both target beginners and explain the same practice sequence.,HIGH,CONSOLIDATE,High,No
