URL,Topic cluster,Primary role,Why this page exists,Owner URL,Confidence
https://echobuddha.com/about/,Trust / Policy,TRUST_POLICY,"This page exists as Echo Buddha's protected owner for Trust / Policy: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.",https://echobuddha.com/about/,Medium
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Mindfulness,PRACTICAL_APPLICATION,This page exists to serve practical how to within Mindfulness through daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,High
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Beginner Buddhism,BEGINNER_FOUNDATION,"This page exists to serve beginner informational within Beginner Buddhism through a narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",https://echobuddha.com/learn/buddhism-for-beginners/,High
https://echobuddha.com/articles/buddhist-approach-to-anger/,Anger,PRIMARY_PILLAR,This page exists as Echo Buddha's protected owner for Anger: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.,https://echobuddha.com/articles/buddhist-approach-to-anger/,High
https://echobuddha.com/articles/buddhist-gratitude-practice/,Gratitude,PRACTICAL_APPLICATION,This page exists as Echo Buddha's protected owner for Gratitude: It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging.,https://echobuddha.com/articles/buddhist-gratitude-practice/,High
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Forgiveness,PRIMARY_PILLAR,This page exists as Echo Buddha's protected owner for Forgiveness: It uniquely distinguishes release from approval and protects boundaries.,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,High
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Impermanence,SUPPORTING_EXPLANATION,"This page exists to serve foundational informational within Impermanence through a narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.",https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,High
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Anxiety / Overthinking,SCENARIO_GUIDE,This page exists to serve scenario application within Anxiety / Overthinking through worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,Medium
https://echobuddha.com/articles/category/buddhist-wisdom/,Article Discovery,CATEGORY,"This page exists to serve navigational within Article Discovery through orientation, selection, and meaningful navigation across the Article Discovery cluster.",https://echobuddha.com/articles/,High
https://echobuddha.com/articles/category/meditation/,Article Discovery,CATEGORY,"This page exists to serve navigational within Article Discovery through orientation, selection, and meaningful navigation across the Article Discovery cluster.",https://echobuddha.com/articles/,High
https://echobuddha.com/articles/category/mindfulness/,Article Discovery,CATEGORY,"This page exists to serve navigational within Article Discovery through orientation, selection, and meaningful navigation across the Article Discovery cluster.",https://echobuddha.com/articles/,High
https://echobuddha.com/articles/category/practice/,Buddhist Practice,CATEGORY,This page exists as Echo Buddha's protected owner for Buddhist Practice: The category organizes practical articles without owning their underlying Buddhist doctrines.,https://echobuddha.com/articles/category/practice/,High
https://echobuddha.com/articles/category/reflection/,Article Discovery,CATEGORY,"This page exists to serve navigational within Article Discovery through orientation, selection, and meaningful navigation across the Article Discovery cluster.",https://echobuddha.com/articles/,High
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Compassion,PRACTICAL_APPLICATION,This page exists to serve practical how to within Compassion through daily-life examples or a repeatable application tied specifically to “Compassion as a Daily Buddhist Practice”.,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,High
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Compassion,PRIMARY_PILLAR,"This page exists as Echo Buddha's protected owner for Compassion: It provides the broad Buddhist frame; dictionary terms, boundaries, and daily discipline have narrower jobs.",https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,High
https://echobuddha.com/articles/compassion-with-boundaries/,Compassion,SCENARIO_GUIDE,This page exists to serve scenario application within Compassion through worked guidance for the specific situation named by “Compassion With Boundaries in Buddhist Practice”.,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,High
