Case ID,Cluster,Pages involved,Intended owner,Risk,Evidence,Required distinction,Future remediation type,Phase 3 validation required,Confidence
P2-CONFLICT-01,Beginner Buddhism,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/ | https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-for-beginners/,HIGH,Keyword/title-level distinction does not justify a second broad beginner guide.,Keyword/title-level distinction does not justify a second broad beginner guide.,CONSOLIDATE,Yes,High
P2-CONFLICT-02,Beginner Buddhism,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/ | https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,https://echobuddha.com/learn/buddhism-for-beginners/,MEDIUM,Both orient beginners; article must own misconception/orientation context and lesson must own structured definition.,Both orient beginners; article must own misconception/orientation context and lesson must own structured definition.,KEEP_AND_REPOSITION,Yes,Medium
P2-CONFLICT-03,Four Noble Truths,https://echobuddha.com/articles/four-noble-truths-explained-simply/ | https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/four-noble-truths/,HIGH,The simple explainer substantially competes with the dedicated broad owner.,The simple explainer substantially competes with the dedicated broad owner.,CONSOLIDATE,Yes,High
P2-CONFLICT-04,Four Noble Truths,https://echobuddha.com/articles/four-noble-truths-explained/ | https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/four-noble-truths/,MEDIUM,Keep only if it owns misconceptions and worked daily-life application rather than another broad explanation.,Keep only if it owns misconceptions and worked daily-life application rather than another broad explanation.,TARGETED_REWRITE,Yes,Medium
P2-CONFLICT-05,Four Noble Truths,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/ | https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/four-noble-truths/,MEDIUM,Structured-course role must be visible and subordinate to the dedicated pillar.,Structured-course role must be visible and subordinate to the dedicated pillar.,KEEP_AND_REPOSITION,Yes,Medium
P2-CONFLICT-06,Noble Eightfold Path,https://echobuddha.com/articles/eightfold-path-explained-daily-life/ | https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,HIGH,Its daily-life promise overlaps the practical guide and the broad owner.,Its daily-life promise overlaps the practical guide and the broad owner.,CONSOLIDATE,Yes,High
P2-CONFLICT-07,Noble Eightfold Path,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/ | https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,HIGH,Its practice checklist competes with another daily-life article and repeats the full-path journey.,Its practice checklist competes with another daily-life article and repeats the full-path journey.,CONSOLIDATE,Yes,High
P2-CONFLICT-08,Noble Eightfold Path,https://echobuddha.com/articles/eightfold-path-explained/ | https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,MEDIUM,"It must own framework nuance or misconceptions, not another full beginner explanation.","It must own framework nuance or misconceptions, not another full beginner explanation.",TARGETED_REWRITE,Yes,Medium
P2-CONFLICT-09,Noble Eightfold Path,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/ | https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,MEDIUM,Course lesson may coexist only as a visibly sequenced lesson.,Course lesson may coexist only as a visibly sequenced lesson.,KEEP_AND_REPOSITION,Yes,Medium
P2-CONFLICT-10,Impermanence,https://echobuddha.com/articles/impermanence-in-buddhism/ | https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,HIGH,The article currently repeats broad definition and change framing.,The article currently repeats broad definition and change framing.,CONSOLIDATE,Yes,High
P2-CONFLICT-11,Impermanence,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/ | https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,HIGH,Its letting-go application overlaps both the impermanence pillar and attachment owner.,Its letting-go application overlaps both the impermanence pillar and attachment owner.,CONSOLIDATE,Yes,High
