URL,Page family,Current index state,Current title,Current H1,Topic cluster,Primary page role,Secondary page role,Audience stage,Primary user intent,Primary search intent,Primary topic owner URL,Is primary owner?,Closest overlapping page,Current differentiation,Required differentiation,Unique information gain,Why this page exists,This page does not own,Broad query ownership,Support relationship,Parent pillar,Downstream support pages,Cannibalization risk,Ownership conflict level,Phase 1 recommendation,Phase 2 ownership decision,Future remediation type,Indexability review needed in Phase 3?,Rewrite needed in Phase 4/5?,Human review required?,Confidence,Evidence,Notes
https://echobuddha.com/about/,trust/policy,indexable,About Echo Buddha | Echo Buddha,About Echo Buddha,Trust / Policy,TRUST_POLICY,,GENERAL_READER,trust,TRUST,https://echobuddha.com/about/,Yes,https://echobuddha.com/how-echo-buddha-creates-content/,Publisher transparency or user-protection information specific to “About Echo Buddha”.,Protect broad ownership and route to genuinely distinct support roles.,Publisher transparency or user-protection information specific to “About Echo Buddha”.,"This page exists as Echo Buddha's protected owner for Trust / Policy: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.","This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",Trust / Policy broad informational/navigation theme,PROTECTED PRIMARY OWNER,https://echobuddha.com/about/,https://echobuddha.com/authors/echo-buddha-editorial/ | https://echobuddha.com/buddhist-sources-and-citations/ | https://echobuddha.com/contact/ | https://echobuddha.com/corrections/ | https://echobuddha.com/disclaimer/ | https://echobuddha.com/editorial-policy/ | https://echobuddha.com/how-echo-buddha-creates-content/ | https://echobuddha.com/meditation-safety/ | https://echobuddha.com/privacy-policy/ | https://echobuddha.com/quote-attribution-policy/ | https://echobuddha.com/terms-of-use/,NONE,NONE,HUMAN REVIEW,PROTECTED PRIMARY OWNER,HUMAN_REVIEW,No,Yes,Yes,Medium,"Phase 1: Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function.",Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,indexable,Daily Mindfulness Practice for Beginners | Echo Buddha,Beginning a Daily Mindfulness Practice,Mindfulness,PRACTICAL_APPLICATION,,PRACTITIONER,practical how to,PRACTICAL_HOW_TO,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,No,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,Stay within PRACTICAL_APPLICATION; avoid repeating the owner's broad definition and opening journey.,Daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,This page exists to serve practical how to within Mindfulness through daily-life examples or a repeatable application tied specifically to “Daily Mindfulness Practice for Beginners”.,This page does not own the broad Mindfulness explanation; that belongs to /learn/buddhism-101/what-is-mindfulness/.,No broad-query ownership,PRACTICAL_APPLICATION → https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,,LOW,LOW,IMPROVE,KEEP AS PRACTICAL_APPLICATION SUBJECT TO REQUIRED DIFFERENTIATION,IMPROVE,No,Yes,No,High,"Phase 1: Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0; role review: PRACTICAL_APPLICATION; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower.",Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,indexable,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide to the Path,Beginner Buddhism,BEGINNER_FOUNDATION,,BEGINNER,beginner informational,BEGINNER_INFORMATIONAL,https://echobuddha.com/learn/buddhism-for-beginners/,No,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,"A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",Stay within BEGINNER_FOUNDATION; avoid repeating the owner's broad definition and opening journey.,"A narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.","This page exists to serve beginner informational within Beginner Buddhism through a narrower explanation, misconception, or example set specific to “Buddhism for Beginners: A Simple Guide”.",This page does not own the broad Beginner Buddhism explanation; that belongs to /learn/buddhism-for-beginners/.,No broad-query ownership,BEGINNER_FOUNDATION → https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-for-beginners/,,HIGH,HIGH,CONSOLIDATE,KEEP AS BEGINNER_FOUNDATION SUBJECT TO REQUIRED DIFFERENTIATION,CONSOLIDATE_REVIEW,No,Yes,No,High,Phase 1: Built 2026-08-11T02:17:46.273Z; 1426 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 39.6%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.,Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,indexable,A Buddhist Approach to Anger | Echo Buddha,"A Buddhist Approach to Anger: Pause, Understand, Respond",Anger,PRIMARY_PILLAR,,SITUATION_SPECIFIC,scenario application,SCENARIO_APPLICATION,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,"A narrower explanation, misconception, or example set specific to “A Buddhist Approach to Anger”.",Protect broad ownership and route to genuinely distinct support roles.,"A narrower explanation, misconception, or example set specific to “A Buddhist Approach to Anger”.",This page exists as Echo Buddha's protected owner for Anger: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",Anger broad informational/navigation theme,PROTECTED PRIMARY OWNER,https://echobuddha.com/articles/buddhist-approach-to-anger/,,NONE,NONE,IMPROVE,PROTECTED PRIMARY OWNER,KEEP,No,No,No,High,Phase 1: Built 2026-08-11T02:17:46.273Z; 1258 words; 28 content headings; authored route; nearest /articles/compassion-as-a-daily-discipline/ combined overlap 39.7%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It is the dedicated Buddhist response-to-anger guide and can link upward to the Three Poisons.,Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,indexable,Buddhist Gratitude Practice Without Forced Positivity | Echo Buddha,Buddhist Gratitude Practice: Appreciating Life Without Clinging,Gratitude,PRACTICAL_APPLICATION,,PRACTITIONER,practical how to,PRACTICAL_HOW_TO,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,https://echobuddha.com/articles/how-to-practice-non-attachment/,Daily-life examples or a repeatable application tied specifically to “Buddhist Gratitude Practice Without Forced Positivity”.,Protect broad ownership and route to genuinely distinct support roles.,Daily-life examples or a repeatable application tied specifically to “Buddhist Gratitude Practice Without Forced Positivity”.,This page exists as Echo Buddha's protected owner for Gratitude: It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",Gratitude broad informational/navigation theme,PROTECTED PRIMARY OWNER,https://echobuddha.com/articles/buddhist-gratitude-practice/,,NONE,NONE,KEEP,PROTECTED PRIMARY OWNER,KEEP,No,No,No,High,Phase 1: Built 2026-08-11T02:17:46.273Z; 1364 words; 21 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 32.8%; external source links 2; role review: PRACTICAL_APPLICATION; owner selection: It is the dedicated Buddhist gratitude practice and explicitly distinguishes appreciation from forced positivity and clinging.,Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,indexable,Buddhist Teachings on Forgiveness and Letting Go | Echo Buddha,Buddhist Teachings on Forgiveness: Letting Go Without Excusing Harm,Forgiveness,PRIMARY_PILLAR,,SITUATION_SPECIFIC,scenario application,SCENARIO_APPLICATION,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,https://echobuddha.com/articles/non-attachment-in-relationships/,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Forgiveness and Letting Go”.",Protect broad ownership and route to genuinely distinct support roles.,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Forgiveness and Letting Go”.",This page exists as Echo Buddha's protected owner for Forgiveness: It uniquely distinguishes release from approval and protects boundaries.,"This page does not own narrower source, practice, scenario, quote, or recurring-user intents that have dedicated pages.",Forgiveness broad informational/navigation theme,PROTECTED PRIMARY OWNER,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,,NONE,NONE,KEEP,PROTECTED PRIMARY OWNER,KEEP,No,No,No,High,Phase 1: Built 2026-08-11T02:17:46.273Z; 1367 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 34.3%; external source links 1; role review: PRIMARY_PILLAR; owner selection: It uniquely distinguishes release from approval and protects boundaries.,Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,indexable,Buddhist Teachings on Impermanence | Echo Buddha,Buddhist Teachings on Impermanence and Change,Impermanence,SUPPORTING_EXPLANATION,,BEGINNER,foundational informational,FOUNDATIONAL_INFORMATIONAL,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,No,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.",Stay within SUPPORTING_EXPLANATION; avoid repeating the owner's broad definition and opening journey.,"A narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.","This page exists to serve foundational informational within Impermanence through a narrower explanation, misconception, or example set specific to “Buddhist Teachings on Impermanence”.",This page does not own the broad Impermanence explanation; that belongs to /learn/buddhism-101/what-is-impermanence/.,No broad-query ownership,SUPPORTING_EXPLANATION → https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,,MEDIUM,MEDIUM,IMPROVE,KEEP AS SUPPORTING_EXPLANATION SUBJECT TO REQUIRED DIFFERENTIATION,IMPROVE,No,Yes,No,High,Phase 1: Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.,Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,indexable,Buddhist Wisdom for Overthinking and a Busy Mind | Echo Buddha,Buddhist Wisdom for Overthinking: How to Calm a Busy Mind,Anxiety / Overthinking,SCENARIO_GUIDE,,SITUATION_SPECIFIC,scenario application,SCENARIO_APPLICATION,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,No,https://echobuddha.com/articles/mindfulness-for-better-sleep/,Worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,Stay within SCENARIO_GUIDE; avoid repeating the owner's broad definition and opening journey.,Worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,This page exists to serve scenario application within Anxiety / Overthinking through worked guidance for the specific situation named by “Buddhist Wisdom for Overthinking and a Busy Mind”.,This page does not own the broad Anxiety / Overthinking explanation; that belongs to /articles/how-to-meditate-for-anxiety/.,No broad-query ownership,SCENARIO_GUIDE → https://echobuddha.com/articles/how-to-meditate-for-anxiety/,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,,MEDIUM,MEDIUM,HUMAN REVIEW,KEEP AS SCENARIO_GUIDE SUBJECT TO REQUIRED DIFFERENTIATION,HUMAN_REVIEW,No,Yes,Yes,Medium,Phase 1: Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0; role review: SCENARIO_GUIDE; owner selection: It owns the anxiety-specific gentle practice; overthinking remains a related but distinct thought-loop scenario.,Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/category/buddhist-wisdom/,article category,indexable,Buddhist Wisdom Articles | Echo Buddha,Buddhist Wisdom Articles,Article Discovery,CATEGORY,,GENERAL_READER,navigational,NAVIGATIONAL,https://echobuddha.com/articles/,No,https://echobuddha.com/articles/category/practice/,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.",Stay within CATEGORY; avoid repeating the owner's broad definition and opening journey.,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.","This page exists to serve navigational within Article Discovery through orientation, selection, and meaningful navigation across the Article Discovery cluster.",This page does not own the broad Article Discovery explanation; that belongs to /articles/.,No broad-query ownership,CATEGORY → https://echobuddha.com/articles/,https://echobuddha.com/articles/,,LOW,LOW,IMPROVE,KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION,IMPROVE,No,Yes,No,High,"Phase 1: Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching.",Phase 2 architecture decision only; no user-visible or indexability change performed.
https://echobuddha.com/articles/category/meditation/,article category,indexable,Meditation Articles | Echo Buddha,Meditation Articles,Article Discovery,CATEGORY,,GENERAL_READER,navigational,NAVIGATIONAL,https://echobuddha.com/articles/,No,https://echobuddha.com/quotes/meditation/,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.",Stay within CATEGORY; avoid repeating the owner's broad definition and opening journey.,"Orientation, selection, and meaningful navigation across the Article Discovery cluster.","This page exists to serve navigational within Article Discovery through orientation, selection, and meaningful navigation across the Article Discovery cluster.",This page does not own the broad Article Discovery explanation; that belongs to /articles/.,No broad-query ownership,CATEGORY → https://echobuddha.com/articles/,https://echobuddha.com/articles/,,LOW,LOW,IMPROVE,KEEP AS CATEGORY SUBJECT TO REQUIRED DIFFERENTIATION,IMPROVE,No,Yes,No,High,"Phase 1: Built 2026-08-11T02:17:46.273Z; 354 words; 12 content headings; authored route; nearest /quotes/meditation/ combined overlap 25.1%; external source links 0; role review: CATEGORY; owner selection: The publication index owns article discovery, not any individual Buddhist teaching.",Phase 2 architecture decision only; no user-visible or indexability change performed.
