page_label,path,page_family,query_cluster,baseline_clicks,baseline_impressions,baseline_ctr,baseline_position,latest_clicks,latest_impressions,latest_ctr,latest_position,click_delta,impression_delta,ctr_delta,position_delta,signal_status,decision_category,notes
Dhamma page,/learn/buddhist-dictionary/dhamma/,Dictionary Terms,Dhamma / Dharma,0,108,0%,55.33,,,,,,,,,baseline signal only; await post-deployment data,Observe only,Fill latest columns from the next GSC Pages export.
Buddhism for Beginners,/learn/buddhism-for-beginners/,Beginner Buddhism,Beginner Buddhism,0,70,0%,46.13,,,,,,,,,baseline signal only; await post-deployment data,Observe only,Fill latest columns from the next GSC Pages export.
Patience quote category,/quotes/patience/,Quotes,Patience / Right Speech,0,85,0%,34.28,,,,,,,,,baseline signal only; await post-deployment data,Observe only,Fill latest columns from the next GSC Pages export.
Letting Go quote category,/quotes/letting-go/,Quotes,Letting Go / Attachment,1,73,1.37%,31.53,,,,,,,,,baseline signal only; await post-deployment data,Observe only,Fill latest columns from the next GSC Pages export.
Compassion quote category,/quotes/compassion/,Quotes,Quotes,0,46,0%,48.26,,,,,,,,,baseline signal only; await post-deployment data,Observe only,Fill latest columns from the next GSC Pages export.
Dhammapada attribution article,/articles/dhammapada-reflection-what-we-think/,Article,Dhammapada Attribution,0,17,0%,8.35,,,,,,,,,baseline signal only; await post-deployment data,Observe only,Fill latest columns from the next GSC Pages export.
Dhammapada Verse 1 support,/articles/dhammapada-verse-1-meaning/,Article,Dhammapada Attribution,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Dhamma vs Dharma support,/articles/dhamma-vs-dharma/,Article,Dhamma / Dharma,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Sangha article,/articles/what-is-sangha-buddhist-community/,Article,Sangha,0,72,0%,80.88,,,,,,,,,baseline signal only; await post-deployment data,Observe only,Fill latest columns from the next GSC Pages export.
Temple visit support,/articles/visiting-a-buddhist-temple-respectfully/,Article,Sangha,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
First week Buddhist practice,/articles/first-week-buddhist-practice/,Article,Beginner Buddhism,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Right Speech examples,/articles/right-speech-examples/,Article,Patience / Right Speech,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Middle Way,/learn/buddhism-101/middle-way-explained-for-beginners/,Buddhist Foundations,Buddhist Foundations,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Threefold Training,/learn/buddhism-101/threefold-training-sila-samadhi-panna/,Buddhist Foundations,Buddhist Foundations,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Five Hindrances,/learn/buddhism-101/five-hindrances-in-buddhism/,Buddhist Foundations,Buddhist Foundations,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Four Brahmaviharas,/learn/buddhism-101/four-brahmaviharas/,Buddhist Foundations,Buddhist Foundations,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Dhammacakkappavattana source study,/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Source Study,Buddhist Foundations,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Magga-vibhanga source study,/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Source Study,Buddhist Foundations,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Sutta dictionary,/learn/buddhist-dictionary/sutta/,Dictionary Terms,Dictionary Terms,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Pali Canon dictionary,/learn/buddhist-dictionary/pali-canon/,Dictionary Terms,Dictionary Terms,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
10-minute meditation,/meditation/10-minute-meditation-practice/,Meditation Practice,Meditation Practice,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Meditation posture,/meditation/meditation-posture-for-beginners/,Meditation Practice,Meditation Practice,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
When meditation feels hard,/meditation/when-meditation-feels-hard/,Meditation Practice,Meditation Practice,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Mindful email and texting,/articles/mindful-email-and-texting/,Mindful Living,Mindful Living,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
Compassion with boundaries,/articles/compassion-with-boundaries/,Mindful Living,Mindful Living,0,0,0%,,,,,,,,,,not yet tested in baseline; await first impressions,Observe only,Fill latest columns from the next GSC Pages export.
