route,quote,theme,status,label,shortLabel,sourceNote
/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,A peaceful mind begins with one honest breath.,Mindfulness,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""A peaceful mind begins with one honest breath."" is original Echo Buddha editorial writing inspired by mindfulness practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,Let kindness be the echo you leave in every room.,Compassion,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""Let kindness be the echo you leave in every room."" is original Echo Buddha editorial writing inspired by compassion practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,"When anger rises, pause long enough to see the pain beneath it.",Patience,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""When anger rises, pause long enough to see the pain beneath it."" is original Echo Buddha editorial writing inspired by patience practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,Small acts of attention can turn an ordinary day into a teacher.,Awareness,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""Small acts of attention can turn an ordinary day into a teacher."" is original Echo Buddha editorial writing inspired by awareness practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/practice/the-path-is-not-far-away-it-is-the/,The path is not far away; it is the next mindful step.,Practice,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""The path is not far away; it is the next mindful step."" is original Echo Buddha editorial writing inspired by Buddhist daily practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,You do not need to carry every thought that visits you.,Letting Go,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""You do not need to carry every thought that visits you."" is original Echo Buddha editorial writing inspired by Buddhist non-attachment and letting-go practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,Compassion grows where judgment loosens its grip.,Compassion,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""Compassion grows where judgment loosens its grip."" is original Echo Buddha editorial writing inspired by compassion practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/,Silence is not empty when the heart is listening.,Meditation,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""Silence is not empty when the heart is listening."" is original Echo Buddha editorial writing inspired by Buddhist meditation practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/renewal/begin-again-gently-the-breath-is-always-willing/,Begin again gently; the breath is always willing.,Renewal,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""Begin again gently; the breath is always willing."" is original Echo Buddha editorial writing inspired by renewal practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/,Wisdom is the art of meeting life without adding unnecessary suffering.,Wisdom,original-echo-buddha-quote,Original Echo Buddha quote,Original quote,"""Wisdom is the art of meeting life without adding unnecessary suffering."" is original Echo Buddha editorial writing inspired by wisdom practice and is not presented as a direct Buddha quote, scripture translation, or historical saying."
