route,slug,title,form,materialChange,centralObservation,dailyLifeSituation,nextStep,wellbeingNote,action
/daily-reflections/patience-before-anger-speaks/,patience-before-anger-speaks,Patience Begins Before Anger Speaks,ethical decision,yes,Anger becomes less dangerous when it is noticed before it becomes speech.,"A message lands badly, the face tightens, and the first reply wants to win more than understand.",Delay one reply until the body has softened enough for honesty to stay useful.,This reflection invites non-harm; it does not ask anyone to stay silent in unsafe situations.,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/one-honest-breath/,one-honest-breath,Return Through One Honest Breath,short contemplative exercise,yes,A single natural breath can restart attention without demanding a peaceful mood.,The day has become scattered before anything dramatic has happened.,"Pick one doorway, sink, desk, or cushion as the place to take one complete breath.",,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/kindness-with-boundaries/,kindness-with-boundaries,Kindness Can Have Boundaries,relationship practice,yes,Kindness becomes steadier when it includes honest limits.,Someone asks for more than you can offer without resentment or depletion.,Say one clear limit without adding a courtroom speech around it.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/impermanence-softens-clinging/,impermanence-softens-clinging,Impermanence Softens Clinging,observation,yes,Remembering change can make attention warmer instead of colder.,"A pleasant moment, plan, or mood starts to shift and the mind quietly reaches to hold it.",Let one changing thing be fully noticed before trying to keep it.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/listen-before-answering/,listen-before-answering,Listen Before Answering,relationship practice,yes,Listening can become right speech before words begin.,A familiar person starts a familiar sentence and the answer forms too early.,Ask one clarifying question before giving advice or defense.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/small-actions-shape-the-mind/,small-actions-shape-the-mind,Small Actions Shape the Mind,ethical decision,yes,Repeated small intentions quietly become the climate of the mind.,"A tiny choice appears: tell the truth, cut a corner, complain, help, delay, or repair.",Choose the smallest wholesome action that can be repeated tomorrow.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/let-the-feeling-pass/,let-the-feeling-pass,Let the Feeling Pass Through,mindful activity,yes,A feeling can be honored without being promoted into identity.,A mood arrives strongly and begins explaining who you are or what must happen next.,Notice one body sensation connected with the feeling and let the story wait.,"If a feeling is intense or persistent, this page is not a substitute for professional support.","Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/begin-again-without-shame/,begin-again-without-shame,Begin Again Without Shame,one-sentence reminder plus practice,yes,"Returning is part of practice, not evidence that practice failed.",A helpful habit was missed and shame tries to make the missed day the whole story.,"Resume the habit once, quietly, without making identity out of the interruption.",,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/notice-before-fixing/,notice-before-fixing,Notice Before Fixing,question-led reflection,yes,Clear seeing often finds the real need before the fixing impulse does.,"Discomfort appears and the mind rushes to improve, explain, distract, or control.",Name what is happening before choosing whether anything needs to be changed.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
/daily-reflections/compassion-begins-nearby/,compassion-begins-nearby,Compassion Begins Nearby,relationship practice,yes,Compassion weakens when the person practicing it is excluded from care.,"Someone needs kindness, but the inner voice is speaking to you with contempt.",Offer goodwill in two directions: toward yourself and toward one other person.,,"Added form label, central observation, route-specific daily-life situation, route-specific next step, and sensitive-topic wellbeing note where needed."
