route,theme,quote,materialChange,action,indexabilityClass,finalRobots
/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,Mindfulness,A peaceful mind begins with one honest breath.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/,Compassion,Let kindness be the echo you leave in every room.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/,Patience,"When anger rises, pause long enough to see the pain beneath it.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/,Awareness,Small acts of attention can turn an ordinary day into a teacher.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/the-path-is-not-far-away-it-is-the/,Practice,The path is not far away; it is the next mindful step.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/,Letting Go,You do not need to carry every thought that visits you.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/,Compassion,Compassion grows where judgment loosens its grip.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/,Meditation,Silence is not empty when the heart is listening.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/begin-again-gently-the-breath-is-always-willing/,Renewal,Begin again gently; the breath is always willing.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/,Wisdom,Wisdom is the art of meeting life without adding unnecessary suffering.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
