URL,Page family,Current index state,Sitemap state,Primary recommendation,Indexability judgement,Evidence
https://echobuddha.com/about/,trust/policy,indexable,in sitemap,HUMAN REVIEW,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1171 words; 26 content headings; authored route; nearest /articles/creating-a-peaceful-corner-at-home/ combined overlap 41.9%; external source links 0
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,indexable,in sitemap,CONSOLIDATE,Overlapping intent; owner decision required,Built 2026-08-11T02:17:46.273Z; 1426 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 39.6%; external source links 2
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1258 words; 28 content headings; authored route; nearest /articles/compassion-as-a-daily-discipline/ combined overlap 39.7%; external source links 1
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,indexable,in sitemap,KEEP,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1364 words; 21 content headings; authored route; nearest /articles/how-to-practice-non-attachment/ combined overlap 32.8%; external source links 2
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,indexable,in sitemap,KEEP,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1367 words; 27 content headings; authored route; nearest /articles/non-attachment-in-relationships/ combined overlap 34.3%; external source links 1
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1267 words; 28 content headings; authored route; nearest /articles/impermanence-in-buddhism-letting-go/ combined overlap 43.9%; external source links 1
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,indexable,in sitemap,HUMAN REVIEW,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1366 words; 26 content headings; authored route; nearest /articles/mindfulness-for-better-sleep/ combined overlap 36.0%; external source links 0
https://echobuddha.com/articles/category/buddhist-wisdom/,article category,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0
https://echobuddha.com/articles/category/meditation/,article category,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 354 words; 12 content headings; authored route; nearest /quotes/meditation/ combined overlap 25.1%; external source links 0
https://echobuddha.com/articles/category/mindfulness/,article category,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 253 words; 8 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 31.0%; external source links 0
https://echobuddha.com/articles/category/practice/,article category,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 317 words; 10 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 20.4%; external source links 0
https://echobuddha.com/articles/category/reflection/,article category,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 342 words; 12 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 19.7%; external source links 0
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1220 words; 28 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 40.4%; external source links 1
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1195 words; 26 content headings; authored route; nearest /articles/compassion-with-boundaries/ combined overlap 42.0%; external source links 1
https://echobuddha.com/articles/compassion-with-boundaries/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 735 words; 20 content headings; authored route; nearest /articles/compassion-in-buddhism-beginner-guide/ combined overlap 42.0%; external source links 2
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1154 words; 26 content headings; authored route; nearest /articles/beginning-a-daily-mindfulness-practice/ combined overlap 41.9%; external source links 0
https://echobuddha.com/articles/dhamma-vs-dharma/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 875 words; 21 content headings; authored route; nearest /articles/visiting-a-buddhist-temple-respectfully/ combined overlap 45.2%; external source links 3
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1193 words; 26 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 39.5%; external source links 0
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1395 words; 29 content headings; authored route; nearest /articles/dhammapada-verse-1-meaning/ combined overlap 46.6%; external source links 1
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 835 words; 21 content headings; authored route; nearest /articles/dhammapada-reflection-what-we-think/ combined overlap 46.6%; external source links 2
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,article,indexable,in sitemap,CONSOLIDATE,Overlapping intent; owner decision required,Built 2026-08-11T02:17:46.273Z; 1413 words; 28 content headings; authored route; nearest /articles/eightfold-path-explained/ combined overlap 40.1%; external source links 1
https://echobuddha.com/articles/eightfold-path-explained/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1533 words; 29 content headings; authored route; nearest /articles/eightfold-path-explained-daily-life/ combined overlap 40.1%; external source links 1
https://echobuddha.com/articles/equanimity-in-buddhism/,article,indexable,in sitemap,KEEP,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1489 words; 21 content headings; authored route; nearest /articles/compassion-with-boundaries/ combined overlap 32.9%; external source links 1
https://echobuddha.com/articles/first-week-buddhist-practice/,article,indexable,in sitemap,IMPROVE,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 869 words; 21 content headings; authored route; nearest /articles/right-speech-examples/ combined overlap 44.0%; external source links 3
https://echobuddha.com/articles/five-precepts-in-daily-life/,article,indexable,in sitemap,KEEP,Indexable only after recommended review/work,Built 2026-08-11T02:17:46.273Z; 1952 words; 27 content headings; authored route; nearest /articles/three-poisons-buddhism-explained/ combined overlap 34.2%; external source links 2
