URL,Variant,Current index state,Sitemap state,Approx word count,Heading count,External source links,Nearest comparable page,Combined overlap,Primary recommendation,Priority,Evidence
https://echobuddha.com/about/,,indexable,in sitemap,304,5,0,https://echobuddha.com/how-echo-buddha-creates-content/,18.6,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 304 words; 5 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 18.6%; external source links 0
https://echobuddha.com/authors/echo-buddha-editorial/,,indexable,in sitemap,268,9,0,Not calculated for noindex page,,HUMAN REVIEW,OWNER / EXPERT REVIEW,Built 2026-08-11T02:17:46.273Z; 268 words; 9 content headings; authored route; nearest n/a combined overlap 0.0%; external source links 0
https://echobuddha.com/buddhist-sources-and-citations/,,indexable,in sitemap,295,6,0,https://echobuddha.com/quote-attribution-policy/,20.6,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 295 words; 6 content headings; authored route; nearest /quote-attribution-policy/ combined overlap 20.6%; external source links 0
https://echobuddha.com/contact/,,indexable,in sitemap,120,4,0,https://echobuddha.com/corrections/,15.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 120 words; 4 content headings; authored route; nearest /corrections/ combined overlap 15.5%; external source links 0
https://echobuddha.com/corrections/,,indexable,in sitemap,215,7,0,https://echobuddha.com/contact/,15.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 215 words; 7 content headings; authored route; nearest /contact/ combined overlap 15.5%; external source links 0
https://echobuddha.com/disclaimer/,,indexable,in sitemap,221,6,0,https://echobuddha.com/meditation-safety/,18.0,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 221 words; 6 content headings; authored route; nearest /meditation-safety/ combined overlap 18.0%; external source links 0
https://echobuddha.com/editorial-policy/,,indexable,in sitemap,576,10,0,https://echobuddha.com/how-echo-buddha-creates-content/,19.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 576 words; 10 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 19.4%; external source links 0
https://echobuddha.com/how-echo-buddha-creates-content/,,indexable,in sitemap,347,7,0,https://echobuddha.com/editorial-policy/,19.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 347 words; 7 content headings; authored route; nearest /editorial-policy/ combined overlap 19.4%; external source links 0
https://echobuddha.com/meditation-safety/,,indexable,in sitemap,254,6,0,https://echobuddha.com/disclaimer/,18.0,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 254 words; 6 content headings; authored route; nearest /disclaimer/ combined overlap 18.0%; external source links 0
https://echobuddha.com/privacy-policy/,,indexable,in sitemap,383,8,1,https://echobuddha.com/editorial-policy/,9.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 383 words; 8 content headings; authored route; nearest /editorial-policy/ combined overlap 9.5%; external source links 1
https://echobuddha.com/quote-attribution-policy/,,indexable,in sitemap,248,5,0,https://echobuddha.com/buddhist-sources-and-citations/,20.6,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 248 words; 5 content headings; authored route; nearest /buddhist-sources-and-citations/ combined overlap 20.6%; external source links 0
https://echobuddha.com/terms-of-use/,,indexable,in sitemap,104,5,0,https://echobuddha.com/disclaimer/,9.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 104 words; 5 content headings; authored route; nearest /disclaimer/ combined overlap 9.5%; external source links 0
