URL,Variant,Current index state,Sitemap state,Approx word count,Heading count,External source links,Nearest comparable page,Combined overlap,Primary recommendation,Priority,Evidence
https://echobuddha.com/articles/category/buddhist-wisdom/,,indexable,in sitemap,685,23,0,https://echobuddha.com/articles/category/practice/,19.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 685 words; 23 content headings; authored route; nearest /articles/category/practice/ combined overlap 19.7%; external source links 0
https://echobuddha.com/articles/category/meditation/,,indexable,in sitemap,354,12,0,https://echobuddha.com/quotes/meditation/,25.1,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 354 words; 12 content headings; authored route; nearest /quotes/meditation/ combined overlap 25.1%; external source links 0
https://echobuddha.com/articles/category/mindfulness/,,indexable,in sitemap,253,8,0,https://echobuddha.com/quotes/mindfulness/,31.0,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 253 words; 8 content headings; authored route; nearest /quotes/mindfulness/ combined overlap 31.0%; external source links 0
https://echobuddha.com/articles/category/practice/,,indexable,in sitemap,317,10,0,https://echobuddha.com/articles/category/mindfulness/,20.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 317 words; 10 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 20.4%; external source links 0
https://echobuddha.com/articles/category/reflection/,,indexable,in sitemap,342,12,0,https://echobuddha.com/articles/category/mindfulness/,19.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 342 words; 12 content headings; authored route; nearest /articles/category/mindfulness/ combined overlap 19.7%; external source links 0
https://echobuddha.com/articles/,,indexable,in sitemap,1490,55,0,https://echobuddha.com/mindful-living/,25.5,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 1490 words; 55 content headings; authored route; nearest /mindful-living/ combined overlap 25.5%; external source links 0
https://echobuddha.com/daily-reflections/,,indexable,in sitemap,1782,36,0,https://echobuddha.com/quotes/,20.6,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 1782 words; 36 content headings; authored route; nearest /quotes/ combined overlap 20.6%; external source links 0
https://echobuddha.com/learn/buddhism-101/,,indexable,in sitemap,612,3,2,https://echobuddha.com/learn/buddhist-dictionary/,17.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 612 words; 3 content headings; authored route; nearest /learn/buddhist-dictionary/ combined overlap 17.3%; external source links 2
https://echobuddha.com/learn/buddhism-for-beginners/,,indexable,in sitemap,404,4,0,https://echobuddha.com/articles/first-week-buddhist-practice/,17.7,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 404 words; 4 content headings; authored route; nearest /articles/first-week-buddhist-practice/ combined overlap 17.7%; external source links 0
https://echobuddha.com/learn/buddhist-dictionary/,,indexable,in sitemap,326,2,2,https://echobuddha.com/learn/buddhism-101/,17.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 326 words; 2 content headings; authored route; nearest /learn/buddhism-101/ combined overlap 17.3%; external source links 2
https://echobuddha.com/learn/buddhist-resources/,,indexable,in sitemap,465,9,12,https://echobuddha.com/learn/dhammapada-reflections/,13.4,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 465 words; 9 content headings; authored route; nearest /learn/dhammapada-reflections/ combined overlap 13.4%; external source links 12
https://echobuddha.com/learn/dhammapada-reflections/,,indexable,in sitemap,221,3,2,https://echobuddha.com/learn/sutta-for-daily-life/,32.3,IMPROVE,P2,Built 2026-08-11T02:17:46.273Z; 221 words; 3 content headings; authored route; nearest /learn/sutta-for-daily-life/ combined overlap 32.3%; external source links 2
