URL,Variant,Current index state,Sitemap state,Approx word count,Heading count,External source links,Nearest comparable page,Combined overlap,Primary recommendation,Priority,Evidence
https://echobuddha.com/daily-reflections/anger-as-a-signal/,,indexable,in sitemap,310,12,0,https://echobuddha.com/daily-reflections/kindness-with-boundaries/,73.7,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 310 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 73.7%; external source links 0
https://echobuddha.com/daily-reflections/begin-again-without-shame/,,indexable,in sitemap,307,12,0,https://echobuddha.com/daily-reflections/morning-intention/,73.8,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 307 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.8%; external source links 0
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,,indexable,in sitemap,306,12,0,https://echobuddha.com/daily-reflections/kindness-with-boundaries/,74.5,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 306 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 74.5%; external source links 0
https://echobuddha.com/daily-reflections/enough-for-this-moment/,,indexable,in sitemap,298,12,0,https://echobuddha.com/daily-reflections/gratitude-notices-enough/,74.1,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-notices-enough/ combined overlap 74.1%; external source links 0
https://echobuddha.com/daily-reflections/evening-release/,,indexable,in sitemap,314,12,0,https://echobuddha.com/daily-reflections/morning-intention/,73.7,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 314 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.7%; external source links 0
https://echobuddha.com/daily-reflections/family-patience/,,indexable,in sitemap,300,12,0,https://echobuddha.com/daily-reflections/simple-goodwill/,74.1,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 300 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 74.1%; external source links 0
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,,indexable,in sitemap,303,12,0,https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,75.8,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/metta-for-a-difficult-person/ combined overlap 75.8%; external source links 0
https://echobuddha.com/daily-reflections/gratitude-for-change/,,indexable,in sitemap,290,12,0,https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,73.8,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /daily-reflections/impermanence-softens-clinging/ combined overlap 73.8%; external source links 0
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,,indexable,in sitemap,297,12,0,https://echobuddha.com/daily-reflections/soften-the-inner-argument/,74.3,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/soften-the-inner-argument/ combined overlap 74.3%; external source links 0
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,,indexable,in sitemap,297,12,0,https://echobuddha.com/daily-reflections/gratitude-for-change/,73.8,NOINDEX,P1,Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-for-change/ combined overlap 73.8%; external source links 0
