URL,page family,low-value inventory risk,no-publisher-content risk,replicated-content risk,internal duplication risk,scaled-content-pattern review,doorway-pattern review,navigation-only risk,under-construction risk,misrepresentation risk,attribution risk,broken functionality,monetization risk,severity,evidence,confidence
https://echobuddha.com/404.html,ERROR,false,true,false,false,false,false,false,false,false,false,false,false,NONE,Surface function error; indexable false; rendered ads/placeholders 0; full publisher-content score not applicable.,HIGH
https://echobuddha.com/about/,ABOUT,false,false,false,false,false,false,false,false,false,false,false,false,NONE,Surface function trust/mixed; indexable true; rendered ads/placeholders 0; full publisher-content score not applicable.,HIGH
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 58; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE | SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,MEDIUM
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,MODERATE,Score 60; SEARCH_FIRST_CONTENT_PATTERN | KEYWORD_VARIATION_PATTERN | OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,NONE,Score 70; no material score-linked flag; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,NONE,Score 69; no material score-linked flag; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,NONE,Score 69; no material score-linked flag; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 63; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 66; OWNER_SUPPORT_OVERLAP | SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_CATEGORY,false,false,false,false,false,false,true,false,false,false,false,false,MODERATE,Score 50; NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/category/meditation/,ARTICLE_CATEGORY,true,false,false,false,false,false,true,false,false,false,false,false,HIGH,Score 49; LOW_VALUE_INVENTORY_RISK | NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/category/mindfulness/,ARTICLE_CATEGORY,true,false,false,false,false,false,true,false,false,false,false,false,HIGH,Score 49; LOW_VALUE_INVENTORY_RISK | NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/category/practice/,ARTICLE_CATEGORY,false,false,false,false,false,false,true,false,false,false,false,false,LOW,Score 50; NAVIGATION_DOMINANT_SURFACE | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/category/reflection/,ARTICLE_CATEGORY,true,false,false,false,false,false,true,false,false,false,false,false,HIGH,Score 49; LOW_VALUE_INVENTORY_RISK | NAVIGATION_DOMINANT_SURFACE | OWNER_SUPPORT_OVERLAP | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO; rendered ads/placeholders 0.,MEDIUM
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 63; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,NONE,Score 77; no material score-linked flag; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/compassion-with-boundaries/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 68; OWNER_SUPPORT_OVERLAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 71; OWNER_SUPPORT_OVERLAP | SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,MEDIUM
https://echobuddha.com/articles/dhamma-vs-dharma/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 63; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE | SEO_EQUITY_HIGH; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 58; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE | SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 65; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 65; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/eightfold-path-explained/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 64; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 68; SEARCH_FIRST_CONTENT_PATTERN | KEYWORD_VARIATION_PATTERN | OWNER_SUPPORT_OVERLAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/equanimity-in-buddhism/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,NONE,Score 70; no material score-linked flag; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/first-week-buddhist-practice/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 70; OWNER_SUPPORT_OVERLAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/five-precepts-in-daily-life/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 73; OWNER_SUPPORT_OVERLAP | SEO_EQUITY_HIGH; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/four-noble-truths-explained/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 63; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/four-noble-truths-explained-simply/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,MODERATE,Score 61; SEARCH_FIRST_CONTENT_PATTERN | KEYWORD_VARIATION_PATTERN | OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 71; SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,NONE,Score 75; no material score-linked flag; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/how-to-meditate-for-beginners/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 69; OWNER_SUPPORT_OVERLAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/how-to-practice-non-attachment/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 59; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE | SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/impermanence-in-buddhism/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 63; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 64; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/,ARTICLE_HUB,false,false,false,false,false,false,true,false,false,false,false,false,LOW,Score 50; NAVIGATION_DOMINANT_SURFACE | BOILERPLATE_DOMINANT | LOW_UNIQUE_TEXT_RATIO; rendered ads/placeholders 0.,MEDIUM
https://echobuddha.com/articles/letting-go-without-giving-up/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 58; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE | SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,MEDIUM
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 63; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,MEDIUM
https://echobuddha.com/articles/loving-kindness-meditation-guide/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 63; OWNER_SUPPORT_OVERLAP | WEAK_INDEPENDENT_PURPOSE; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/metta-meditation-script/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 70; OWNER_SUPPORT_OVERLAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/mindful-email-and-texting/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 68; OWNER_SUPPORT_OVERLAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 65; OWNER_SUPPORT_OVERLAP | SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,HIGH
https://echobuddha.com/articles/mindfulness-for-better-sleep/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,NONE,Score 75; no material score-linked flag; rendered ads/placeholders 0.,MEDIUM
https://echobuddha.com/articles/mindfulness-morning-routine/,ARTICLE,false,false,false,false,false,false,false,false,false,false,false,false,LOW,Score 65; OWNER_SUPPORT_OVERLAP | SOURCE_QUALITY_GAP; rendered ads/placeholders 0.,MEDIUM
