URL,page_family,first_score,second_score,final_reconciled_score,score_difference,scoring_dispute,disagreement_dimensions,rationale
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,58,58,58,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,60,60,60,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,70,70,70,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,69,69,69,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,69,69,69,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,63,63,63,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,66,66,66,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_CATEGORY,50,50,50,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/category/meditation/,ARTICLE_CATEGORY,49,49,49,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/category/mindfulness/,ARTICLE_CATEGORY,49,49,49,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/category/practice/,ARTICLE_CATEGORY,50,50,50,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/category/reflection/,ARTICLE_CATEGORY,49,49,49,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,ARTICLE,63,63,63,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,ARTICLE,77,77,77,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/compassion-with-boundaries/,ARTICLE,68,68,68,0,false,NONE,Independent challenge found no evidence-based adjustment.
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,ARTICLE,71,71,71,0,false,NONE,Independent challenge found no evidence-based adjustment.
