URL,Term,Pali/Sanskrit distinction,Definition bounded?,Tradition variance acknowledged?,Source note present?,Overclaim?,Validation
https://echobuddha.com/learn/buddhist-dictionary/anatta/,anatta,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,anicca,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,compassion,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,dhamma,Context-dependent wording retained; simplified for readers,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,dukkha,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,karma,Context-dependent wording retained; simplified for readers,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,karuna,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,metta,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,mindfulness,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,nirvana,Context-dependent wording retained; simplified for readers,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,pali-canon,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,sangha,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,sati,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,sutta,Simplified term context,Yes,Yes at site/source-policy level,Yes,No,PASS
