URL,Baseline index state,Current index state,Baseline canonical,Current canonical,Baseline sitemap,Unexpected change?,Validation
https://echobuddha.com/404.html,"noindex, follow","noindex, follow",,,out of sitemap,No,PASS
https://echobuddha.com/about/,indexable,indexable,https://echobuddha.com/about/,https://echobuddha.com/about/,in sitemap,No,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,indexable,indexable,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,in sitemap,No,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,indexable,indexable,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,indexable,indexable,https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,indexable,indexable,https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,indexable,indexable,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,indexable,indexable,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,in sitemap,No,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,indexable,indexable,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,in sitemap,No,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,indexable,indexable,https://echobuddha.com/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/category/buddhist-wisdom/,in sitemap,No,PASS
https://echobuddha.com/articles/category/meditation/,indexable,indexable,https://echobuddha.com/articles/category/meditation/,https://echobuddha.com/articles/category/meditation/,in sitemap,No,PASS
https://echobuddha.com/articles/category/mindfulness/,indexable,indexable,https://echobuddha.com/articles/category/mindfulness/,https://echobuddha.com/articles/category/mindfulness/,in sitemap,No,PASS
https://echobuddha.com/articles/category/practice/,indexable,indexable,https://echobuddha.com/articles/category/practice/,https://echobuddha.com/articles/category/practice/,in sitemap,No,PASS
https://echobuddha.com/articles/category/reflection/,indexable,indexable,https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/category/reflection/,in sitemap,No,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,indexable,indexable,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,in sitemap,No,PASS
