URL,Page family,Source URL,Source domain,Source type,Claim scope,Editorial application separate?,Validation
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,https://suttacentral.net/sn56.11/en/sujato,suttacentral.net,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,https://www.dhammatalks.org/suttas/SN/SN45_8.html,www.dhammatalks.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,https://suttacentral.net/dhp1-20/en/sujato,suttacentral.net,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,https://www.dhammatalks.org/suttas/KN/Khp/khp5.html,www.dhammatalks.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,https://www.dhammatalks.org/suttas/AN/AN4_28.html,www.dhammatalks.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,article,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,article,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,article,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,article,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel006.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,article,https://suttacentral.net/define/dhamma,suttacentral.net,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,article,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,article,https://www.dhammatalks.org/suttas/SN/SN45_8.html,www.dhammatalks.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,article,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,article,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,article,https://suttacentral.net/edition/dhp/en/sujato/introduction,suttacentral.net,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,article,https://www.dhammatalks.org/suttas/SN/SN45_8.html,www.dhammatalks.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/eightfold-path-explained/,article,https://www.dhammatalks.org/suttas/SN/SN45_8.html,www.dhammatalks.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,article,https://www.dhammatalks.org/suttas/AN/AN8_6.html,www.dhammatalks.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,article,https://suttacentral.net/sn56.11/en/sujato,suttacentral.net,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,article,https://www.dhammatalks.org/suttas/SN/SN45_8.html,www.dhammatalks.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,article,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,article,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,www.accesstoinsight.org,Canonical text / translation archive,"Page-specific teaching, terminology, practice, or safety context",Yes,PASS
