URL / family,Owner before,Owner after,Topic scope expanded?,Role changed?,Validation
/,https://echobuddha.com/,Unchanged,No,No,PASS
/authors/echo-buddha-editorial/,https://echobuddha.com/about/,Unchanged,No,No,PASS
/about/,https://echobuddha.com/about/,Unchanged,No,No,PASS
/editorial-policy/,https://echobuddha.com/about/,Unchanged,No,No,PASS
/how-echo-buddha-creates-content/,https://echobuddha.com/about/,Unchanged,No,No,PASS
/buddhist-sources-and-citations/,https://echobuddha.com/about/,Unchanged,No,No,PASS
/quote-attribution-policy/,https://echobuddha.com/about/,Unchanged,No,No,PASS
/corrections/,https://echobuddha.com/about/,Unchanged,No,No,PASS
/contact/,https://echobuddha.com/about/,Unchanged,No,No,PASS
/articles/what-is-karma-in-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Unchanged,No,No,PASS
/learn/buddhist-dictionary/karma/,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Unchanged,No,No,PASS
Authored page families,Existing family owner,Unchanged,No,No,PASS
Policy/hub families,Existing family owner,Unchanged,No,No,PASS
