Source ID,URL,Domain,Source title,Source type,Registry key,Duplicate URL?,Decorative only?,Used by pages,Status
SRC-001,https://84000.co/,84000.co,/,Institution/context,https://84000.co/,No,No,1,ACTIVE
SRC-002,https://amaravati.org/visiting/frequently-asked-questions/,amaravati.org,/visiting/frequently-asked-questions/,Institution/context,https://amaravati.org/visiting/frequently-asked-questions/,No,No,1,ACTIVE
SRC-003,https://bswa.org/bswp/wp-content/uploads/2022/08/Buddhist-Etiquette-BSWA.pdf,bswa.org,/bswp/wp-content/uploads/2022/08/Buddhist-Etiquette-BSWA.pdf,Institution/context,https://bswa.org/bswp/wp-content/uploads/2022/08/Buddhist-Etiquette-BSWA.pdf,No,No,1,ACTIVE
SRC-004,https://palitextsociety.org/,palitextsociety.org,/,Institution/context,https://palitextsociety.org/,No,No,1,ACTIVE
SRC-005,https://suttacentral.net/,suttacentral.net,/,Canonical text / translation archive,https://suttacentral.net/,No,No,1,ACTIVE
SRC-006,https://suttacentral.net/an5.29/en/bodhi,suttacentral.net,/an5.29/en/bodhi,Canonical text / translation archive,https://suttacentral.net/an5.29/en/bodhi,No,No,1,ACTIVE
SRC-007,https://suttacentral.net/an6.63/en/sujato,suttacentral.net,/an6.63/en/sujato,Canonical text / translation archive,https://suttacentral.net/an6.63/en/sujato,No,No,3,ACTIVE
SRC-008,https://suttacentral.net/define/dhamma,suttacentral.net,/define/dhamma,Canonical text / translation archive,https://suttacentral.net/define/dhamma,No,No,1,ACTIVE
SRC-009,https://suttacentral.net/define/sutta,suttacentral.net,/define/sutta,Canonical text / translation archive,https://suttacentral.net/define/sutta,No,No,1,ACTIVE
SRC-010,https://suttacentral.net/dhp1-20/en/sujato,suttacentral.net,/dhp1-20/en/sujato,Canonical text / translation archive,https://suttacentral.net/dhp1-20/en/sujato,No,No,1,ACTIVE
SRC-011,https://suttacentral.net/dhp273-289/en/sujato,suttacentral.net,/dhp273-289/en/sujato,Canonical text / translation archive,https://suttacentral.net/dhp273-289/en/sujato,No,No,1,ACTIVE
SRC-012,https://suttacentral.net/edition/dhp/en/sujato/introduction,suttacentral.net,/edition/dhp/en/sujato/introduction,Canonical text / translation archive,https://suttacentral.net/edition/dhp/en/sujato/introduction,No,No,1,ACTIVE
SRC-013,https://suttacentral.net/mn10/en/sujato,suttacentral.net,/mn10/en/sujato,Canonical text / translation archive,https://suttacentral.net/mn10/en/sujato,No,No,1,ACTIVE
SRC-014,https://suttacentral.net/mn118/en/sujato,suttacentral.net,/mn118/en/sujato,Canonical text / translation archive,https://suttacentral.net/mn118/en/sujato,No,No,2,ACTIVE
SRC-015,https://suttacentral.net/sn45.8/en/sujato,suttacentral.net,/sn45.8/en/sujato,Canonical text / translation archive,https://suttacentral.net/sn45.8/en/sujato,No,No,6,ACTIVE
SRC-016,https://suttacentral.net/sn56.11/en/sujato,suttacentral.net,/sn56.11/en/sujato,Canonical text / translation archive,https://suttacentral.net/sn56.11/en/sujato,No,No,10,ACTIVE
SRC-017,https://suttacentral.net/snp1.8/en/sujato,suttacentral.net,/snp1.8/en/sujato,Canonical text / translation archive,https://suttacentral.net/snp1.8/en/sujato,No,No,3,ACTIVE
SRC-018,https://www.accesstoinsight.org/,www.accesstoinsight.org,/,Canonical text / translation archive,https://www.accesstoinsight.org/,No,No,1,ACTIVE
SRC-019,https://www.accesstoinsight.org/glossary.html,www.accesstoinsight.org,/glossary.html,Canonical text / translation archive,https://www.accesstoinsight.org/glossary.html,No,No,1,ACTIVE
SRC-020,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel006.html,www.accesstoinsight.org,/lib/authors/nyanaponika/wheel006.html,Canonical text / translation archive,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel006.html,No,No,2,ACTIVE
SRC-021,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel026.html,www.accesstoinsight.org,/lib/authors/nyanaponika/wheel026.html,Canonical text / translation archive,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel026.html,No,No,1,ACTIVE
SRC-022,https://www.accesstoinsight.org/lib/authors/nyanasatta/wheel019.html,www.accesstoinsight.org,/lib/authors/nyanasatta/wheel019.html,Canonical text / translation archive,https://www.accesstoinsight.org/lib/authors/nyanasatta/wheel019.html,No,No,1,ACTIVE
SRC-023,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-ajivo/index.html,www.accesstoinsight.org,/ptf/dhamma/sacca/sacca4/samma-ajivo/index.html,Canonical text / translation archive,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-ajivo/index.html,No,No,2,ACTIVE
SRC-024,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-vaca/index.html,www.accesstoinsight.org,/ptf/dhamma/sacca/sacca4/samma-vaca/index.html,Canonical text / translation archive,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-vaca/index.html,No,No,4,ACTIVE
SRC-025,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,www.accesstoinsight.org,/ptf/dhamma/sila/pancasila.html,Canonical text / translation archive,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,No,No,4,ACTIVE
SRC-026,https://www.accesstoinsight.org/tipitaka/abhi/index.html,www.accesstoinsight.org,/tipitaka/abhi/index.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/abhi/index.html,No,No,1,ACTIVE
SRC-027,https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,www.accesstoinsight.org,/tipitaka/an/an03/an03.065.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,No,No,2,ACTIVE
SRC-028,https://www.accesstoinsight.org/tipitaka/an/an03/an03.069.than.html,www.accesstoinsight.org,/tipitaka/an/an03/an03.069.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/an/an03/an03.069.than.html,No,No,1,ACTIVE
SRC-029,https://www.accesstoinsight.org/tipitaka/an/an05/an05.177.than.html,www.accesstoinsight.org,/tipitaka/an/an05/an05.177.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/an/an05/an05.177.than.html,No,No,1,ACTIVE
SRC-030,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,www.accesstoinsight.org,/tipitaka/dn/dn.22.0.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,No,No,8,ACTIVE
SRC-031,https://www.accesstoinsight.org/tipitaka/dn/dn.31.0.ksw0.html,www.accesstoinsight.org,/tipitaka/dn/dn.31.0.ksw0.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/dn/dn.31.0.ksw0.html,No,No,1,ACTIVE
SRC-032,https://www.accesstoinsight.org/tipitaka/index.html,www.accesstoinsight.org,/tipitaka/index.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/index.html,No,No,1,ACTIVE
SRC-033,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,www.accesstoinsight.org,/tipitaka/kn/dhp/dhp.01.budd.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,No,No,8,ACTIVE
SRC-034,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.03.budd.html,www.accesstoinsight.org,/tipitaka/kn/dhp/dhp.03.budd.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.03.budd.html,No,No,1,ACTIVE
SRC-035,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.08.budd.html,www.accesstoinsight.org,/tipitaka/kn/dhp/dhp.08.budd.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.08.budd.html,No,No,1,ACTIVE
SRC-036,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,www.accesstoinsight.org,/tipitaka/kn/dhp/dhp.14.budd.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,No,No,9,ACTIVE
SRC-037,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,www.accesstoinsight.org,/tipitaka/kn/dhp/dhp.20.budd.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,No,No,7,ACTIVE
SRC-038,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,www.accesstoinsight.org,/tipitaka/kn/snp/snp.1.08.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,No,No,10,ACTIVE
SRC-039,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,www.accesstoinsight.org,/tipitaka/mn/mn.118.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/mn/mn.118.than.html,No,No,8,ACTIVE
SRC-040,https://www.accesstoinsight.org/tipitaka/sn/sn12/sn12.002.than.html,www.accesstoinsight.org,/tipitaka/sn/sn12/sn12.002.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/sn/sn12/sn12.002.than.html,No,No,1,ACTIVE
SRC-041,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.048.than.html,www.accesstoinsight.org,/tipitaka/sn/sn22/sn22.048.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.048.than.html,No,No,1,ACTIVE
SRC-042,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.059.than.html,www.accesstoinsight.org,/tipitaka/sn/sn22/sn22.059.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.059.than.html,No,No,2,ACTIVE
SRC-043,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,www.accesstoinsight.org,/tipitaka/sn/sn45/sn45.008.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,No,No,5,ACTIVE
SRC-044,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,www.accesstoinsight.org,/tipitaka/sn/sn56/sn56.011.than.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,No,No,7,ACTIVE
SRC-045,https://www.accesstoinsight.org/tipitaka/sutta.html,www.accesstoinsight.org,/tipitaka/sutta.html,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/sutta.html,No,No,2,ACTIVE
SRC-046,https://www.accesstoinsight.org/tipitaka/vin/,www.accesstoinsight.org,/tipitaka/vin/,Canonical text / translation archive,https://www.accesstoinsight.org/tipitaka/vin/,No,No,1,ACTIVE
SRC-047,https://www.bps.lk/,www.bps.lk,/,Institution/context,https://www.bps.lk/,No,No,1,ACTIVE
SRC-048,https://www.bpu.ac.lk/,www.bpu.ac.lk,/,Institution/context,https://www.bpu.ac.lk/,No,No,1,ACTIVE
SRC-049,https://www.dhammatalks.org/suttas/AN/AN4_28.html,www.dhammatalks.org,/suttas/AN/AN4_28.html,Canonical text / translation archive,https://www.dhammatalks.org/suttas/AN/AN4_28.html,No,No,1,ACTIVE
SRC-050,https://www.dhammatalks.org/suttas/AN/AN8_6.html,www.dhammatalks.org,/suttas/AN/AN8_6.html,Canonical text / translation archive,https://www.dhammatalks.org/suttas/AN/AN8_6.html,No,No,1,ACTIVE
SRC-051,https://www.dhammatalks.org/suttas/KN/Khp/khp5.html,www.dhammatalks.org,/suttas/KN/Khp/khp5.html,Canonical text / translation archive,https://www.dhammatalks.org/suttas/KN/Khp/khp5.html,No,No,1,ACTIVE
SRC-052,https://www.dhammatalks.org/suttas/SN/SN45_2.html,www.dhammatalks.org,/suttas/SN/SN45_2.html,Canonical text / translation archive,https://www.dhammatalks.org/suttas/SN/SN45_2.html,No,No,3,ACTIVE
SRC-053,https://www.dhammatalks.org/suttas/SN/SN45_8.html,www.dhammatalks.org,/suttas/SN/SN45_8.html,Canonical text / translation archive,https://www.dhammatalks.org/suttas/SN/SN45_8.html,No,No,11,ACTIVE
SRC-054,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,www.nccih.nih.gov,/health/meditation-and-mindfulness-effectiveness-and-safety,Public health context,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,No,No,13,ACTIVE
SRC-055,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,www.nhs.uk,/mental-health/self-help/tips-and-support/mindfulness/,Public health context,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,No,No,2,ACTIVE
