Top queries,Clicks,Impressions,CTR,Position
buddhism letting go quotes,1,6,16.67%,19
buddhism for beginners,0,34,0%,52.94
dhamma,0,19,0%,39.53
sangha,0,19,0%,81.63
dhamma buddhism,0,17,0%,55.65
"""what we think, we become"" dhammapada translation",0,8,0%,7.75
what is the dhamma in buddhism,0,8,0%,70.38
buddha quotes patience,0,6,0%,30.17
dhamma meaning,0,6,0%,62.5
sangha meaning,0,6,0%,74
buddha patience,0,5,0%,45.8
buddha quotes compassion,0,5,0%,56.8
compassion buddhism,0,5,0%,60
what is the dhamma,0,5,0%,60
meaning of dhamma in buddhism,0,5,0%,71.2
what is dhamma,0,5,0%,71.4
what is the sangha,0,5,0%,78.6
right speech,0,5,0%,79.6
what is sangha in buddhism,0,5,0%,86.6
five precepts,0,5,0%,88.4
what do buddhists believe about karma,0,5,0%,88.8
patience quotes buddha,0,4,0%,24.25
buddhist sayings about letting go,0,4,0%,26
buddha quotes on patience,0,4,0%,26.75
buddha quotes letting go,0,4,0%,34.25
let go quotes buddha,0,4,0%,40.25
buddha quotes on letting go,0,4,0%,43.5
beginners buddhism,0,4,0%,46.5
buddhist patience,0,4,0%,47.5
compassion quotes buddha,0,4,0%,48.5
how to practice buddhism for beginners,0,4,0%,51.25
buddhist articles,0,4,0%,54
buddhism patience,0,4,0%,58
define dhamma,0,4,0%,61.25
patience in buddhism,0,4,0%,62.5
right speech buddhism,0,4,0%,71
sangha definition,0,4,0%,81.5
what is sangha,0,4,0%,88.5
what is the meaning of dhamma,0,3,0%,19
buddhist quotes on letting go,0,3,0%,33.33
mindfulness quotes buddha,0,3,0%,38.33
the dhamma,0,3,0%,39
patience buddha,0,3,0%,44.33
buddhism quotes on letting go,0,3,0%,45.33
letting go quotes buddha,0,3,0%,46.33
buddha quote about letting go,0,3,0%,49
buddhist compassion,0,3,0%,52
buddhist right speech,0,3,0%,52.33
compassion buddha quotes,0,3,0%,55.33
patience buddhism,0,3,0%,55.33
dhamma teachings,0,3,0%,58
dhamma means,0,3,0%,65.33
buddhism metta,0,3,0%,66
buddha right speech,0,3,0%,67
meaning of dhamma,0,3,0%,68.67
five aggregates,0,3,0%,69.67
dhamma definition,0,3,0%,70
buddhist dictionary,0,3,0%,75
buddhism the three poisons,0,3,0%,75.33
buddhist 5 precepts,0,3,0%,77.67
three poisons,0,3,0%,81.67
the five precepts,0,3,0%,84.33
3 poisons,0,3,0%,84.67
what is sangha buddhism,0,3,0%,91
"""what we think, we become"" buddha attribution source",0,2,0%,8
"""what we think, we become"" dhammapada verse 1 translation",0,2,0%,11
buddhist quotes about letting go,0,2,0%,15
buddha on patience quotes,0,2,0%,30
buddhist quotes on patience,0,2,0%,30.5
buddha patience quotes,0,2,0%,32
letting go buddha quotes,0,2,0%,32
buddha on patience,0,2,0%,35
buddhist sangha,0,2,0%,35
compassion buddhist,0,2,0%,39.5
buddha letting go quotes,0,2,0%,40.5
buddism for beginners,0,2,0%,41.5
