articleA,articleB,urlA,urlB,editorialOverlap,samePrimaryCluster,sharedClusters,metadataSimilarity,overallBodySimilarity,bodyCosine,bodyJaccard,introductionSimilarity,headingSequenceSimilarity,articleStructureSimilarity,faqSimilarity,conclusionSimilarity,examplesSimilarity,exercisesSimilarity,ngram5Overlap,exactDuplicatedSentenceCount,nearDuplicatedParagraphCount,sharedPracticeLanguage,sharedConclusionLanguage,overlapCausedByNecessaryDoctrine,overlapCausedByAvoidableGenericProse
what-is-buddhism-beginner-guide,what-is-buddhism-beginner-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,Self,true,Beginner Buddhism,1,1,1,1,1,1,1,1,1,1,1,1,56,0,true,true,false,false
what-is-buddhism-beginner-guide,four-noble-truths-explained-simply,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/four-noble-truths-explained-simply/,Low,false,,0.223,0.203,0.472,0.229,0.12,0.052,1,0.135,0,0.097,0.369,0.001,0,0,true,false,false,false
what-is-buddhism-beginner-guide,noble-eightfold-path-practical-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Low,false,,0.294,0.15,0.339,0.169,0.11,0.039,0.4,0.1,0,0.187,0.345,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,impermanence-in-buddhism-letting-go,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Low,false,,0.417,0.173,0.358,0.212,0.09,0.125,0.4,0.137,0,0.101,0.275,0,0,0,false,false,false,false
what-is-buddhism-beginner-guide,compassion-in-buddhism-beginner-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Low,false,,0.552,0.178,0.33,0.202,0.146,0.103,0.4,0.252,0,0.022,0.402,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,how-to-meditate-for-beginners,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/how-to-meditate-for-beginners/,Low,false,,0.349,0.155,0.347,0.177,0.146,0.037,0.4,0.061,0,0.138,0.361,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,mindfulness-of-breathing-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,Low,false,,0.161,0.162,0.344,0.186,0.098,0.127,0.4,0.094,0,0.102,0.397,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,loving-kindness-meditation-guide,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/loving-kindness-meditation-guide/,Low,false,,0.191,0.142,0.269,0.18,0.125,0.108,0.4,0.094,0,0,0.326,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,dhammapada-reflection-what-we-think,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Low,false,,0.09,0.188,0.372,0.22,0.181,0.104,0.4,0.132,0,0.053,0.385,0.002,0,0,true,false,false,false
what-is-buddhism-beginner-guide,dhammapada-reflection-trained-mind,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Low,false,,0.053,0.181,0.432,0.191,0.089,0.06,0.4,0.125,0,0.047,0.475,0.001,0,0,true,false,false,false
what-is-buddhism-beginner-guide,eightfold-path-explained,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/eightfold-path-explained/,Low,false,,0.227,0.194,0.465,0.206,0.042,0.06,0.4,0.22,0,0.263,0.471,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,how-to-let-go-of-attachment-in-buddhism,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,Low,false,,0.252,0.178,0.369,0.221,0.134,0.056,0.4,0.178,0,0.086,0.355,0.001,0,0,true,false,false,false
what-is-buddhism-beginner-guide,right-speech-buddhism,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/right-speech-buddhism/,Low,false,,0.333,0.169,0.37,0.197,0.136,0.061,0.4,0.096,0,0.094,0.471,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,buddhist-wisdom-for-overthinking,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Low,false,,0.319,0.153,0.336,0.184,0.098,0.037,0.4,0.146,0,0,0.357,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,impermanence-in-buddhism,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/impermanence-in-buddhism/,Low,false,,0.35,0.171,0.386,0.2,0.125,0.067,0.4,0.061,0,0.099,0.367,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,what-is-karma-in-buddhism,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/what-is-karma-in-buddhism/,Low,false,,0.293,0.162,0.368,0.183,0.104,0.04,0.4,0.128,0,0.166,0.402,0,0,0,true,false,false,false
what-is-buddhism-beginner-guide,four-noble-truths-explained,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/four-noble-truths-explained/,Low,false,,0.274,0.198,0.472,0.228,0.046,0.052,0.4,0.211,0,0,0.362,0.001,0,0,true,false,false,false
what-is-buddhism-beginner-guide,mindfulness-vs-meditation,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,https://echobuddha.com/articles/mindfulness-vs-meditation/,Low,false,,0.103,0.211,0.442,0.221,0.184,0.061,0.4,0.232,0,0,0.495,0,0,0,true,false,false,false
