page_family,indexability,content_value,source_quote_safety_risk,ad_suitability,allowed_ad_density,restricted_placements,forbidden_placements,owner_review_needed,recommendation
homepage,indexable,high orientation and brand value,low source risk but high UX trust sensitivity,limited,"0-1 conservative placement after approval","below core pathway content only","hero,nav,buttons,first viewport clutter,between core identity and primary paths",yes,"Avoid until after approval; homepage should stay calm."
Learn hubs,indexable,high navigation and learning value,medium because hubs route Buddhist concepts,conditional,"0-1 per long hub after approval","after main pathways,never inside cards that look navigational","near nav,inside pathway cards,above H1,footer trust links",yes,"Conservative manual placement only if page remains content-led."
Learn detail pages,indexable,high educational value,medium to high for Buddhist doctrine/source accuracy,conditional,"0-2 on long pages after approval","between major explanatory sections only","source notes,citation blocks,definitions,practice warnings,trust links",yes,"Best candidate family after source review, but keep density low."
dictionary pages,indexable,varies from concise to substantial,medium due term nuance and possible thinness,limited,"0 or 1 only on substantial entries","after body content if entry is long enough","above definition,inside term explanation,near source notes",yes,"Default no ads on short terms; consider long entries only."
source-study pages,indexable,high source-aware value,high quote/translation/copyright/source risk,restricted,"0-1 only after source/copyright review","after Echo Buddha reflection,away from source/citation panels","near scripture names,translation/paraphrase sections,source notes",yes,"Avoid initially; monetize only after specialist/source review."
articles,indexable,high explanatory/practical value,medium depending on topic,conditional,"0-2 on long low-sensitivity articles","between content sections after intro","first answer,source notes,safety notes,related buttons,images",yes,"Primary future candidate family for manual ads after owner approval."
meditation pages,indexable,high practice value,high safety/wellbeing sensitivity,restricted,"0 or 1 only outside practice instructions after review","after article-like explanation,never during practice","practice steps,timers,breathing instructions,safety notes,grounding/seek support language",yes,"Default no ads; consider only non-instructional pages after safety review."
mindful living pages,indexable,high daily-practice value,medium wellbeing/safety drift risk,conditional,"0-1 on long low-sensitivity pages","between general sections only","near boundary/safety language,relationship harm guidance,buttons",yes,"Conservative manual placement after topic review."
quote hub,indexable,medium to high navigational value,high quote-farm perception risk,restricted,"0 initially","none until approved","above quote categories,inside quote grids,near attribution policy links",yes,"Keep ad-free initially to protect identity."
quote category pages,indexable,medium reflective value,high quote-origin and quote-farm risk,restricted,"0 initially; possible 1 after enrichment review","below substantial category guidance only","inside quote lists/cards,near quote text,near attribution disclosures",yes,"Default no ads; do not make quote pages feel ad-led."
quote story pages,mixed indexable/noindex,varies; many are short reflective pages,high originality/quote-origin/pattern risk,not_suitable,"0","none","anywhere on quote story pages",yes,"Do not monetize this family unless individual pages are rewritten/reviewed and owner approves."
daily reflections,indexable details plus noindex today,medium habit value,medium short-content/interruption risk,restricted,"0 initially","none until approved","inside reflection,between prompt and practice,near today's reflection",yes,"Keep ad-free; ads would interrupt the reflection habit."
today's reflection,noindex,recurring utility/habit value,medium safety/short-content risk,not_suitable,"0","none","anywhere",yes,"Do not monetize; keep noindex and calm."
tools,mixed utility pages,medium utility value,high accidental-click/tool UX risk,not_suitable,"0","none","near tool controls,buttons,timers,search widgets",yes,"No ads on tools."
search,noindex,utility search value,high accidental-click/navigation risk,not_suitable,"0","none","anywhere",yes,"No ads on search."
404,noindex,error utility value,high accidental-click/dead-end risk,not_suitable,"0","none","anywhere",yes,"No ads on 404."
privacy terms disclaimer editorial trust pages,indexable policy/trust value,high trust/legal sensitivity,not_suitable,"0","none","anywhere",yes,"No ads on privacy, terms, disclaimer, editorial, corrections, contact, source, attribution, or safety trust pages."
