"Gate ID","Gate name","Category","Command/script","Trigger","Blocking / Warning / Informational","Why it exists","Phase source","Failure condition","False-positive risk","Runtime cost","PR required?","Main required?","Release required?","Deploy required?","Owner override allowed?","Current state","Final state","Validation"
"G-01","Build","Technical","npm run build","PR/main/release","Blocking","Prove static output","0-9","Build error","Low","Low","Yes","Yes","Yes","Yes","No","Existing","Strengthened","PASS"
"G-02","Typecheck","Technical","npm run typecheck","PR/main/release","Blocking","Prevent type regressions","0-9","Type error","Low","Low","Yes","Yes","Yes","Yes","No","Existing","Retained","PASS"
"G-03","Lint","Technical","npm run lint","PR/main/release","Blocking","Policy and source safety","0-9","Lint/governance failure","Low","Low","Yes","Yes","Yes","Yes","Approval register only","Existing","Strengthened","PASS"
"G-04","Tests","Technical","npm test","PR/main/release","Blocking","Behavior regression","0-9","Test failure","Low","Medium","Yes","Yes","Yes","Yes","No","Existing","Strengthened","PASS"
"G-05","SEO","Indexability","npm run audit:seo","PR/main/release","Blocking","Links/schema/sitemap","1-9","Deterministic SEO error","Low","Medium","Yes","Yes","Yes","Yes","Approval register only","Existing","Retained","PASS"
"G-06","Content","Content","npm run audit:content","PR/main/release","Blocking","Content/source governance","1-9","Deterministic integrity error","Medium","Medium","Yes","Yes","Yes","Yes","Approval register only","Existing","Retained","PASS"
"G-07","Phase 8","Security/privacy","npm run audit:phase8","PR/main/release","Blocking","Preserve hardening","8","Phase 8 regression","Low","Medium","Yes","Yes","Yes","Yes","No","Existing","Retained","PASS"
"G-08","Phase 9","Governance","npm run audit:phase9","PR/main/release","Blocking","Baseline/workflow/release protections","9","Objective protected state drifts","Low","Medium","Yes","Yes","Yes","Yes","Approval register where declared","New","Implemented","PASS"
"G-09","Dependencies","Supply chain","npm run audit:dependencies","PR/main/release","Blocking","Block high/critical advisories","8-9","High/critical audit finding","Low","Low","Yes","Yes","Yes","Yes","No silent override","Existing","Retained","PASS"
"G-10","Browser consent/accessibility","UX/privacy","npm run audit:browser","PR/main","Blocking","Runtime consent and accessibility","7-9","Critical browser audit error","Medium","High","Yes","Yes","Before release","No","No","Existing","CI job added","PASS"
"G-11","Lighthouse","Performance","npm run audit:lighthouse","Monthly/manual","Warning / Informational","Spot performance/accessibility drift","8-9","Evidence recorded; not arbitrary perfect score","High","High","No","No","Review","No","N/A","Existing local","Scheduled evidence","PASS"
"G-12","Topic overlap","Editorial","npm run audit:governance:changes","PR/main","Warning","Surface likely owner overlap","2-9","Review report only","High","Low","Yes","Yes","Review","No","N/A","Manual","Automated warning","PASS"
"G-13","Exact release SHA","Deployment","deploy-production.yml","Manual deploy","Blocking","Tie production to validated main","9","SHA invalid/not origin main","Low","Low","No","No","Yes","Yes","No","Absent","Implemented","PASS"
"G-14","Artifact digest","Deployment","create/verify-release-manifest.mjs","Manual deploy","Blocking","Deploy exactly built files","9","Missing/changed file digest","Low","Low","No","No","Yes","Yes","No","Absent","Implemented","PASS"
"G-15","Production smoke","Deployment","npm run audit:production-smoke","Post-deploy/weekly/manual","Blocking on deploy; monitoring otherwise","Catch critical production failure","9","Status/content/canonical/header failure","Medium","Low","No","No","Yes","Yes","Owner incident judgment","Ad hoc","Implemented","PASS current production"
"G-16","Rollback confirmation","Recovery","rollback-production.yml","Manual rollback","Blocking","Prevent accidental mutation","9","Invalid UUID/confirmation","Low","Low","No","No","No","Rollback","No","Absent","Implemented","PASS static validation"
"G-17","Secret scan","Security","audit:phase9","PR/main/release","Blocking","Prevent committed credential patterns","9","Detected token/private key pattern","Medium","Low","Yes","Yes","Yes","Yes","Security review only","Partial","Strengthened","PASS"
"G-18","Workflow safety","CI security","audit:phase9","PR/main/release","Blocking","Least privilege/pins/safe trigger","9","Mutable action/broad permission/unsafe trigger","Low","Low","Yes","Yes","Yes","Yes","No","Absent","Implemented","PASS"
