Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
United States,6,0,497,108,1.21%,0%,30.63,52.89
India,3,9,91,18,3.3%,50%,22.63,18.72
Australia,1,0,70,15,1.43%,0%,28.99,51.27
Thailand,1,0,28,0,3.57%,0%,23.46,0
New Zealand,1,0,20,0,5%,0%,41.5,0
Ireland,1,0,6,0,16.67%,0%,18.33,0
Sri Lanka,1,0,5,30,20%,0%,3.8,4.77
Hungary,1,0,1,0,100%,0%,4,0
United Kingdom,0,0,186,10,0%,0%,52.18,57.4
Canada,0,0,97,4,0%,0%,55.74,70
Vietnam,0,0,48,0,0%,0%,29.56,0
Philippines,0,0,40,2,0%,0%,26,60
United Arab Emirates,0,0,27,0,0%,0%,7.81,0
Indonesia,0,0,24,2,0%,0%,25.62,35
Malaysia,0,0,19,2,0%,0%,23.79,44
Bangladesh,0,0,14,0,0%,0%,26.86,0
Singapore,0,0,14,3,0%,0%,39.21,71.33
Spain,0,0,13,2,0%,0%,28.92,43.5
China,0,0,10,0,0%,0%,8.5,0
Germany,0,0,9,6,0%,0%,9.67,60
Netherlands,0,0,8,7,0%,0%,11.75,42.71
Mexico,0,0,8,1,0%,0%,24,3
Turkey,0,0,8,1,0%,0%,28.5,28
Jordan,0,0,8,0,0%,0%,29.12,0
Ukraine,0,0,8,0,0%,0%,31.88,0
Poland,0,0,8,1,0%,0%,35.12,11
Morocco,0,0,8,1,0%,0%,38.88,33
France,0,0,7,0,0%,0%,13.29,0
Russia,0,0,7,1,0%,0%,29.71,11
Pakistan,0,0,6,4,0%,0%,35.67,46.75
Brazil,0,0,5,1,0%,0%,7.4,39
Algeria,0,0,5,0,0%,0%,28.2,0
Norway,0,0,4,0,0%,0%,7.75,0
Myanmar (Burma),0,0,4,0,0%,0%,19.5,0
Cambodia,0,0,4,1,0%,0%,44,38
Croatia,0,0,3,0,0%,0%,2.67,0
Argentina,0,0,3,0,0%,0%,4,0
Belgium,0,0,3,0,0%,0%,4.67,0
Japan,0,0,3,0,0%,0%,9.33,0
Israel,0,0,3,2,0%,0%,29,55
Romania,0,0,3,0,0%,0%,36.33,0
Greece,0,0,2,0,0%,0%,6,0
Italy,0,0,2,0,0%,0%,6,0
Bulgaria,0,0,2,0,0%,0%,7.5,0
Brunei,0,0,2,0,0%,0%,8.5,0
Kenya,0,0,2,0,0%,0%,9,0
Hong Kong,0,0,2,0,0%,0%,9.5,0
Nepal,0,0,2,0,0%,0%,9.5,0
Taiwan,0,0,2,0,0%,0%,10,0
Denmark,0,0,2,1,0%,0%,13,63
South Korea,0,0,2,1,0%,0%,24,77
Chile,0,0,1,0,0%,0%,1,0
Ghana,0,0,1,0,0%,0%,2,0
Nigeria,0,0,1,0,0%,0%,2,0
Slovenia,0,0,1,0,0%,0%,2,0
Guatemala,0,0,1,0,0%,0%,3,0
Czechia,0,0,1,0,0%,0%,5,0
Venezuela,0,0,1,0,0%,0%,7,0
Austria,0,0,1,1,0%,0%,8,1
Iran,0,0,1,0,0%,0%,8,0
Palau,0,0,1,0,0%,0%,8,0
Tunisia,0,0,1,0,0%,0%,9,0
Colombia,0,0,1,0,0%,0%,10,0
Slovakia,0,0,1,0,0%,0%,10,0
Bhutan,0,0,1,0,0%,0%,11,0
Sweden,0,0,1,0,0%,0%,11,0
Trinidad & Tobago,0,0,1,0,0%,0%,11,0
Uganda,0,0,1,0,0%,0%,11,0
Portugal,0,0,1,0,0%,0%,35,0
Qatar,0,0,1,0,0%,0%,36,0
Saudi Arabia,0,0,1,1,0%,0%,49,43
Egypt,0,0,0,2,0%,0%,0,49.5
Uzbekistan,0,0,0,1,0%,0%,0,34
Kazakhstan,0,0,0,1,0%,0%,0,44
