url,page_family,indexable,sitemap_member,gsc_clicks_3m,gsc_impressions_3m,gsc_ctr_3m,gsc_position_3m,query_diversity,indexed_stability,internal_inlinks,minimum_click_depth,backlink_evidence,evidence_only
https://echobuddha.com/about/,ABOUT,true,true,0,19,0,12.95,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,338,1,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,true,true,0,0,,,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,44,2,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,true,true,0,4,0,30,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,24,2,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,true,true,0,5,0,5.4,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,38,2,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,true,true,0,2,0,4,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,8,2,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,true,true,0,1,0,45,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,18,2,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,true,true,0,3,0,7.67,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,19,2,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,true,true,0,17,0,10.18,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,88,2,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_CATEGORY,true,true,0,7,0,45.43,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,282,1,NOT_AVAILABLE,SEO_EQUITY_REVIEW
https://echobuddha.com/articles/category/meditation/,ARTICLE_CATEGORY,true,true,0,1,0,5,NOT_AVAILABLE: query×page dimension absent,PROPERTY_AGGREGATE_ONLY,105,2,NOT_AVAILABLE,SEO_EQUITY_REVIEW
