url,page_family,subtype,title,h1,category_or_section,topic,primary_intent,published_date,updated_date,author,reviewer,word_count,headings,source_section_present,citations,related_links,owner_support_relationship,inlinks,outlinks,minimum_click_depth,indexable,sitemap_member,canonical,gsc_clicks_3m,gsc_impressions_3m,lexical_review_pairs,boilerplate_ratio,unique_text_ratio,ad_placeholder_count,declared_ad_eligible,schema_types
https://echobuddha.com/learn/buddhist-dictionary/anatta/,DICTIONARY_ENTRY,dictionary term,Anatta Meaning: Non-Self in Buddhism Explained for Beginners | Echo Buddha,Anatta,dictionary term,Buddhist Concepts,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,354,Anatta | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,1,https://echobuddha.com/learn/buddhist-dictionary/,17,42,3,true,true,https://echobuddha.com/learn/buddhist-dictionary/anatta/,0,4,11,0.0836,0.9164,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/anicca/,DICTIONARY_ENTRY,dictionary term,Anicca Meaning: Impermanence in Buddhism Explained Simply | Echo Buddha,Anicca,dictionary term,Impermanence,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,316,Anicca | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,3,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,32,41,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/anicca/,0,1,11,0.0969,0.9031,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/compassion/,DICTIONARY_ENTRY,dictionary term,Compassion Meaning in Buddhist Wisdom | Echo Buddha,Compassion,dictionary term,Compassion,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,297,Compassion | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,1,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,51,40,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/compassion/,0,4,11,0.102,0.898,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,DICTIONARY_ENTRY,dictionary term,Dhamma Meaning: Buddhist Teaching and Truth | Echo Buddha,Dhamma,dictionary term,Dhamma / Dharma,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,684,Dhamma | Concise Definition | Why the Term Matters | Simple Meaning of Dhamma | Dhamma vs Dharma | Dhamma in the Three Jewels | Practice Meaning in Daily Life | Common Misunderstandings | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,2,0,,81,44,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,0,109,3,0.0415,0.9585,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,DICTIONARY_ENTRY,dictionary term,Dukkha Meaning: Suffering and Unsatisfactoriness in Buddhism | Echo Buddha,Dukkha,dictionary term,Mindfulness,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,347,Dukkha | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,1,https://echobuddha.com/learn/four-noble-truths/,53,42,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/dukkha/,0,7,11,0.0859,0.9141,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/karma/,DICTIONARY_ENTRY,dictionary term,"Karma Meaning in Buddhism: Intention, Action, and Consequences | Echo Buddha",Karma,dictionary term,Karma,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,323,Karma | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,1,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,38,40,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/karma/,0,3,11,0.0936,0.9064,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/karuna/,DICTIONARY_ENTRY,dictionary term,Karuna Meaning: Compassion in Buddhism | Echo Buddha,Karuna,dictionary term,Compassion,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,351,Karuna | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,12,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,12,40,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/karuna/,0,0,14,0.0836,0.9164,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/metta/,DICTIONARY_ENTRY,dictionary term,Metta Meaning: Loving-Kindness in Buddhism | Echo Buddha,Metta,dictionary term,Compassion,glossary lookup,,,Echo Buddha Editorial,NOT_VERIFIED,669,Metta | Concise Definition | Why the Term Matters | Meaning and Language | What Metta Is Not | How the Term Is Used in Practice | Related Terms | A Daily-Life Example | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,9,,28,41,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/metta/,0,10,4,0.0413,0.9587,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,DICTIONARY_ENTRY,dictionary term,Mindfulness Meaning in Buddhist Practice | Echo Buddha,Mindfulness,dictionary term,Mindfulness,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,292,Mindfulness | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,1,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,37,39,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,0,2,11,0.1042,0.8958,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,DICTIONARY_ENTRY,dictionary term,Nirvana Meaning in Buddhism Explained Simply | Echo Buddha,Nirvana,dictionary term,Buddhist Concepts,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,323,Nirvana | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,1,https://echobuddha.com/learn/buddhist-dictionary/,4,41,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/nirvana/,0,5,11,0.0923,0.9077,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,DICTIONARY_ENTRY,dictionary term,Pali Canon Meaning for Beginners | Echo Buddha,Pali Canon,dictionary term,Sutta Study,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,433,Pali Canon | Concise Definition | Simple Meaning | Meaning in Daily Life | Common Misunderstanding | Use the Term in Context | Reference Boundaries | Traditional References | Related Learning Links,true,4,0,https://echobuddha.com/learn/sutta-for-daily-life/,9,40,3,true,true,https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,0,13,12,0.0641,0.9359,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/sangha/,DICTIONARY_ENTRY,dictionary term,Sangha Meaning: Buddhist Community Explained Simply | Echo Buddha,Sangha,dictionary term,Sangha,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,413,Sangha | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,2,6,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,11,42,3,true,true,https://echobuddha.com/learn/buddhist-dictionary/sangha/,0,6,13,0.0708,0.9292,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/sati/,DICTIONARY_ENTRY,dictionary term,Sati Meaning: Mindfulness in Buddhist Practice | Echo Buddha,Sati,dictionary term,Mindfulness,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,311,Sati | Concise Definition | Why the Term Matters | Simple Meaning | Meaning in Daily Life | Related Teaching | Nuance and Usage | Use the Term in Context | Check Your Understanding | Reference Boundaries | Traditional References | Related Learning Links,true,1,1,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,65,40,2,true,true,https://echobuddha.com/learn/buddhist-dictionary/sati/,1,2,11,0.0977,0.9023,0,false,Article | BreadcrumbList | DefinedTerm
https://echobuddha.com/learn/buddhist-dictionary/sutta/,DICTIONARY_ENTRY,dictionary term,Sutta Meaning in Buddhism | Echo Buddha,Sutta,dictionary term,Sutta Study,glossary lookup,,,NOT_VERIFIED,NOT_VERIFIED,381,Sutta | Concise Definition | Simple Meaning | Meaning in Daily Life | Common Misunderstanding | Use the Term in Context | Reference Boundaries | Traditional References | Related Learning Links,true,2,0,https://echobuddha.com/learn/sutta-for-daily-life/,11,41,3,true,true,https://echobuddha.com/learn/buddhist-dictionary/sutta/,0,27,13,0.0744,0.9256,0,false,Article | BreadcrumbList | DefinedTerm
