URL,Title before,Title after,Title changed?,H1 before,H1 after,H1 changed?,Description changed?,Canonical changed?,Robots changed?,Reason,Result
https://echobuddha.com/learn/buddhism-for-beginners/,Buddhism for Beginners - Simple Buddhist Teachings | Echo Buddha,Buddhism for Beginners - Simple Buddhist Teachings | Echo Buddha,No,Buddhism for Beginners,Buddhism for Beginners,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/four-noble-truths/,Four Noble Truths Explained for Beginners | Echo Buddha,Four Noble Truths Explained for Beginners | Echo Buddha,No,The Four Noble Truths Explained for Beginners,The Four Noble Truths Explained for Beginners,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/eightfold-path/,Noble Eightfold Path for Daily Life | Echo Buddha,Noble Eightfold Path for Daily Life | Echo Buddha,No,The Noble Eightfold Path for Daily Life,The Noble Eightfold Path for Daily Life,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,What Is Buddhism? A Clear Beginner&#39;s Guide | Echo Buddha,What Is Buddhism? A Clear Beginner&#39;s Guide | Echo Buddha,No,What Is Buddhism?,What Is Buddhism?,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,What Is Karma in Buddhism? A Beginner&#39;s Guide | Echo Buddha,What Is Karma in Buddhism? A Beginner&#39;s Guide | Echo Buddha,No,What Is Karma in Buddhism?,What Is Karma in Buddhism?,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,What Is Impermanence? | Echo Buddha,What Is Impermanence? | Echo Buddha,No,What Is Impermanence?,What Is Impermanence?,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,The Five Precepts in Buddhism: A Beginner&#39;s Guide to Ethical Living | Echo Buddha,The Five Precepts in Buddhism: A Beginner&#39;s Guide to Ethical Living | Echo Buddha,No,The Five Precepts in Buddhism,The Five Precepts in Buddhism,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,"Three Poisons in Buddhism: Greed, Aversion, and Delusion | Echo Buddha","Three Poisons in Buddhism: Greed, Aversion, and Delusion | Echo Buddha",No,"The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained","The Three Poisons in Buddhism: Greed, Hatred, and Delusion Explained",No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,What Is Sangha? Buddhist Community for Beginners | Echo Buddha,What Is Sangha? Buddhist Community for Beginners | Echo Buddha,No,What Is Sangha? Why Buddhist Community Matters for Beginners,What Is Sangha? Why Buddhist Community Matters for Beginners,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,Metta Meaning: Loving-Kindness in Buddhism | Echo Buddha,Metta Meaning: Loving-Kindness in Buddhism | Echo Buddha,No,Metta,Metta,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Buddhism for Beginners: A Simple Guide | Echo Buddha,Buddhism for Beginners: A Simple Guide | Echo Buddha,No,Buddhism for Beginners: A Simple Guide to the Path,Buddhism for Beginners: A Simple Guide to the Path,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Eightfold Path in Daily Life | Echo Buddha,Eightfold Path in Daily Life | Echo Buddha,No,The Noble Eightfold Path Explained for Daily Life,The Noble Eightfold Path Explained for Daily Life,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Four Noble Truths Explained Simply for Beginners | Echo Buddha,Four Noble Truths Explained Simply for Beginners | Echo Buddha,No,The Four Noble Truths Explained Simply,The Four Noble Truths Explained Simply,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Impermanence in Buddhism and How to Let Go Gently | Echo Buddha,Impermanence in Buddhism and How to Let Go Gently | Echo Buddha,No,Impermanence in Buddhism: Learning to Let Go Gently,Impermanence in Buddhism: Learning to Let Go Gently,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,Impermanence in Buddhism: Accepting Change Peacefully | Echo Buddha,Impermanence in Buddhism: Accepting Change Peacefully | Echo Buddha,No,Impermanence in Buddhism: Learning to Accept Change Peacefully,Impermanence in Buddhism: Learning to Accept Change Peacefully,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Loving-Kindness Meditation for Beginners | Echo Buddha,Loving-Kindness Meditation for Beginners | Echo Buddha,No,Loving-Kindness Meditation for Beginners,Loving-Kindness Meditation for Beginners,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Noble Eightfold Path Practical Guide for Daily Life | Echo Buddha,Noble Eightfold Path Practical Guide for Daily Life | Echo Buddha,No,The Noble Eightfold Path: A Practical Guide for Daily Life,The Noble Eightfold Path: A Practical Guide for Daily Life,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/meditation/breathing-meditation/,Breathing Meditation | Echo Buddha,Breathing Meditation | Echo Buddha,No,Breathing Meditation,Breathing Meditation,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,Loving-Kindness Meditation | Echo Buddha,Loving-Kindness Meditation | Echo Buddha,No,Loving-Kindness Meditation,Loving-Kindness Meditation,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/meditation/walking-meditation/,Walking Meditation | Echo Buddha,Walking Meditation | Echo Buddha,No,Walking Meditation,Walking Meditation,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,What to Do When Meditation Feels Hard | Echo Buddha,What to Do When Meditation Feels Hard | Echo Buddha,No,What to Do When Meditation Feels Hard,What to Do When Meditation Feels Hard,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,Meditation for Beginners | Echo Buddha,Meditation for Beginners | Echo Buddha,No,Meditation for Beginners,Meditation for Beginners,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,Meditation Posture for Beginners | Echo Buddha,Meditation Posture for Beginners | Echo Buddha,No,Meditation Posture for Beginners,Meditation Posture for Beginners,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/right-speech-buddhism/,"Right Speech in Buddhism: Meaning, Examples, and Practice | Echo Buddha","Right Speech in Buddhism: Meaning, Examples, and Practice | Echo Buddha",No,Right Speech in Buddhism: How to Speak with Kindness and Awareness,Right Speech in Buddhism: How to Speak with Kindness and Awareness,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,A Buddhist Approach to Anger | Echo Buddha,A Buddhist Approach to Anger | Echo Buddha,No,"A Buddhist Approach to Anger: Pause, Understand, Respond","A Buddhist Approach to Anger: Pause, Understand, Respond",No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,Compassion With Boundaries in Buddhist Practice | Echo Buddha,Compassion With Boundaries in Buddhist Practice | Echo Buddha,No,Compassion With Boundaries,Compassion With Boundaries,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,Mindful Email and Texting with Buddhist Right Speech | Echo Buddha,Mindful Email and Texting with Buddhist Right Speech | Echo Buddha,No,Mindful Email and Texting,Mindful Email and Texting,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Dhammacakkappavattana Sutta and the Four Noble Truths | Echo Buddha,Dhammacakkappavattana Sutta and the Four Noble Truths | Echo Buddha,No,Dhammacakkappavattana Sutta: Four Noble Truths in Context,Dhammacakkappavattana Sutta: Four Noble Truths in Context,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Magga-vibhanga Sutta and the Noble Eightfold Path | Echo Buddha,Magga-vibhanga Sutta and the Noble Eightfold Path | Echo Buddha,No,Magga-vibhanga Sutta: Eightfold Path Explained Simply,Magga-vibhanga Sutta: Eightfold Path Explained Simply,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,The Metta Sutta Explained for Daily Life | Echo Buddha,The Metta Sutta Explained for Daily Life | Echo Buddha,No,The Metta Sutta Explained for Daily Life,The Metta Sutta Explained for Daily Life,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,Dhamma vs Dharma: Buddhist Meaning and Spelling | Echo Buddha,No,Dhamma vs Dharma: What Is the Difference?,Dhamma vs Dharma: What Is the Difference?,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
https://echobuddha.com/learn/dhammapada-reflections/,Dhammapada Reflections | Echo Buddha,Dhammapada Reflections | Echo Buddha,No,Dhammapada Reflections,Dhammapada Reflections,No,No,No,No,No metadata change required by the pre-edit role specifications.,PASS
