URL,Primary owner link preserved?,Support/source links preserved?,New internal links,Removed internal links,Broken links,Orphan risk,Result
https://echobuddha.com/learn/buddhism-for-beginners/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/learn/four-noble-truths/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/learn/eightfold-path/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/meditation/breathing-meditation/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/meditation/loving-kindness-meditation/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/meditation/walking-meditation/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/meditation/when-meditation-feels-hard/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/meditation/meditation-for-beginners/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/meditation/meditation-posture-for-beginners/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/right-speech-buddhism/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,Yes,Yes,Only page-specific next steps/source-study routes where already in assigned journey,None,0,None introduced,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,Yes,Yes,None,None,0,None introduced,PASS
https://echobuddha.com/learn/dhammapada-reflections/,Yes,Yes,None,None,0,None introduced,PASS
