Source,URL,Authority,Claim groups,Pages used,Checked on,Boundary,Copyright handling,Status
SN 56.11,https://suttacentral.net/sn56.11/en/sujato,Canonical Buddhist text,"Four Noble Truths, Middle Way, and four tasks",https://echobuddha.com/learn/buddhism-for-beginners/ | https://echobuddha.com/learn/four-noble-truths/ | https://echobuddha.com/learn/eightfold-path/ | https://echobuddha.com/learn/buddhism-101/what-is-buddhism/ | https://echobuddha.com/articles/right-speech-buddhism/ | https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/ | https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,2026-08-11,"Direct text reference; modern translation linked, not reproduced",Linked and paraphrased; no long translation reproduced.,VERIFIED
SN 45.8,https://suttacentral.net/sn45.8/en/sujato,Canonical Buddhist text,Noble Eightfold Path factors and Right Speech abstentions,https://echobuddha.com/learn/buddhism-for-beginners/ | https://echobuddha.com/learn/four-noble-truths/ | https://echobuddha.com/learn/eightfold-path/ | https://echobuddha.com/learn/buddhism-101/what-is-buddhism/ | https://echobuddha.com/articles/right-speech-buddhism/ | https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/ | https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,2026-08-11,Direct text reference; terminology variation acknowledged,Linked and paraphrased; no long translation reproduced.,VERIFIED
AN 6.63,https://suttacentral.net/an6.63/en/sujato,Canonical Buddhist text,Kamma linked with intention,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/ | https://echobuddha.com/meditation/walking-meditation/,2026-08-11,Direct claim support; no fate or blame inference,Linked and paraphrased; no long translation reproduced.,VERIFIED
Snp 1.8,https://suttacentral.net/snp1.8/en/sujato,Canonical Buddhist text,"Mettā, ethical qualities, and expansive goodwill",https://echobuddha.com/learn/buddhist-dictionary/metta/ | https://echobuddha.com/meditation/loving-kindness-meditation/ | https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,2026-08-11,Direct text reference; staged meditation remains editorial adaptation,Linked and paraphrased; no long translation reproduced.,VERIFIED
AN 5.29,https://suttacentral.net/an5.29/en/bodhi,Canonical Buddhist text,Walking meditation benefits,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/ | https://echobuddha.com/meditation/walking-meditation/,2026-08-11,Direct topic support; detailed walking instructions are editorial,Linked and paraphrased; no long translation reproduced.,VERIFIED
MN 10,https://suttacentral.net/mn10/en/sujato,Canonical Buddhist text,Mindful knowing of bodily posture including walking,https://echobuddha.com/meditation/breathing-meditation/ | https://echobuddha.com/meditation/walking-meditation/ | https://echobuddha.com/meditation/when-meditation-feels-hard/,2026-08-11,Direct topic support,Linked and paraphrased; no long translation reproduced.,VERIFIED
MN 118,https://suttacentral.net/mn118/en/sujato,Canonical Buddhist text,Mindfulness of breathing,https://echobuddha.com/meditation/breathing-meditation/ | https://echobuddha.com/meditation/walking-meditation/ | https://echobuddha.com/meditation/when-meditation-feels-hard/,2026-08-11,Direct topic support; five-minute sequence is editorial,Linked and paraphrased; no long translation reproduced.,VERIFIED
Dhammapada 1–20,https://suttacentral.net/dhp1-20/en/sujato,Canonical Buddhist text,"Mind, hostility, restraint, and non-hatred",https://echobuddha.com/learn/buddhism-101/what-is-impermanence/ | https://echobuddha.com/articles/buddhist-approach-to-anger/,2026-08-11,Broad traditional context; anger map explicitly editorial,Linked and paraphrased; no long translation reproduced.,VERIFIED
Dhammapada 273–289,https://suttacentral.net/dhp273-289/en/sujato,Canonical Buddhist text,Impermanence in the path context,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/ | https://echobuddha.com/articles/buddhist-approach-to-anger/,2026-08-11,Direct traditional context; modern scenario editorial,Linked and paraphrased; no long translation reproduced.,VERIFIED
NCCIH meditation safety,https://www.nccih.nih.gov/health/meditation-and-mindfulness-effectiveness-and-safety,US government health institution,"Evidence limits, adverse experiences, and safety",https://echobuddha.com/articles/loving-kindness-meditation-beginners/ | https://echobuddha.com/meditation/breathing-meditation/ | https://echobuddha.com/meditation/loving-kindness-meditation/ | https://echobuddha.com/meditation/walking-meditation/ | https://echobuddha.com/meditation/when-meditation-feels-hard/ | https://echobuddha.com/meditation/meditation-for-beginners/ | https://echobuddha.com/meditation/meditation-posture-for-beginners/,2026-08-11,Institutional safety support; no diagnosis or outcome guarantee,Linked and paraphrased; no long translation reproduced.,VERIFIED
NHS mindfulness,https://www.nhs.uk/mental-health/self-help/tips-and-support/mindfulness/,Public health institution,Mindfulness may not suit everyone and can feel difficult,https://echobuddha.com/meditation/when-meditation-feels-hard/,2026-08-11,Proportional safety context,Linked and paraphrased; no long translation reproduced.,VERIFIED
