URL,Primary owner,Page role,Unique source value,Unique explanatory value,Unique practical value,Unique scenario value,Unique comparison value,Unique cultural/context value,Unique safety value,What was missing before,What was added,Adequate separate-page justification?,Evidence
https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-for-beginners/,PRIMARY_PILLAR,SN 56.11; SN 45.8,Practice map; tradition diversity; source-versus-interpretation boundary,Three-path newcomer decision map,Three-path newcomer decision map,Buddhism is not one uniform culture or generic wellness,Tradition/translation limits clarified,Existing boundary reviewed,"Strengthen the main beginner study map with doctrine/practice boundaries, a decision path, and clearer tradition/source limits.",Practice map; tradition diversity; source-versus-interpretation boundary,Yes,Three-path newcomer decision map; Buddhism is not one uniform culture or generic wellness.
https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/four-noble-truths/,PRIMARY_PILLAR,SN 56.11,Four truth/task model; worked criticism case; focused practice,Workplace criticism traced through four tasks,Workplace criticism traced through four tasks,Dukkha is not the claim that life is only pain,Existing context retained,Existing boundary reviewed,"Turn the thin card hub into the clear primary owner: define each truth, distinguish pain from added reactivity, explain the four tasks, and add a worked case.",Four truth/task model; worked criticism case; focused practice,Yes,Workplace criticism traced through four tasks; Dukkha is not the claim that life is only pain.
https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/eightfold-path/,PRIMARY_PILLAR,SN 45.8,Threefold training; integrated factors; difficult-reply case,Harsh-reply decision case,Harsh-reply decision case,Right is not a weapon for moral superiority,Existing context retained,Existing boundary reviewed,"Strengthen the primary path owner with threefold training, mutually supporting factors, a worked scenario, and careful meaning of right.",Threefold training; integrated factors; difficult-reply case,Yes,Harsh-reply decision case; Right is not a weapon for moral superiority.
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,https://echobuddha.com/learn/buddhism-for-beginners/,BEGINNER_FOUNDATION,SN 56.11; SN 45.8,Living-tradition scope; teaching/practice/community map; tradition limits,Responding to criticism,Responding to criticism,"Not one uniform culture, mere philosophy, or relaxation system",Tradition/translation limits clarified,Existing boundary reviewed,Clarify Buddhism as a diverse living tradition and practice path without flattening schools or presenting generic wellness.,Living-tradition scope; teaching/practice/community map; tradition limits,Yes,"Responding to criticism; Not one uniform culture, mere philosophy, or relaxation system."
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,PRIMARY_PILLAR,AN 6.63,Intentional action; mixed motives; responsibility without shame,Correction after a harmful reply,Correction after a harmful reply,"Not fate, punishment, or grounds for blaming suffering",Tradition/translation limits clarified,Proportional safety or non-blame boundary strengthened,"Ground karma in intentional action, distinguish it from fate/blame, and clarify what cannot be inferred about another person's suffering.",Intentional action; mixed motives; responsibility without shame,Yes,"Correction after a harmful reply; Not fate, punishment, or grounds for blaming suffering."
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,PRIMARY_PILLAR,Dhammapada 273–289,Conditioned change at multiple scales; grief-safe application,Praise and criticism changing over time,Praise and criticism changing over time,Not nihilism and not an instruction to minimize grief,Tradition/translation limits clarified,Existing boundary reviewed,Explain anicca as insight into conditioned experience rather than a slogan that all loss is easy to accept.,Conditioned change at multiple scales; grief-safe application,Yes,Praise and criticism changing over time; Not nihilism and not an instruction to minimize grief.
https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,PRIMARY_PILLAR,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,"Protect an already substantial ethics page; verify its voluntary-training, consent, intoxicant, repair, and non-shame framing.",No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/three-poisons-buddhism-explained/,https://echobuddha.com/articles/three-poisons-buddhism-explained/,PRIMARY_PILLAR,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,"Protect a distinct broad explainer if its roots, examples, and next steps already satisfy the role.",No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,PRIMARY_PILLAR,Existing sources retained,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Protect the broad community owner if it already distinguishes monastic and wider community usage carefully.,No change; page met assigned quality role.,Yes,Pre-edit spec and human-quality review.
https://echobuddha.com/learn/buddhist-dictionary/metta/,https://echobuddha.com/learn/buddhist-dictionary/metta/,PRIMARY_PILLAR,Snp 1.8,Pali meaning; related brahmavihāra terms; definition/practice boundary,Goodwill with a firm boundary,Goodwill with a firm boundary,"Not forced affection, approval, reconciliation, or access",Tradition/translation limits clarified,Proportional safety or non-blame boundary strengthened,"Strengthen the primary metta meaning owner: Pali context, goodwill rather than sentiment, related terms, ethical boundary, and route to practice.",Pali meaning; related brahmavihāra terms; definition/practice boundary,Yes,"Goodwill with a firm boundary; Not forced affection, approval, reconciliation, or access."
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/learn/buddhism-for-beginners/,BEGINNER_FOUNDATION,Pending merge inventory,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Inventory unique beginner material against the strengthened beginner hub; do not redirect before owner approval and content-preservation confirmation.,No content moved; unique material protected pending review.,HUMAN REVIEW REQUIRED,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/learn/eightfold-path/,PRACTICAL_APPLICATION,Pending merge inventory,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Inventory daily-life examples against the strengthened Eightfold Path owner.,No content moved; unique material protected pending review.,HUMAN REVIEW REQUIRED,Pre-edit spec and human-quality review.
https://echobuddha.com/articles/four-noble-truths-explained-simply/,https://echobuddha.com/learn/four-noble-truths/,BEGINNER_FOUNDATION,Pending merge inventory,Existing assigned-role explanation reviewed,Existing role-specific practice protected,Existing examples protected,No forced comparison added,Existing context retained,Existing boundary reviewed,Inventory the simplified diagnostic framing against the strengthened Four Noble Truths owner.,No content moved; unique material protected pending review.,HUMAN REVIEW REQUIRED,Pre-edit spec and human-quality review.
