URL,File,Object / identifier,Starting commit,Change summary,Reason,Rollback method,Dependencies,Content merge dependency,Risk
https://echobuddha.com/learn/buddhism-for-beginners/,src/pages/learn/buddhism-for-beginners.astro,beginner hub,a1cd457345587670133bfc58af1cafd80d038e6e,Practice map; tradition diversity; source-versus-interpretation boundary,"Strengthen the main beginner study map with doctrine/practice boundaries, a decision path, and clearer tradition/source limits.",Revert the Phase 4 hunk for beginner hub in src/pages/learn/buddhism-for-beginners.astro; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/learn/four-noble-truths/,src/pages/learn/four-noble-truths.astro,four truths hub,a1cd457345587670133bfc58af1cafd80d038e6e,Four truth/task model; worked criticism case; focused practice,"Turn the thin card hub into the clear primary owner: define each truth, distinguish pain from added reactivity, explain the four tasks, and add a worked case.",Revert the Phase 4 hunk for four truths hub in src/pages/learn/four-noble-truths.astro; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/learn/eightfold-path/,src/pages/learn/eightfold-path.astro,eightfold path hub,a1cd457345587670133bfc58af1cafd80d038e6e,Threefold training; integrated factors; difficult-reply case,"Strengthen the primary path owner with threefold training, mutually supporting factors, a worked scenario, and careful meaning of right.",Revert the Phase 4 hunk for eightfold path hub in src/pages/learn/eightfold-path.astro; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,src/data/learn.ts,what-is-buddhism learning object,a1cd457345587670133bfc58af1cafd80d038e6e,Living-tradition scope; teaching/practice/community map; tradition limits,Clarify Buddhism as a diverse living tradition and practice path without flattening schools or presenting generic wellness.,Revert the Phase 4 hunk for what-is-buddhism learning object in src/data/learn.ts; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,src/data/learn.ts,karma learning object,a1cd457345587670133bfc58af1cafd80d038e6e,Intentional action; mixed motives; responsibility without shame,"Ground karma in intentional action, distinguish it from fate/blame, and clarify what cannot be inferred about another person's suffering.",Revert the Phase 4 hunk for karma learning object in src/data/learn.ts; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,src/data/learn.ts,impermanence learning object,a1cd457345587670133bfc58af1cafd80d038e6e,Conditioned change at multiple scales; grief-safe application,Explain anicca as insight into conditioned experience rather than a slogan that all loss is easy to accept.,Revert the Phase 4 hunk for impermanence learning object in src/data/learn.ts; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/learn/buddhist-dictionary/metta/,src/data/learn.ts,metta dictionary object,a1cd457345587670133bfc58af1cafd80d038e6e,Pali meaning; related brahmavihāra terms; definition/practice boundary,"Strengthen the primary metta meaning owner: Pali context, goodwill rather than sentiment, related terms, ethical boundary, and route to practice.",Revert the Phase 4 hunk for metta dictionary object in src/data/learn.ts; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/meditation/breathing-meditation/,src/data/learn.ts,breathing-meditation object,a1cd457345587670133bfc58af1cafd80d038e6e,Anchor selection; five-minute sequence; troubleshooting; alternate anchors,"Differentiate breath awareness by anchor location, knowing long/short breath, non-control, troubleshooting, and alternate anchors.",Revert the Phase 4 hunk for breathing-meditation object in src/data/learn.ts; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/meditation/loving-kindness-meditation/,src/data/learn.ts,loving-kindness-meditation object,a1cd457345587670133bfc58af1cafd80d038e6e,Recipient sequence; honest phrases; boundary and distress adaptations,Differentiate metta as cultivation of goodwill/intention rather than breath relaxation; include sequencing and difficult-person boundaries.,Revert the Phase 4 hunk for loving-kindness-meditation object in src/data/learn.ts; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
https://echobuddha.com/meditation/walking-meditation/,src/data/learn.ts,walking-meditation object,a1cd457345587670133bfc58af1cafd80d038e6e,Safe path; foot anchor; turning; mobility adaptations,"Differentiate walking through pace, contact, turning, gaze, and safe indoor/outdoor adaptation.",Revert the Phase 4 hunk for walking-meditation object in src/data/learn.ts; rebuild and rerun Phase 4 validation.,Rebuild dist; rerun Phase 4 custom validation and full release gate.,None — all proposed merges remain deferred.,Low when reverting only the documented Phase 4 hunk; do not revert unrelated Phase 1–3 work.
