quote_id,detail URL,category,origin type,Phase 2 score,Phase 3 protection,visible query ownership,before indexability,Google canonical,template risk,unique-text ratio,editorial value,attribution state,decision,survivor/destination,redirect,new index state,sitemap action,internal-link action,content migration,confidence,evidence
quote_0206fee6cf946388,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,awareness,ECHOBUDDHA_ORIGINAL,43,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,true,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/,HIGH_INDEXABLE_TEMPLATE_RISK,0.6977,"Authored reflection retained for users, but Phase 2 found weak independent purpose and dominant template dependence.",ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",REMOVE_FROM_SITEMAP,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 43; user URL retained; category intent preserved
quote_6c2b84b0281fb989,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,awareness,ECHOBUDDHA_ORIGINAL,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,false,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/,MEDIUM_NOINDEX_UI_REUSE,0.3244,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.,ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",PRESERVE_EXCLUDED,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 NOT_APPLICABLE; user URL retained; category intent preserved
quote_48589b9bdf609245,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,awareness,ECHOBUDDHA_ORIGINAL,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,false,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/,MEDIUM_NOINDEX_UI_REUSE,0.3826,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.,ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",PRESERVE_EXCLUDED,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 NOT_APPLICABLE; user URL retained; category intent preserved
quote_9cd65d0c2ed6d4ba,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,awareness,ECHOBUDDHA_ORIGINAL,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,false,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,MEDIUM_NOINDEX_UI_REUSE,0.3485,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.,ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",PRESERVE_EXCLUDED,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 NOT_APPLICABLE; user URL retained; category intent preserved
quote_e187e7ae2c68a7d9,https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,awareness,ECHOBUDDHA_ORIGINAL,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,false,https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,MEDIUM_NOINDEX_UI_REUSE,0.37,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.,ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",PRESERVE_EXCLUDED,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 NOT_APPLICABLE; user URL retained; category intent preserved
quote_38abd185f531d0b3,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,awareness,ECHOBUDDHA_ORIGINAL,43,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,true,https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/,HIGH_INDEXABLE_TEMPLATE_RISK,0.6878,"Authored reflection retained for users, but Phase 2 found weak independent purpose and dominant template dependence.",ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",REMOVE_FROM_SITEMAP,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 43; user URL retained; category intent preserved
quote_e917e01d71b95002,https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,awareness,ECHOBUDDHA_ORIGINAL,NOT_APPLICABLE,SEO_P2_EMERGING,NO_VISIBLE_QUERY_ROW,false,https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/,MEDIUM_NOINDEX_UI_REUSE,0.3968,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.,ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",PRESERVE_EXCLUDED,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,MEDIUM_HIGH,SEO_P2_EMERGING; NO_VISIBLE_QUERY_ROW; Phase 2 NOT_APPLICABLE; user URL retained; category intent preserved
quote_74fa515452d707a9,https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,awareness,ECHOBUDDHA_ORIGINAL,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,false,https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/,MEDIUM_NOINDEX_UI_REUSE,0.3464,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.,ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",PRESERVE_EXCLUDED,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 NOT_APPLICABLE; user URL retained; category intent preserved
quote_ef2c54e3174a5e7e,https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,awareness,ECHOBUDDHA_ORIGINAL,NOT_APPLICABLE,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,false,https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,MEDIUM_NOINDEX_UI_REUSE,0.3591,Concise generated permalink retained for sharing and browsing; category owns the Search collection intent.,ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",PRESERVE_EXCLUDED,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 NOT_APPLICABLE; user URL retained; category intent preserved
quote_7b21afa092b755c0,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,awareness,ECHOBUDDHA_ORIGINAL,43,SEO_P3_LIMITED,NO_VISIBLE_QUERY_ROW,true,https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/,HIGH_INDEXABLE_TEMPLATE_RISK,0.6964,"Authored reflection retained for users, but Phase 2 found weak independent purpose and dominant template dependence.",ORIGINAL_ECHOBUDDHA_CLEAR,NOINDEX_USER_PERMALINK,https://echobuddha.com/quotes/awareness/,NONE,"noindex, follow",REMOVE_FROM_SITEMAP,KEEP_FOR_USER_BROWSING_AND_SHARING,NOT_REQUIRED_UNDERLYING_QUOTE_AND_PERMALINK_RETAINED,HIGH,SEO_P3_LIMITED; NO_VISIBLE_QUERY_ROW; Phase 2 43; user URL retained; category intent preserved
