cluster,href,role,primary,action
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,topic hub,yes,Keep as primary route
Beginner Buddhism,https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,cornerstone guide,no,Differentiate as full article
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,topic hub,yes,Keep as primary route
Four Noble Truths,https://echobuddha.com/articles/four-noble-truths-explained/,cornerstone guide,no,Keep and source-review
Four Noble Truths,https://echobuddha.com/articles/four-noble-truths-explained-simply/,beginner introduction,no,Keep differentiated as simple intro
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,topic hub,yes,Keep as primary route
Noble Eightfold Path,https://echobuddha.com/articles/eightfold-path-explained/,cornerstone guide,no,Keep and source-review
Noble Eightfold Path,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,practical application,no,Keep as applied daily-life article
Noble Eightfold Path,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,practical application,no,Keep as practice checklist article
Noble Eightfold Path,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,learning reference,no,Keep as lesson page
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,learning reference,yes,Keep as primary reference
Impermanence,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,source-study page,no,Keep as teaching-focused article
Impermanence,https://echobuddha.com/articles/impermanence-in-buddhism/,practical application,no,Keep as applied reflection on accepting change
Impermanence,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,supporting article,no,Keep as letting-go application
Loving-kindness and Metta,https://echobuddha.com/meditation/loving-kindness-meditation/,meditation instruction,yes,Keep as practice route
Loving-kindness and Metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,dictionary definition,no,Keep as term reference
Loving-kindness and Metta,https://echobuddha.com/learn/buddhist-dictionary/karuna/,dictionary definition,no,Keep as compassion term reference
Loving-kindness and Metta,https://echobuddha.com/articles/loving-kindness-meditation-guide/,practical application,no,Keep as guided practice explainer
Loving-kindness and Metta,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,beginner introduction,no,Keep as gentle beginner entry
Loving-kindness and Metta,https://echobuddha.com/articles/metta-meditation-script/,meditation instruction,no,Keep as script support page
Loving-kindness and Metta,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,beginner introduction,no,Keep as compassion beginner guide
Loving-kindness and Metta,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,practical application,no,Keep as daily-discipline article
Mindfulness and Meditation,https://echobuddha.com/meditation/,topic hub,yes,Keep as primary route
Mindfulness and Meditation,https://echobuddha.com/articles/how-to-meditate-for-beginners/,beginner introduction,no,Keep as first-session guide
Mindfulness and Meditation,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,meditation instruction,no,Keep as breath-practice guide
Mindfulness and Meditation,https://echobuddha.com/articles/mindfulness-vs-meditation/,beginner introduction,no,Keep as comparison-intent article
Mindfulness and Meditation,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,learning reference,no,Keep as terminology lesson
Mindfulness and Meditation,https://echobuddha.com/meditation/breathing-meditation/,meditation instruction,no,Keep as concise breathing instruction
Mindfulness and Meditation,https://echobuddha.com/meditation/meditation-for-beginners/,meditation instruction,no,Keep as beginner practice route
Right Speech,https://echobuddha.com/articles/right-speech-buddhism/,practical application,yes,Keep as practical guide
Right Speech,https://echobuddha.com/learn/sutta-for-daily-life/right-speech-in-daily-life/,source-study page,no,Keep as sutta-context study
Right Livelihood,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,learning reference,yes,Keep as source-aware primary route
Right Livelihood,https://echobuddha.com/articles/right-livelihood-modern-life/,practical application,no,Keep as modern applied article
Daily Reflections,https://echobuddha.com/daily-reflections/today/,daily reflection utility,no,Keep noindex utility page
