URL,resource_type,route,family,indexable,monetization_state,reason,allowed_zone,current_rendering,account_approval_gate,serving_gate
https://echobuddha.com/,HTML,/,HOME,YES,NEVER_MONETIZE,FAMILY_EXCLUDED_OR_NON_SUBSTANTIVE_SCREEN,NONE,OFF,FALSE,FALSE
https://echobuddha.com/404.html,HTML,/404.html,ERROR,NO,NEVER_MONETIZE,NOINDEX_OR_USER_SPECIFIC_ROUTE,NONE,OFF,FALSE,FALSE
https://echobuddha.com/about/,HTML,/about/,TRUST,YES,NEVER_MONETIZE,FAMILY_EXCLUDED_OR_NON_SUBSTANTIVE_SCREEN,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/,HTML,/articles/,ARTICLE_NAVIGATION,YES,NEVER_MONETIZE,FAMILY_EXCLUDED_OR_NON_SUBSTANTIVE_SCREEN,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,HTML,/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,YES,HOLD_MANUAL_REVIEW,INDEXABLE_SUBSTANTIVE_ROUTE_NOT_EXPLICITLY_APPROVED,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,HTML,/articles/buddhism-for-beginners-simple-guide/,ARTICLE,YES,HOLD_MANUAL_REVIEW,INDEXABLE_SUBSTANTIVE_ROUTE_NOT_EXPLICITLY_APPROVED,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/buddhist-approach-to-anger/,HTML,/articles/buddhist-approach-to-anger/,ARTICLE,YES,HOLD_MANUAL_REVIEW,INDEXABLE_SUBSTANTIVE_ROUTE_NOT_EXPLICITLY_APPROVED,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/buddhist-gratitude-practice/,HTML,/articles/buddhist-gratitude-practice/,ARTICLE,YES,HOLD_MANUAL_REVIEW,INDEXABLE_SUBSTANTIVE_ROUTE_NOT_EXPLICITLY_APPROVED,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,HTML,/articles/buddhist-teachings-on-forgiveness/,ARTICLE,YES,HOLD_MANUAL_REVIEW,INDEXABLE_SUBSTANTIVE_ROUTE_NOT_EXPLICITLY_APPROVED,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,HTML,/articles/buddhist-teachings-on-impermanence/,ARTICLE,YES,HOLD_MANUAL_REVIEW,INDEXABLE_SUBSTANTIVE_ROUTE_NOT_EXPLICITLY_APPROVED,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,HTML,/articles/buddhist-wisdom-for-overthinking/,ARTICLE,YES,ELIGIBLE_CANDIDATE,EXPLICIT_PHASE_6_MATERIALLY_UPGRADED_ARTICLE,ARTICLE_AFTER_MEANINGFUL_SECTION,OFF,FALSE,FALSE
https://echobuddha.com/articles/category/buddhist-wisdom/,HTML,/articles/category/buddhist-wisdom/,ARTICLE_NAVIGATION,YES,NEVER_MONETIZE,FAMILY_EXCLUDED_OR_NON_SUBSTANTIVE_SCREEN,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/category/meditation/,HTML,/articles/category/meditation/,ARTICLE_NAVIGATION,YES,NEVER_MONETIZE,FAMILY_EXCLUDED_OR_NON_SUBSTANTIVE_SCREEN,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/category/mindfulness/,HTML,/articles/category/mindfulness/,ARTICLE_NAVIGATION,YES,NEVER_MONETIZE,FAMILY_EXCLUDED_OR_NON_SUBSTANTIVE_SCREEN,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/category/practice/,HTML,/articles/category/practice/,ARTICLE_NAVIGATION,YES,NEVER_MONETIZE,FAMILY_EXCLUDED_OR_NON_SUBSTANTIVE_SCREEN,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/category/reflection/,HTML,/articles/category/reflection/,ARTICLE_NAVIGATION,YES,NEVER_MONETIZE,FAMILY_EXCLUDED_OR_NON_SUBSTANTIVE_SCREEN,NONE,OFF,FALSE,FALSE
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,HTML,/articles/compassion-as-a-daily-discipline/,ARTICLE,YES,HOLD_MANUAL_REVIEW,INDEXABLE_SUBSTANTIVE_ROUTE_NOT_EXPLICITLY_APPROVED,NONE,OFF,FALSE,FALSE
