URL,reason,Search equity,visible query evidence,Google canonical,user purpose,decision confidence,implementation
https://echobuddha.com/404.html,Non-indexable technical/user surface preserved,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,NOT_REPORTED_BY_URL_INSPECTION,educational explanation,CONSERVATIVE,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/anger-as-a-signal/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 1 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/anger-as-a-signal/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/begin-again-without-shame/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 3 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/begin-again-without-shame/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/compassion-begins-nearby/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/enough-for-this-moment/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/enough-for-this-moment/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/evening-release/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/evening-release/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/family-patience/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 1 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/family-patience/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/forgiveness-without-approval/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/gratitude-for-change/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 2 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/gratitude-for-change/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/gratitude-notices-enough/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 1 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/kindness-with-boundaries/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/let-the-feeling-pass/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/letting-go-keeps-care/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
https://echobuddha.com/daily-reflections/listen-before-answering/,Daily reflection detail retained for users under existing noindex policy,0 clicks / 0 impressions,NO_VISIBLE_QUERY_DATA,https://echobuddha.com/daily-reflections/listen-before-answering/,reflection,HIGH,EXISTING_STATE_PRESERVED_NO_NEW_NOINDEX
