URL,File,Content identifier,Pre-edit role,Post-edit role,Role preserved?,Introduction changed?,Headings changed?,Section order changed?,Transitions changed?,Practice changed?,Examples changed?,FAQ changed?,Conclusion changed?,Sources changed?,Safety changed?,Internal links changed?,Title changed?,H1 changed?,Description changed?,Index state changed?,Canonical changed?,URL changed?,Template risk before,Template risk after,Phase 4 quality preserved?,Validation,Rollback
https://echobuddha.com/daily-reflections/anger-as-a-signal/,src/pages/daily-reflections/[slug].astro,/daily-reflections/anger-as-a-signal/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,18,14,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/begin-again-without-shame/,src/pages/daily-reflections/[slug].astro,/daily-reflections/begin-again-without-shame/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,29,20,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,src/pages/daily-reflections/[slug].astro,/daily-reflections/compassion-begins-nearby/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,32,28,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/enough-for-this-moment/,src/pages/daily-reflections/[slug].astro,/daily-reflections/enough-for-this-moment/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,28,19,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/evening-release/,src/pages/daily-reflections/[slug].astro,/daily-reflections/evening-release/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,18,9,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/family-patience/,src/pages/daily-reflections/[slug].astro,/daily-reflections/family-patience/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,32,28,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,src/pages/daily-reflections/[slug].astro,/daily-reflections/forgiveness-without-approval/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,37,33,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/gratitude-for-change/,src/pages/daily-reflections/[slug].astro,/daily-reflections/gratitude-for-change/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,29,21,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,src/pages/daily-reflections/[slug].astro,/daily-reflections/gratitude-notices-enough/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,24,20,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,src/pages/daily-reflections/[slug].astro,/daily-reflections/impermanence-softens-clinging/,RECURRING_USER_CONTENT,RECURRING_USER_CONTENT,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,26,22,Yes,PASS — build and dual-gate review,Restore src/pages/daily-reflections/[slug].astro from 4bbeef7a85d071752f9c1d0ec23e0ce1ff348505
