URL,Materially edited?,JSON-LD blocks,FAQ schema present?,Visible FAQ heading present?,Schema changed by Phase 5?,Validation
https://echobuddha.com/404.html,No,0,No,No,No,PASS
https://echobuddha.com/about/,No,1,No,No,No,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,No,1,No,No,No,PASS
https://echobuddha.com/articles/category/meditation/,No,1,No,No,No,PASS
https://echobuddha.com/articles/category/mindfulness/,No,1,No,No,No,PASS
https://echobuddha.com/articles/category/practice/,No,1,No,No,No,PASS
https://echobuddha.com/articles/category/reflection/,No,1,No,No,No,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/eightfold-path-explained/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/how-to-practice-non-attachment/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/,No,1,No,No,No,PASS
https://echobuddha.com/articles/letting-go-without-giving-up/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/metta-meditation-script/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/right-speech-buddhism/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/right-speech-examples/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/three-ways-to-practice-patience/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/walking-meditation-step-by-step/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/what-is-karma-in-buddhism/,No,1,Yes,No,No,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,No,1,Yes,No,No,PASS
https://echobuddha.com/authors/echo-buddha-editorial/,No,1,No,No,No,PASS
https://echobuddha.com/buddhist-sources-and-citations/,No,1,No,No,No,PASS
https://echobuddha.com/contact/,No,1,No,No,No,PASS
https://echobuddha.com/corrections/,No,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/evening-release/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/family-patience/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/,No,1,Yes,No,No,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/mindful-work/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/morning-intention/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,Yes,1,No,No,No,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,Yes,1,No,No,No,PASS
