URL,Route,Status,Final URL,Title/H1/robots/canonical match,Rendered text matches,Structured data matches,Internal links match,Full parity,Production robots,Expected robots,Production canonical,Expected canonical,Elapsed ms,Error
https://echobuddha.com/404.html,/404.html,200,https://echobuddha.com/404,Yes,Yes,Yes,Yes,Yes,"noindex, follow","noindex, follow",,,326,
https://echobuddha.com/about/,/about/,200,https://echobuddha.com/about/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/about/,https://echobuddha.com/about/,201,
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,/articles/beginning-a-daily-mindfulness-practice/,200,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,246,
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,/articles/buddhism-for-beginners-simple-guide/,200,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,561,
https://echobuddha.com/articles/buddhist-approach-to-anger/,/articles/buddhist-approach-to-anger/,200,https://echobuddha.com/articles/buddhist-approach-to-anger/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-approach-to-anger/,https://echobuddha.com/articles/buddhist-approach-to-anger/,415,
https://echobuddha.com/articles/buddhist-gratitude-practice/,/articles/buddhist-gratitude-practice/,200,https://echobuddha.com/articles/buddhist-gratitude-practice/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-gratitude-practice/,https://echobuddha.com/articles/buddhist-gratitude-practice/,212,
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,/articles/buddhist-teachings-on-forgiveness/,200,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,237,
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,/articles/buddhist-teachings-on-impermanence/,200,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,203,
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,/articles/buddhist-wisdom-for-overthinking/,200,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,198,
https://echobuddha.com/articles/category/buddhist-wisdom/,/articles/category/buddhist-wisdom/,200,https://echobuddha.com/articles/category/buddhist-wisdom/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/buddhist-wisdom/,https://echobuddha.com/articles/category/buddhist-wisdom/,248,
https://echobuddha.com/articles/category/meditation/,/articles/category/meditation/,200,https://echobuddha.com/articles/category/meditation/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/meditation/,https://echobuddha.com/articles/category/meditation/,240,
https://echobuddha.com/articles/category/mindfulness/,/articles/category/mindfulness/,200,https://echobuddha.com/articles/category/mindfulness/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/mindfulness/,https://echobuddha.com/articles/category/mindfulness/,199,
https://echobuddha.com/articles/category/practice/,/articles/category/practice/,200,https://echobuddha.com/articles/category/practice/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/practice/,https://echobuddha.com/articles/category/practice/,84,
https://echobuddha.com/articles/category/reflection/,/articles/category/reflection/,200,https://echobuddha.com/articles/category/reflection/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/category/reflection/,https://echobuddha.com/articles/category/reflection/,79,
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,/articles/compassion-as-a-daily-discipline/,200,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/compassion-as-a-daily-discipline/,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,102,
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,/articles/compassion-in-buddhism-beginner-guide/,200,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,285,
https://echobuddha.com/articles/compassion-with-boundaries/,/articles/compassion-with-boundaries/,200,https://echobuddha.com/articles/compassion-with-boundaries/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/compassion-with-boundaries/,https://echobuddha.com/articles/compassion-with-boundaries/,160,
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,/articles/creating-a-peaceful-corner-at-home/,200,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,80,
https://echobuddha.com/articles/dhamma-vs-dharma/,/articles/dhamma-vs-dharma/,200,https://echobuddha.com/articles/dhamma-vs-dharma/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/dhamma-vs-dharma/,https://echobuddha.com/articles/dhamma-vs-dharma/,86,
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,/articles/dhammapada-reflection-trained-mind/,200,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,78,
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,/articles/dhammapada-reflection-what-we-think/,200,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,76,
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,/articles/dhammapada-verse-1-meaning/,200,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/dhammapada-verse-1-meaning/,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,101,
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,/articles/eightfold-path-explained-daily-life/,200,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/eightfold-path-explained-daily-life/,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,99,
https://echobuddha.com/articles/eightfold-path-explained/,/articles/eightfold-path-explained/,200,https://echobuddha.com/articles/eightfold-path-explained/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/eightfold-path-explained/,https://echobuddha.com/articles/eightfold-path-explained/,80,
https://echobuddha.com/articles/equanimity-in-buddhism/,/articles/equanimity-in-buddhism/,200,https://echobuddha.com/articles/equanimity-in-buddhism/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/equanimity-in-buddhism/,https://echobuddha.com/articles/equanimity-in-buddhism/,99,
https://echobuddha.com/articles/first-week-buddhist-practice/,/articles/first-week-buddhist-practice/,200,https://echobuddha.com/articles/first-week-buddhist-practice/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/first-week-buddhist-practice/,https://echobuddha.com/articles/first-week-buddhist-practice/,80,
https://echobuddha.com/articles/five-precepts-in-daily-life/,/articles/five-precepts-in-daily-life/,200,https://echobuddha.com/articles/five-precepts-in-daily-life/,Yes,Yes,Yes,Yes,Yes,"index, follow (implicit)","index, follow (implicit)",https://echobuddha.com/articles/five-precepts-in-daily-life/,https://echobuddha.com/articles/five-precepts-in-daily-life/,96,
