URL,Phase 3 reconciled index state,Pre-edit actual state,Post-edit state,Sitemap state,Canonical state,Unexpected change?,Reason,Validation
https://echobuddha.com/404.html,"noindex, follow","noindex, follow","noindex, follow",out of sitemap,,No,No Phase 5 page change,PASS
https://echobuddha.com/about/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/about/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/buddhist-approach-to-anger/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/buddhist-gratitude-practice/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/category/buddhist-wisdom/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/category/meditation/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/category/meditation/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/category/mindfulness/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/category/mindfulness/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/category/practice/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/category/practice/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/category/reflection/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/category/reflection/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/compassion-as-a-daily-discipline/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/compassion-with-boundaries/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/dhamma-vs-dharma/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/dhammapada-verse-1-meaning/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/eightfold-path-explained-daily-life/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/eightfold-path-explained/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/eightfold-path-explained/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/equanimity-in-buddhism/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/first-week-buddhist-practice/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/five-precepts-in-daily-life/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/four-noble-truths-explained-simply/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/four-noble-truths-explained/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/how-to-meditate-for-beginners/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/how-to-practice-non-attachment/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/how-to-practice-non-attachment/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/impermanence-in-buddhism/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/letting-go-without-giving-up/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/letting-go-without-giving-up/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/loving-kindness-meditation-beginners/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/loving-kindness-meditation-guide/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/metta-meditation-script/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/metta-meditation-script/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/mindful-email-and-texting/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/mindful-listening-in-everyday-life/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/mindfulness-for-better-sleep/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/mindfulness-morning-routine/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/mindfulness-vs-meditation/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/non-attachment-in-relationships/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/right-livelihood-modern-life/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/right-speech-buddhism/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/right-speech-buddhism/,No,No Phase 5 page change,PASS
https://echobuddha.com/articles/right-speech-examples/,indexable,indexable,indexable,in sitemap,https://echobuddha.com/articles/right-speech-examples/,No,No Phase 5 page change,PASS
