URL,Internal links checked,Broken internal links,Broken targets,Related/next-step links changed?,Validation
https://echobuddha.com/daily-reflections/anger-as-a-signal/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/evening-release/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/family-patience/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/mindful-work/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/morning-intention/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,22,0,,No,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,22,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/anatta/,26,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/anicca/,26,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/compassion/,24,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/dhamma/,28,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/dukkha/,26,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/karma/,25,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/karuna/,24,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/metta/,25,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,23,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/nirvana/,25,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,22,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sangha/,25,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sati/,25,0,,No,PASS
https://echobuddha.com/learn/buddhist-dictionary/sutta/,24,0,,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,24,0,,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,24,0,,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,24,0,,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,22,0,,No,PASS
https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,24,0,,No,PASS
