URL,Page family,Topic cluster,Page role,Primary owner,Current index state,Phase 4 quality state,Repeated introduction risk,Heading-sequence risk,Transition risk,Practice-scaffold risk,FAQ risk,Conclusion risk,Portable example risk,Cross-family structural risk,Generic filler risk,Protected repetition present?,Total template-risk score,Risk classification,Validation,Human review required?,Evidence,Recommended action
https://echobuddha.com/404.html,error utility,error utility,PREEXISTING_NOINDEX_OR_ERROR_ROLE,N/A,"noindex, follow",NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,0,0,0,0,0,0,0,0,0,Yes,0,LOW,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 0; transition hits 0; practice terms 0; closest cross-family N/A 0.0%,Protect; no edit required
https://echobuddha.com/about/,trust/policy,Trust / Policy,TRUST_POLICY,https://echobuddha.com/about/,indexable,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,0,0,0,0,0,0,0,0,0,Yes,0,LOW,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 0; practice terms 0; closest cross-family N/A 0.0%,Protect; no edit required
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,article,Mindfulness,PRACTICAL_APPLICATION,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,indexable,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,0,0,3,10,10,6,2,2,2,Yes,35,MODERATE,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 12; practice terms 7; closest cross-family https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/ 16.1%,Review only if pattern is substantively portable
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,article,Beginner Buddhism,BEGINNER_FOUNDATION,https://echobuddha.com/learn/buddhism-for-beginners/,indexable,OWNER_EDITORIAL_REVIEW_HOLD; CURRENT PAGE PROTECTED,0,0,2,12,10,0,2,2,1,Yes,29,MODERATE,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 8; practice terms 5; closest cross-family https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/ 15.2%,Review only if pattern is substantively portable
https://echobuddha.com/articles/buddhist-approach-to-anger/,article,Anger,PRIMARY_PILLAR,https://echobuddha.com/articles/buddhist-approach-to-anger/,indexable,REMEDIATED_VALIDATED,0,0,3,12,10,6,2,1,0,Yes,34,MODERATE,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 15; practice terms 6; closest cross-family https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/ 13.9%,Review only if pattern is substantively portable
https://echobuddha.com/articles/buddhist-gratitude-practice/,article,Gratitude,PRACTICAL_APPLICATION,https://echobuddha.com/articles/buddhist-gratitude-practice/,indexable,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,0,0,1,3,10,0,0,2,0,Yes,16,LOW,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 4; practice terms 4; closest cross-family https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/ 19.2%,Protect; no edit required
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,article,Forgiveness,PRIMARY_PILLAR,https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,indexable,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,0,0,2,12,10,0,0,2,0,Yes,26,MODERATE,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 7; practice terms 6; closest cross-family https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/ 15.6%,Review only if pattern is substantively portable
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,article,Impermanence,SUPPORTING_EXPLANATION,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,indexable,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,0,0,2,12,10,0,0,2,3,Yes,29,MODERATE,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 7; practice terms 5; closest cross-family https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/ 17.6%,Review only if pattern is substantively portable
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,article,Anxiety / Overthinking,SCENARIO_GUIDE,https://echobuddha.com/articles/how-to-meditate-for-anxiety/,indexable,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,0,0,2,12,10,6,0,2,1,Yes,33,MODERATE,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 7; practice terms 6; closest cross-family https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/ 16.1%,Review only if pattern is substantively portable
https://echobuddha.com/articles/category/buddhist-wisdom/,article category,Article Discovery,CATEGORY,https://echobuddha.com/articles/,indexable,NOT_SELECTED_FOR_PHASE4_PRIORITY_QUEUE,0,0,1,3,0,0,0,4,1,No,9,LOW,PRE_EDIT_BASELINE_CAPTURED,No,intro cluster 1; heading cluster 1; transition hits 3; practice terms 1; closest cross-family https://echobuddha.com/articles/ 35.7%,Protect; no edit required
