URL,Baseline safety status,Safety language present where required?,Safety wording changed?,Stop/adapt guidance preserved?,Professional-support boundary preserved?,Relationship/abuse boundary preserved?,Post-edit status,Validation
https://echobuddha.com/daily-reflections/anger-as-a-signal/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/evening-release/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/family-patience/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/mindful-work/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
https://echobuddha.com/daily-reflections/morning-intention/,NO_CRITICAL_ISSUE,Yes,No,Yes / where applicable,Yes / where applicable,Yes / where applicable,NO_CRITICAL_ISSUE,PASS
