Role,URL,Desktop direct browser inspection,Mobile evidence,Mobile family result,Heading hierarchy,Spacing,Callouts/source notes/related links,Broken rendering,Result
Homepage,https://echobuddha.com/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,DIRECT LIGHTHOUSE MOBILE,PASS,PASS,PASS,PASS where present,None observed,PASS
Start Here,https://echobuddha.com/start-here/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /,PASS,PASS,PASS,PASS where present,None observed,PASS
Buddhism for Beginners,https://echobuddha.com/learn/buddhism-for-beginners/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /learn/buddhism-101/what-is-mindfulness/,PASS,PASS,PASS,PASS where present,None observed,PASS
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /learn/buddhism-101/what-is-mindfulness/,PASS,PASS,PASS,PASS where present,None observed,PASS
Eightfold Path,https://echobuddha.com/learn/eightfold-path/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /learn/buddhism-101/what-is-mindfulness/,PASS,PASS,PASS,PASS where present,None observed,PASS
High-risk support article,https://echobuddha.com/articles/mindfulness-of-breathing-guide/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /articles/four-noble-truths-explained-simply/,PASS,PASS,PASS,PASS where present,None observed,PASS
Meditation guide,https://echobuddha.com/meditation/meditation-for-beginners/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /meditation/breathing-meditation/,PASS,PASS,PASS,PASS where present,None observed,PASS
Walking meditation,https://echobuddha.com/meditation/walking-meditation/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /meditation/breathing-meditation/,PASS,PASS,PASS,PASS where present,None observed,PASS
Metta practice,https://echobuddha.com/meditation/loving-kindness-meditation/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /meditation/breathing-meditation/,PASS,PASS,PASS,PASS where present,None observed,PASS
Daily-life article,https://echobuddha.com/articles/right-speech-examples/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /articles/four-noble-truths-explained-simply/,PASS,PASS,PASS,PASS where present,None observed,PASS
Dictionary entry,https://echobuddha.com/learn/buddhist-dictionary/anicca/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /learn/buddhism-101/what-is-mindfulness/,PASS,PASS,PASS,PASS where present,None observed,PASS
Sutta study,https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /learn/buddhism-101/what-is-mindfulness/,PASS,PASS,PASS,PASS where present,None observed,PASS
Dhammapada study,https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /learn/buddhism-101/what-is-mindfulness/,PASS,PASS,PASS,PASS where present,None observed,PASS
Quote hub,https://echobuddha.com/quotes/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /quotes/mindfulness/,PASS,PASS,PASS,PASS where present,None observed,PASS
Quote story,https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,DIRECT LIGHTHOUSE MOBILE,PASS,PASS,PASS,PASS where present,None observed,PASS
Daily reflection,https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /daily-reflections/one-honest-breath/,PASS,PASS,PASS,PASS where present,None observed,PASS
Learn hub,https://echobuddha.com/learn/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /learn/buddhism-101/what-is-mindfulness/,PASS,PASS,PASS,PASS where present,None observed,PASS
Articles hub,https://echobuddha.com/articles/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /articles/four-noble-truths-explained-simply/,PASS,PASS,PASS,PASS where present,None observed,PASS
Search,https://echobuddha.com/search/,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,DIRECT LIGHTHOUSE MOBILE,PASS,PASS,PASS,PASS where present,None observed,PASS
404,https://echobuddha.com/404.html,PASS — H1/main/heading hierarchy/overflow/empty blocks/images/link labels,SHARED RESPONSIVE FAMILY REPRESENTATIVE: /,PASS,PASS,PASS,PASS where present,None observed,PASS
