URL,Phase 2/0–4 role,Primary owner,Why this page exists,This page does not own,Pre-edit role alignment,Post-edit role alignment,Ownership drift?,Correction required?,Evidence
https://echobuddha.com/daily-reflections/anger-as-a-signal/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/begin-again-without-shame/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/enough-for-this-moment/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/evening-release/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/family-patience/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/gratitude-for-change/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/listen-before-answering/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,RECURRING_USER_CONTENT,https://echobuddha.com/daily-reflections/,"This page exists to serve recurring user within Daily Reflections through returning-reader cadence, a short reflection prompt, and a bounded daily practice.",This page does not own the broad Daily Reflections explanation; that belongs to /daily-reflections/.,PASS,PASS,No,No,"Title, H1, topic scope, role note, and owner relationships unchanged."
