URL,FAQ headings,FAQ schema,Schema mismatch,Risk,Action
https://echobuddha.com/404.html,,No,No,0,KEEP
https://echobuddha.com/about/,,No,No,0,KEEP
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/buddhist-approach-to-anger/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/buddhist-gratitude-practice/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/category/buddhist-wisdom/,,No,No,0,KEEP
https://echobuddha.com/articles/category/meditation/,,No,No,0,KEEP
https://echobuddha.com/articles/category/mindfulness/,,No,No,0,KEEP
https://echobuddha.com/articles/category/practice/,,No,No,0,KEEP
https://echobuddha.com/articles/category/reflection/,,No,No,0,KEEP
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/compassion-with-boundaries/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/dhamma-vs-dharma/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/eightfold-path-explained/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/equanimity-in-buddhism/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/first-week-buddhist-practice/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/five-precepts-in-daily-life/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/four-noble-truths-explained-simply/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/four-noble-truths-explained/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/how-to-meditate-for-beginners/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/how-to-practice-non-attachment/,,Yes,Yes,10,FIX
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,,Yes,Yes,10,FIX
