formFactor,label,path,performanceScore,accessibilityScore,fcpMs,lcpMs,cls,tbtMs,speedIndexMs,totalByteWeight
mobile,Homepage,/,0.6,1,4446.98625,7272.721500000001,0,86.5,7257.153947997736,517159
mobile,Cornerstone article,/articles/four-noble-truths-explained-simply/,0.61,1,4501.451000000001,7110.673000000001,0,37.5,7238.187537987256,515518
mobile,Learning page,/learn/buddhism-101/what-is-mindfulness/,0.61,1,4459.299,7182.301999999999,0,60,7204.208674007714,507394
mobile,Quote story,/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,0.98,1,1922.1730000000002,2072.1730000000002,0,36,2198.063581989479,228435
mobile,Daily reflection,/daily-reflections/one-honest-breath/,0.98,1,1847.18,1997.1800000000003,0,33.5,2148.056419976652,225381
mobile,Meditation page,/meditation/breathing-meditation/,0.83,1,1913.297,4137.529,0,48,4098.739448146804,226843
mobile,Topic hub,/quotes/mindfulness/,0.97,1,1848.4120000000003,1998.4120000000003,0,96.83250000000021,2550.195724031496,228226
mobile,Search,/search/,0.83,1,1935.165,4072.133,0,110,4054.58592801374,224136
mobile,Tools,/tools/,0.8,1,2115,4386.701,0,103,4116.680461985707,240401
mobile,Privacy,/privacy-policy/,0.98,1,1835.864,1985.864,0,52,2734.693053982831,225163
desktop,Homepage,/,0.98,1,752.2640000000001,1030.871,0.0003632681237862187,0,848.2924561660698,790293
desktop,Cornerstone article,/articles/four-noble-truths-explained-simply/,1,1,601.898,680.068,0.0003632681237862187,0,614.1426610817008,515526
desktop,Learning page,/learn/buddhism-101/what-is-mindfulness/,0.99,1,604.0740000000001,796.557,0.0003632681237862187,0,624.8598316382325,507476
desktop,Quote story,/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/,1,1,560.4580000000001,698.7510000000001,0.0003632681237862187,0,560.4580000000001,316280
desktop,Daily reflection,/daily-reflections/one-honest-breath/,0.99,1,612.5240000000001,812.2920000000001,0.0003632681237862187,0,612.5240000000001,225339
desktop,Meditation page,/meditation/breathing-meditation/,1,1,588.4300000000001,668.4300000000001,0.0003632681237862187,0,726.979491900767,226769
desktop,Topic hub,/quotes/mindfulness/,1,1,577.987,649.2339999999999,0.0003632681237862187,0,577.987,358552
desktop,Search,/search/,1,1,595.182,686.421,0.0003632681237862187,0,595.182,224181
desktop,Tools,/tools/,0.99,1,677.942,756.134,0.0003632681237862187,0,677.942,240510
desktop,Privacy,/privacy-policy/,1,1,561.9159999999999,659.8549999999999,0.0003632681237862187,0,561.9159999999999,224326
