"Page family","Search-visible URLs","Page-tab clicks","Page-tab impressions","Page-tab CTR","Weighted position","Share of page-tab impressions","Interpretation","Property-total warning"
"Homepage","1","4","46","8.70%","5.35","3.04%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Articles","33","6","693","0.87%","34.49","45.77%","Largest deep-content visibility engine in supplied page rows","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Quote Categories","10","4","306","1.31%","26.94","20.21%","Category demand is distinct from individual story demand","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Sutta Study","3","1","27","3.70%","13.07","1.78%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Learn","5","0","129","0.00%","40.42","8.52%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Dictionary","4","0","108","0.00%","46.15","7.13%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Buddhism 101","9","0","63","0.00%","32.22","4.16%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Trust / Policy","11","0","31","0.00%","14.42","2.05%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Daily Reflections","10","0","27","0.00%","23.96","1.78%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Quote Stories","20","0","65","0.00%","24.41","4.29%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Other","2","0","9","0.00%","20.55","0.59%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Meditation","4","0","7","0.00%","25.57","0.46%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
"Dhammapada","2","0","3","0.00%","21","0.20%","Directional family comparison","Page-tab aggregates are not property totals and may exceed Chart impressions"
