"Topic","Primary owner URL","Current index state","Clicks","Impressions","CTR","Position","Prior-period impressions","Trend","Visible query count","Visible query intent alignment","Support pages ranking?","Cannibalization risk","GSC internal links","Last crawl","Deployment relation","Maturity","Current assessment","Recommended action"
"Beginner Buddhism","https://echobuddha.com/learn/buddhism-for-beginners/","indexable","0","107","0%","44.42","0","SEARCH-VISIBLE","10","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","5","Not supplied","Performance predates final Phase 8/9","DEVELOPING","TOPIC RECOGNIZED / NOT YET COMPETITIVE","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Four Noble Truths","https://echobuddha.com/learn/four-noble-truths/","indexable","0","5","0%","23.2","0","SEARCH-VISIBLE","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","8","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Noble Eightfold Path","https://echobuddha.com/learn/eightfold-path/","indexable","0","14","0%","17.64","0","SEARCH-VISIBLE","2","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","22","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Karma","https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/","indexable","0","0","0%","Not visible","1","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Five Precepts","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/","indexable","0","0","0%","Not visible","5","ZERO/NOT REPORTED","14","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Three Poisons","https://echobuddha.com/articles/three-poisons-buddhism-explained/","indexable","1","79","1.27%","46.68","1","SEARCH-VISIBLE","18","Thematic alignment only; query x page unavailable","Not observed","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","DEVELOPING","TOPIC RECOGNIZED / NOT YET COMPETITIVE","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Impermanence","https://echobuddha.com/learn/buddhism-101/what-is-impermanence/","indexable","0","0","0%","Not visible","2","ZERO/NOT REPORTED","0","Insufficient visible query evidence","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","INSUFFICIENT","INSUFFICIENT DATA","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Attachment / Non-Attachment / Letting Go","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","indexable","0","8","0%","25.62","0","SEARCH-VISIBLE","14","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Compassion","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","indexable","0","22","0%","49.32","0","SEARCH-VISIBLE","20","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
"Loving-Kindness / Metta","https://echobuddha.com/learn/buddhist-dictionary/metta/","indexable","0","9","0%","76.33","0","SEARCH-VISIBLE","7","Thematic alignment only; query x page unavailable","Yes","LOW / INSUFFICIENT","Not in top-target export","Not supplied","Performance predates final Phase 8/9","EARLY","EARLY RECOGNITION","PROTECT / OBSERVE; do not replace owner from aggregate GSC data"
