"Topic/query cluster","Primary owner","Other search-visible pages","Same query x multiple pages proven?","Alternation proven?","Role conflict proven?","Confidence","Risk","Assessment","Action"
"Letting Go / Non-Attachment","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","https://echobuddha.com/quotes/letting-go/; https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Beginner Buddhism","https://echobuddha.com/learn/buddhism-for-beginners/","https://echobuddha.com/learn/buddhism-for-beginners/; https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/; https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/; https://echobuddha.com/articles/what-is-buddhism-beginner-guide/; https://echobuddha.com/articles/how-to-meditate-for-beginners/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Sangha","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Dhamma","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","https://echobuddha.com/articles/dhamma-vs-dharma/; https://echobuddha.com/learn/buddhist-dictionary/dhamma/; https://echobuddha.com/articles/dhammapada-reflection-what-we-think/; https://echobuddha.com/articles/dhammapada-verse-1-meaning/; https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Dhammapada attribution","https://echobuddha.com/learn/dhammapada-reflections/","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/; https://echobuddha.com/articles/dhammapada-verse-1-meaning/; https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/; https://echobuddha.com/learn/dhammapada-reflections/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Right Speech","https://echobuddha.com/articles/right-speech-buddhism/","https://echobuddha.com/articles/right-speech-buddhism/; https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/; https://echobuddha.com/articles/right-speech-examples/; https://echobuddha.com/articles/right-livelihood-modern-life/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Dhamma vs Dharma","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","https://echobuddha.com/articles/dhamma-vs-dharma/; https://echobuddha.com/learn/buddhist-dictionary/dhamma/; https://echobuddha.com/articles/dhammapada-reflection-what-we-think/; https://echobuddha.com/articles/dhammapada-verse-1-meaning/; https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Brahmaviharas","https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/","https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Threefold Training","https://echobuddha.com/learn/buddhism-101/","https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Sutta","https://echobuddha.com/learn/sutta-for-daily-life/","https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/; https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/; https://echobuddha.com/learn/buddhist-dictionary/sutta/; https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Patience","https://echobuddha.com/articles/three-ways-to-practice-patience/","https://echobuddha.com/quotes/patience/; https://echobuddha.com/daily-reflections/patience-before-anger-speaks/; https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/; https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Compassion","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","https://echobuddha.com/quotes/compassion/; https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/; https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/; https://echobuddha.com/articles/compassion-with-boundaries/; https://echobuddha.com/articles/compassion-as-a-daily-discipline/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Five Precepts","https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/","https://echobuddha.com/articles/five-precepts-in-daily-life/; https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Metta","https://echobuddha.com/learn/buddhist-dictionary/metta/","https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/; https://echobuddha.com/learn/buddhist-dictionary/metta/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Three Poisons","https://echobuddha.com/articles/three-poisons-buddhism-explained/","https://echobuddha.com/articles/three-poisons-buddhism-explained/; https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/; https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Mindfulness","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","https://echobuddha.com/quotes/mindfulness/; https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/; https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/; https://echobuddha.com/quotes/mindfulness/listen-before-answering/; https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Eightfold Path","https://echobuddha.com/learn/eightfold-path/","https://echobuddha.com/articles/noble-eightfold-path-practical-guide/; https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/; https://echobuddha.com/learn/eightfold-path/; https://echobuddha.com/articles/eightfold-path-explained-daily-life/; https://echobuddha.com/articles/eightfold-path-explained/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Quotes","https://echobuddha.com/quotes/","https://echobuddha.com/quotes/letting-go/; https://echobuddha.com/quotes/patience/; https://echobuddha.com/quotes/mindfulness/; https://echobuddha.com/quotes/compassion/; https://echobuddha.com/quotes/awareness/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
"Meditation","https://echobuddha.com/meditation/","https://echobuddha.com/quotes/meditation/; https://echobuddha.com/meditation-guide/; https://echobuddha.com/meditation/; https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/; https://echobuddha.com/articles/loving-kindness-meditation-guide/","No - intersection not supplied","No","No","Low","LOW","No HIGH/CRITICAL cannibalization evidence","Preserve Phase 2 ownership; collect page-filtered query evidence only if instability persists"
