"Dataset","Source file","Family","Filter","Rows","SHA-256","Duplicate status","Use","Notes"
"breadcrumbs/Chart.csv","breadcrumbs/Chart.csv","breadcrumbs","Report-specific","50","4cb5010539b085fb21031400cbceb3669eb86bfa3f43bfbcf2cb8263b0e2fa66","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"breadcrumbs/Critical issues.csv","breadcrumbs/Critical issues.csv","breadcrumbs","Report-specific","0","bb31e337c34b08f816432be776af387d86c38248b27de789fe65970f10947a95","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"breadcrumbs/Non-critical issues.csv","breadcrumbs/Non-critical issues.csv","breadcrumbs","Report-specific","0","bb31e337c34b08f816432be776af387d86c38248b27de789fe65970f10947a95","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"https/Chart.csv","https/Chart.csv","https","Report-specific","48","236f7516bae97a469db497af9e9945c66869225491700aa5494e7135994a0c9e","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"https/Table.csv","https/Table.csv","https","Report-specific","0","00b70083e98563ed8b5ab2a9ccb941d598832e70aaedc3aff36afffaf5294492","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"links/echobuddha.com-Latest links-2026-08-13.csv","links/echobuddha.com-Latest links-2026-08-13.csv","links","Report-specific","0","26f10fbcbab0dba09629889f69d2430a660b67dd6fa37c5ad7aedf34b9620878","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"links/echobuddha.com-More sample links-2026-08-13.csv","links/echobuddha.com-More sample links-2026-08-13.csv","links","Report-specific","0","ae7aa8e854ee3edb190e0433d190e9c5ffdd1f7547f9293869039089d64f4f40","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"links/echobuddha.com-Top target pages-2026-08-13.csv","links/echobuddha.com-Top target pages-2026-08-13.csv","links","Report-specific","37","a41b3e66b172b9dae28be7a875e5a306f1d8ac959ac892e90a0e29c68ac998c3","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"page-indexing/Chart.csv","page-indexing/Chart.csv","page-indexing","Report-specific","46","14da229423b7d14a56a7f57bf5d3c77bef108adb5eba83197a7b1cfd3c6ea931","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"page-indexing/Critical issues.csv","page-indexing/Critical issues.csv","page-indexing","Report-specific","6","1d3ca568fdf823d7a62224be0d638fdcd98c528fe04eed50b61973d62b9d236a","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"page-indexing/Metadata.csv","page-indexing/Metadata.csv","page-indexing","Report-specific","1","2f4ed190b42a6f03c998c830bc735b089599f81443fccc82cdacf0729ddf4cab","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"page-indexing/Non-critical issues.csv","page-indexing/Non-critical issues.csv","page-indexing","Report-specific","0","3279eaf88957dac1f66d4030e674a7dd6e0c20c4b1e57c2dfd7b1b9a1e1976a8","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-28-days/Countries.csv","performance-compare-28-days/Countries.csv","performance-compare-28-days","Search type: Web; Date: Last 28 days","74","f08643bf99d1b79cebf063b0a07f983c8a1e4d7c0967ce429318a80d57af7a97","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-28-days/Devices.csv","performance-compare-28-days/Devices.csv","performance-compare-28-days","Search type: Web; Date: Last 28 days","3","82ee561ba25134be09f77281377c2412a650e0e463fe08b04b18541b14ff4082","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-28-days/Filters.csv","performance-compare-28-days/Filters.csv","performance-compare-28-days","Search type: Web; Date: Last 28 days","2","72ff01f37ed0327a79ace7619f2d5c8e46552e0f30ebf6adfeba45332d7231e3","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-28-days/Pages.csv","performance-compare-28-days/Pages.csv","performance-compare-28-days","Search type: Web; Date: Last 28 days","172","0bd99769910f718bdad4e4294fc9b9259fe5ea8101d3d916ae41de293ab180c3","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-28-days/Queries.csv","performance-compare-28-days/Queries.csv","performance-compare-28-days","Search type: Web; Date: Last 28 days","305","0b63070649c6bb5d7db0249d86f55fb447b89210a31ed2793e69b2f331b89255","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-28-days/Search appearance.csv","performance-compare-28-days/Search appearance.csv","performance-compare-28-days","Search type: Web; Date: Last 28 days","0","eed9ceafb9193e5e3d034f5897ad992bc851f1998204cd98f0b0f6873fbfc8b2","UNIQUE IN SNAPSHOT","Empty/header-only; limitation","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-3-months/Countries.csv","performance-compare-3-months/Countries.csv","performance-compare-3-months","Search type: Web; Date: Last 3 months","74","0035d846549c337871e7724b611ce3225b4c7055a9ba75a0223829913f55720b","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
"performance-compare-3-months/Devices.csv","performance-compare-3-months/Devices.csv","performance-compare-3-months","Search type: Web; Date: Last 3 months","3","ace270be83835de007e23d97fed2eecbf005b56de43788a5b8ad8c010fc7dd1f","UNIQUE IN SNAPSHOT","Analysis input","Owner-supplied GSC CSV; source preserved unchanged"
