"URL","Page role","Intended index state","GSC on Google?","Indexing allowed?","Crawl allowed?","Last crawl","User canonical","Google canonical","Canonical match?","Sitemap detected?","Referring page if available","Enhancement state","Current production state","Assessment","Action"
"UNKNOWN_CRAWLED_NOT_INDEXED","Coverage example","indexable if intended","Not supplied","Not supplied","Not supplied","Not supplied","Unknown URL","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","Cannot evaluate until URL examples supplied","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"UNKNOWN_DISCOVERED_NOT_INDEXED","Coverage examples (8)","indexable if intended","Not supplied","Not supplied","Not supplied","Not supplied","Unknown URL","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","Cannot evaluate until URL examples supplied","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"UNKNOWN_404","Historical/removed","removed or valid after classification","Not supplied","Not supplied","Not supplied","Not supplied","Unknown URL","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","Cannot evaluate until URL examples supplied","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/search/","Intentional noindex utility","noindex, follow","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/search/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; noindex, follow","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"UNKNOWN_REDIRECT","Historical redirect","redirect","Not supplied","Not supplied","Not supplied","Not supplied","Unknown URL","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","Cannot evaluate until URL examples supplied","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"UNKNOWN_ALTERNATE_CANONICAL","Canonical alternate","canonicalized","Not supplied","Not supplied","Not supplied","Not supplied","Unknown URL","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","Cannot evaluate until URL examples supplied","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/","Homepage","indexable","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; indexable","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/learn/buddhism-for-beginners/","Primary owner","indexable","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/learn/buddhism-for-beginners/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; indexable","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/learn/four-noble-truths/","Primary owner","indexable","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/learn/four-noble-truths/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; indexable","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/learn/eightfold-path/","Primary owner","indexable","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/learn/eightfold-path/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; indexable","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/articles/right-speech-buddhism/","Emerging practical owner","indexable","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/articles/right-speech-buddhism/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; indexable","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/articles/dhamma-vs-dharma/","Distinct comparison support","indexable","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/articles/dhamma-vs-dharma/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; indexable","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/articles/dhammapada-reflection-what-we-think/","Source/attribution article","indexable","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; indexable","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/quotes/letting-go/","Quote category","indexable","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/quotes/letting-go/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; indexable","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
"https://echobuddha.com/daily-reflections/today/","Recurring utility","noindex, follow","Not supplied","Not supplied","Not supplied","Not supplied","https://echobuddha.com/daily-reflections/today/","Not supplied","Not supplied","Not supplied","Not supplied","Not supplied","LOCAL_BUILT; PRODUCTION_200_BASELINE; noindex, follow","OWNER URL INSPECTION REQUIRED","Run URL Inspection and export exact fields; do not request indexing blindly"
