"Target URL","Page role","Primary owner?","Current Phase 7 internal-link count if measurable","GSC reported internal links","GSC report date","Current production links newer than GSC?","Recognition state","Search impressions","Average position","Potential underlinking?","Evidence","Recommended action"
"https://echobuddha.com/","HUB","Yes","336","523","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","46","5.35","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/articles/","HUB","Yes","336","301","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","4","10.5","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/disclaimer/","TRUST_POLICY","No","336","300","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","2","9","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/editorial-policy/","TRUST_POLICY","No","336","300","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","4","11.75","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/learn/","HUB","Yes","336","300","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","2","6","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/privacy-policy/","TRUST_POLICY","No","336","300","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","3","10.67","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/quotes/","HUB","Yes","336","300","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","7","6","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/about/","TRUST_POLICY","Yes","336","299","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","11","10.64","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/contact/","TRUST_POLICY","No","336","299","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","3","8","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/meditation/","HUB","Yes","336","298","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","4","11","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/terms-of-use/","TRUST_POLICY","No","336","298","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","3","22.33","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/articles/category/buddhist-wisdom/","CATEGORY","No","95","86","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","5","39","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/quotes/wisdom/","CATEGORY","No","66","63","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","6","25","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/articles/right-speech-buddhism/","PRIMARY_PILLAR","Yes","50","55","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","178","27.13","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
"https://echobuddha.com/quotes/practice/","CATEGORY","No","50","47","2026-08-13 export; underlying snapshot date not supplied","Unknown; report can lag","PARTIAL - GSC count and current graph are different measurement systems","7","9.86","Not proven by count alone","Fresh built-site distinct source-page links vs GSC top-target aggregate","WAIT FOR RECRAWL; review context/journey later, no link-count campaign"
