"Record type","Date","Window","Query","Page","Country","Device","Clicks","Impressions","CTR","Position","Source file","Aggregation warning"
"date","2026-07-15","Latest 28 days","","","","","2","21","9.52%","62.1","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-16","Latest 28 days","","","","","0","52","0%","75.1","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-17","Latest 28 days","","","","","0","37","0%","64.9","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-18","Latest 28 days","","","","","0","44","0%","55.5","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-19","Latest 28 days","","","","","0","21","0%","62.4","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-20","Latest 28 days","","","","","0","72","0%","57.4","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-21","Latest 28 days","","","","","1","105","0.95%","56.9","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-22","Latest 28 days","","","","","0","19","0%","48.9","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-23","Latest 28 days","","","","","0","17","0%","39.5","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-24","Latest 28 days","","","","","0","13","0%","35.8","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-25","Latest 28 days","","","","","0","36","0%","44.6","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-26","Latest 28 days","","","","","1","29","3.45%","40","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-27","Latest 28 days","","","","","0","19","0%","43.4","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-28","Latest 28 days","","","","","0","33","0%","40.2","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-29","Latest 28 days","","","","","0","18","0%","35","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-30","Latest 28 days","","","","","0","34","0%","23.1","performance-latest-28/Chart.csv","Property total by date"
"date","2026-07-31","Latest 28 days","","","","","0","54","0%","31.8","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-01","Latest 28 days","","","","","1","36","2.78%","28.6","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-02","Latest 28 days","","","","","1","44","2.27%","17","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-03","Latest 28 days","","","","","0","39","0%","17.8","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-04","Latest 28 days","","","","","3","40","7.5%","12.8","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-05","Latest 28 days","","","","","0","47","0%","21.1","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-06","Latest 28 days","","","","","0","45","0%","18.6","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-07","Latest 28 days","","","","","1","58","1.72%","13.5","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-08","Latest 28 days","","","","","1","84","1.19%","15","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-09","Latest 28 days","","","","","0","116","0%","18","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-10","Latest 28 days","","","","","2","135","1.48%","18.6","performance-latest-28/Chart.csv","Property total by date"
"date","2026-08-11","Latest 28 days","","","","","2","107","1.87%","13.9","performance-latest-28/Chart.csv","Property total by date"
"query","","Latest 28 days","buddhism letting go quotes","","","","1","12","8.33%","13.5","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism for beginners","","","","0","47","0%","51.06","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha","","","","0","17","0%","82.29","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma","","","","0","13","0%","36.69","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma buddhism","","","","0","11","0%","45.36","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
