URL,family,internal destinations,parent/hub available,meaningful continuation,dead end?,severity,remediation,status
https://echobuddha.com/about/,TRUST,20,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/beginning-a-daily-mindfulness-practice/,ARTICLE,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/buddhism-for-beginners-simple-guide/,ARTICLE,38,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/buddhist-approach-to-anger/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/buddhist-gratitude-practice/,ARTICLE,31,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/,ARTICLE,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/buddhist-teachings-on-impermanence/,ARTICLE,35,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/category/buddhist-wisdom/,ARTICLE_HUB,41,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/category/meditation/,ARTICLE_HUB,30,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/category/mindfulness/,ARTICLE_HUB,26,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/category/practice/,ARTICLE_HUB,28,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/category/reflection/,ARTICLE_HUB,28,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/compassion-as-a-daily-discipline/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/compassion-with-boundaries/,ARTICLE,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/creating-a-peaceful-corner-at-home/,ARTICLE,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/dhamma-vs-dharma/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/dhammapada-reflection-trained-mind/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/dhammapada-reflection-what-we-think/,ARTICLE,37,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/dhammapada-verse-1-meaning/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/eightfold-path-explained-daily-life/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/eightfold-path-explained/,ARTICLE,35,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/equanimity-in-buddhism/,ARTICLE,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/first-week-buddhist-practice/,ARTICLE,37,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/five-precepts-in-daily-life/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/four-noble-truths-explained-simply/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/four-noble-truths-explained/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/,ARTICLE,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/how-to-meditate-for-anxiety/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/how-to-meditate-for-beginners/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/impermanence-in-buddhism-letting-go/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/impermanence-in-buddhism/,ARTICLE,37,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/,ARTICLE,72,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/loving-kindness-meditation-beginners/,ARTICLE,36,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/loving-kindness-meditation-guide/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/metta-meditation-script/,ARTICLE,36,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/mindful-email-and-texting/,ARTICLE,31,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/mindful-listening-in-everyday-life/,ARTICLE,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/mindfulness-for-better-sleep/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/mindfulness-morning-routine/,ARTICLE,31,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/mindfulness-of-breathing-guide/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/mindfulness-vs-meditation/,ARTICLE,37,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/noble-eightfold-path-practical-guide/,ARTICLE,35,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/non-attachment-in-relationships/,ARTICLE,31,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/right-livelihood-modern-life/,ARTICLE,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/right-speech-buddhism/,ARTICLE,38,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/right-speech-examples/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/three-poisons-buddhism-explained/,ARTICLE,36,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/three-ways-to-practice-patience/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/,ARTICLE,34,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/walking-meditation-step-by-step/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/what-is-buddhism-beginner-guide/,ARTICLE,33,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/what-is-karma-in-buddhism/,ARTICLE,36,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/articles/what-is-sangha-buddhist-community/,ARTICLE,38,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/authors/echo-buddha-editorial/,TRUST,28,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/buddhist-sources-and-citations/,TRUST,19,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/contact/,TRUST,19,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/corrections/,TRUST,19,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/anger-as-a-signal/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/begin-again-without-shame/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/compassion-begins-nearby/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/enough-for-this-moment/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/evening-release/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/family-patience/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/forgiveness-without-approval/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/gratitude-for-change/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/gratitude-notices-enough/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/,REFLECTION_HUB,79,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/kindness-with-boundaries/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/let-the-feeling-pass/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/letting-go-keeps-care/,REFLECTION_DETAIL,24,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/listen-before-answering/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/mindful-work/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/morning-intention/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/notice-before-fixing/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/one-honest-breath/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/one-step-on-the-path/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/rest-without-escape/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/see-the-conditions/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/simple-goodwill/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/soften-the-inner-argument/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/thoughts-are-visitors/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/today/,REFLECTION_DETAIL,77,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/daily-reflections/walking-as-practice/,REFLECTION_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/disclaimer/,UTILITY_OR_LEGAL,20,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/editorial-policy/,TRUST,21,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/how-echo-buddha-creates-content/,TRUST,20,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/,HOME,32,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,LEARN_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,LEARN_DETAIL,27,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,LEARN_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,LEARN_DETAIL,25,YES,YES,NO,NONE,NONE,PASS
